,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
48,CPT,CAMDEN PROPERTY TRUST,2014-12-31,10-K,2015-02-20,153918000.0,2743500000.0,178498000.0,,86600000.0,2815602000.0,6056907000.0,3100364000.0
49,CPT,CAMDEN PROPERTY TRUST,2014-12-31,10-K,2016-02-19,153918000.0,,178498000.0,,,2815602000.0,6043981000.0,3087438000.0
50,CPT,CAMDEN PROPERTY TRUST,2014-12-31,10-K,2017-02-13,153918000.0,,292089000.0,,,,,
46,CPT,CAMDEN PROPERTY TRUST,2014-09-30,10-K,2015-02-20,,,38283000.0,,,,,
47,CPT,CAMDEN PROPERTY TRUST,2014-09-30,10-K,2016-02-19,,,38283000.0,,,,,
44,CPT,CAMDEN PROPERTY TRUST,2014-06-30,10-K,2015-02-20,,,35272000.0,,,,,
45,CPT,CAMDEN PROPERTY TRUST,2014-06-30,10-K,2016-02-19,,,35272000.0,,,,,
42,CPT,CAMDEN PROPERTY TRUST,2014-03-31,10-K,2015-02-20,153918000.0,,40036000.0,,,,,
43,CPT,CAMDEN PROPERTY TRUST,2014-03-31,10-K,2016-02-19,,,40036000.0,,,,,
39,CPT,CAMDEN PROPERTY TRUST,2013-12-31,10-K,2014-02-21,17794000.0,2530800000.0,129996000.0,,85300000.0,2691536000.0,5632141000.0,2824780000.0
40,CPT,CAMDEN PROPERTY TRUST,2013-12-31,10-K,2015-02-20,17794000.0,,129996000.0,,,2691536000.0,5632141000.0,2824780000.0
41,CPT,CAMDEN PROPERTY TRUST,2013-12-31,10-K,2016-02-19,17794000.0,,336364000.0,,,,,
37,CPT,CAMDEN PROPERTY TRUST,2013-09-30,10-K,2014-02-21,,,70720000.0,,,,,
38,CPT,CAMDEN PROPERTY TRUST,2013-09-30,10-K,2015-02-20,,,70720000.0,,,,,
35,CPT,CAMDEN PROPERTY TRUST,2013-06-30,10-K,2014-02-21,,,72172000.0,,,,,
36,CPT,CAMDEN PROPERTY TRUST,2013-06-30,10-K,2015-02-20,,,72172000.0,,,,,
33,CPT,CAMDEN PROPERTY TRUST,2013-03-31,10-K,2014-02-21,,,63476000.0,,,,,
34,CPT,CAMDEN PROPERTY TRUST,2013-03-31,10-K,2015-02-20,,,63476000.0,,,,,
29,CPT,CAMDEN PROPERTY TRUST,2012-12-31,10-K,2013-02-15,26669000.0,2510500000.0,142166000.0,,84400000.0,2563099000.0,5385172000.0,2758464000.0
30,CPT,CAMDEN PROPERTY TRUST,2012-12-31,10-K,2014-02-21,26669000.0,,142166000.0,,,2563099000.0,5385172000.0,2758464000.0
31,CPT,CAMDEN PROPERTY TRUST,2012-12-31,10-K,2015-02-20,26669000.0,,283390000.0,,,,,
32,CPT,CAMDEN PROPERTY TRUST,2012-12-31,10-K,2016-02-19,26669000.0,,,,,,,
27,CPT,CAMDEN PROPERTY TRUST,2012-09-30,10-K,2013-02-15,,,30703000.0,,,,,
28,CPT,CAMDEN PROPERTY TRUST,2012-09-30,10-K,2014-02-21,,,30703000.0,,,,,
25,CPT,CAMDEN PROPERTY TRUST,2012-06-30,10-K,2013-02-15,,,21763000.0,,,,,
26,CPT,CAMDEN PROPERTY TRUST,2012-06-30,10-K,2014-02-21,,,21763000.0,,,,,
23,CPT,CAMDEN PROPERTY TRUST,2012-03-31,10-K,2013-02-15,,,88758000.0,,,,,
24,CPT,CAMDEN PROPERTY TRUST,2012-03-31,10-K,2014-02-21,,,88758000.0,,,,,
19,CPT,CAMDEN PROPERTY TRUST,2011-12-31,10-K,2012-02-17,55159000.0,2432100000.0,46850000.0,,72000000.0,1758717000.0,4622075000.0,2696382000.0
20,CPT,CAMDEN PROPERTY TRUST,2011-12-31,10-K,2013-02-15,55159000.0,,46850000.0,,,1758717000.0,4622075000.0,2696382000.0
21,CPT,CAMDEN PROPERTY TRUST,2011-12-31,10-K,2014-02-21,55159000.0,,49379000.0,,,,,
22,CPT,CAMDEN PROPERTY TRUST,2011-12-31,10-K,2015-02-20,55159000.0,,,,,,,
17,CPT,CAMDEN PROPERTY TRUST,2011-09-30,10-K,2012-02-17,,,11840000.0,,,,,
18,CPT,CAMDEN PROPERTY TRUST,2011-09-30,10-K,2013-02-15,,,11840000.0,,,,,
15,CPT,CAMDEN PROPERTY TRUST,2011-06-30,10-K,2012-02-17,,,-16597000.0,,,,,
16,CPT,CAMDEN PROPERTY TRUST,2011-06-30,10-K,2013-02-15,,,-16597000.0,,,,,
13,CPT,CAMDEN PROPERTY TRUST,2011-03-31,10-K,2012-02-17,,,7286000.0,,,,,
14,CPT,CAMDEN PROPERTY TRUST,2011-03-31,10-K,2013-02-15,,,7286000.0,,,,,
9,CPT,CAMDEN PROPERTY TRUST,2010-12-31,10-K,2011-02-24,170575000.0,,,,,1686419000.0,4699737000.0,2844439000.0
10,CPT,CAMDEN PROPERTY TRUST,2010-12-31,10-K,2012-02-17,170575000.0,,17147000.0,,,1686419000.0,4699737000.0,2844439000.0
11,CPT,CAMDEN PROPERTY TRUST,2010-12-31,10-K,2013-02-15,170575000.0,,23216000.0,,,,,
12,CPT,CAMDEN PROPERTY TRUST,2010-12-31,10-K,2014-02-21,170575000.0,,,,,,,
8,CPT,CAMDEN PROPERTY TRUST,2010-09-30,10-K,2012-02-17,,,1650000.0,,,,,
7,CPT,CAMDEN PROPERTY TRUST,2010-06-30,10-K,2012-02-17,,,2134000.0,,,,,
6,CPT,CAMDEN PROPERTY TRUST,2010-03-31,10-K,2012-02-17,,,2285000.0,,,,,
3,CPT,CAMDEN PROPERTY TRUST,2009-12-31,10-K,2011-02-24,64156000.0,,,,,1530411000.0,4607999000.0,2901061000.0
4,CPT,CAMDEN PROPERTY TRUST,2009-12-31,10-K,2012-02-17,64156000.0,,-50800000.0,,,,,
5,CPT,CAMDEN PROPERTY TRUST,2009-12-31,10-K,2013-02-15,64156000.0,,,,,,,
1,CPT,CAMDEN PROPERTY TRUST,2008-12-31,10-K,2011-02-24,7407000.0,,,,,,,
2,CPT,CAMDEN PROPERTY TRUST,2008-12-31,10-K,2012-02-17,7407000.0,,,,,,,
0,CPT,CAMDEN PROPERTY TRUST,2007-12-31,10-K,2011-02-24,897000.0,,,,,,,
