,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,stockholders_equity,total_assets,total_liabilities
94,AMP,"AMERIPRISE FINANCIAL, INC.",2025-12-31,10-K,2026-02-19,,,3563000000.0,18911000000.0,6549000000.0,190904000000.0,184355000000.0
92,AMP,"AMERIPRISE FINANCIAL, INC.",2024-12-31,10-K,2025-02-20,,,3401000000.0,17926000000.0,5228000000.0,181403000000.0,176175000000.0
93,AMP,"AMERIPRISE FINANCIAL, INC.",2024-12-31,10-K,2026-02-19,,,3401000000.0,17926000000.0,5228000000.0,181403000000.0,176175000000.0
89,AMP,"AMERIPRISE FINANCIAL, INC.",2023-12-31,10-K,2024-02-22,,,377000000.0,16096000000.0,4729000000.0,175191000000.0,170462000000.0
90,AMP,"AMERIPRISE FINANCIAL, INC.",2023-12-31,10-K,2025-02-20,,,2556000000.0,16096000000.0,4729000000.0,175191000000.0,170462000000.0
91,AMP,"AMERIPRISE FINANCIAL, INC.",2023-12-31,10-K,2026-02-19,,,2556000000.0,16096000000.0,4729000000.0,,
88,AMP,"AMERIPRISE FINANCIAL, INC.",2023-09-30,10-K,2024-02-22,,,872000000.0,,,,
87,AMP,"AMERIPRISE FINANCIAL, INC.",2023-06-30,10-K,2024-02-22,,,890000000.0,,,,
86,AMP,"AMERIPRISE FINANCIAL, INC.",2023-03-31,10-K,2024-02-22,,,417000000.0,,,,
82,AMP,"AMERIPRISE FINANCIAL, INC.",2022-12-31,10-K,2023-02-23,,,2559000000.0,14347000000.0,3613000000.0,158468000000.0,154855000000.0
83,AMP,"AMERIPRISE FINANCIAL, INC.",2022-12-31,10-K,2024-02-22,,,649000000.0,14334000000.0,3803000000.0,158852000000.0,155049000000.0
84,AMP,"AMERIPRISE FINANCIAL, INC.",2022-12-31,10-K,2025-02-20,,,3149000000.0,14334000000.0,3803000000.0,,
85,AMP,"AMERIPRISE FINANCIAL, INC.",2022-12-31,10-K,2026-02-19,,,,,3803000000.0,,
81,AMP,"AMERIPRISE FINANCIAL, INC.",2022-09-30,10-K,2024-02-22,,,1061000000.0,,,,
80,AMP,"AMERIPRISE FINANCIAL, INC.",2022-06-30,10-K,2024-02-22,,,614000000.0,,,,
79,AMP,"AMERIPRISE FINANCIAL, INC.",2022-03-31,10-K,2024-02-22,,,825000000.0,,,,
75,AMP,"AMERIPRISE FINANCIAL, INC.",2021-12-31,10-K,2022-02-25,,,2760000000.0,13443000000.0,5685000000.0,175979000000.0,170294000000.0
