,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,stockholders_equity,total_assets,total_liabilities
76,AMP,"AMERIPRISE FINANCIAL, INC.",2021-12-31,10-K,2023-02-23,,,2760000000.0,13443000000.0,5941000000.0,175910000000.0,169969000000.0
77,AMP,"AMERIPRISE FINANCIAL, INC.",2021-12-31,10-K,2024-02-22,,,3417000000.0,13389000000.0,4837000000.0,177735000000.0,172898000000.0
78,AMP,"AMERIPRISE FINANCIAL, INC.",2021-12-31,10-K,2025-02-20,,,,,4837000000.0,,
71,AMP,"AMERIPRISE FINANCIAL, INC.",2020-12-31,10-K,2021-02-24,,,177000000.0,11958000000.0,5867000000.0,165883000000.0,160016000000.0
72,AMP,"AMERIPRISE FINANCIAL, INC.",2020-12-31,10-K,2022-02-25,,,1534000000.0,11958000000.0,5867000000.0,165883000000.0,160016000000.0
73,AMP,"AMERIPRISE FINANCIAL, INC.",2020-12-31,10-K,2023-02-23,,,1534000000.0,11958000000.0,6131000000.0,,
74,AMP,"AMERIPRISE FINANCIAL, INC.",2020-12-31,10-K,2024-02-22,,,,,6131000000.0,,
70,AMP,"AMERIPRISE FINANCIAL, INC.",2020-09-30,10-K,2021-02-24,,,-140000000.0,,,,
69,AMP,"AMERIPRISE FINANCIAL, INC.",2020-06-30,10-K,2021-02-24,,,-539000000.0,,,,
68,AMP,"AMERIPRISE FINANCIAL, INC.",2020-03-31,10-K,2021-02-24,,,2036000000.0,,,,
64,AMP,"AMERIPRISE FINANCIAL, INC.",2019-12-31,10-K,2020-02-26,,,463000000.0,13103000000.0,5729000000.0,151828000000.0,146099000000.0
65,AMP,"AMERIPRISE FINANCIAL, INC.",2019-12-31,10-K,2021-02-24,,,463000000.0,13103000000.0,5729000000.0,151828000000.0,146099000000.0
66,AMP,"AMERIPRISE FINANCIAL, INC.",2019-12-31,10-K,2022-02-25,,,1893000000.0,13103000000.0,5729000000.0,,
67,AMP,"AMERIPRISE FINANCIAL, INC.",2019-12-31,10-K,2023-02-23,,,,,5911000000.0,,
62,AMP,"AMERIPRISE FINANCIAL, INC.",2019-09-30,10-K,2020-02-26,,,543000000.0,,,,
63,AMP,"AMERIPRISE FINANCIAL, INC.",2019-09-30,10-K,2021-02-24,,,543000000.0,,,,
60,AMP,"AMERIPRISE FINANCIAL, INC.",2019-06-30,10-K,2020-02-26,,,492000000.0,,,,
61,AMP,"AMERIPRISE FINANCIAL, INC.",2019-06-30,10-K,2021-02-24,,,492000000.0,,,,
58,AMP,"AMERIPRISE FINANCIAL, INC.",2019-03-31,10-K,2020-02-26,,,395000000.0,,,,
59,AMP,"AMERIPRISE FINANCIAL, INC.",2019-03-31,10-K,2021-02-24,,,395000000.0,,,,
54,AMP,"AMERIPRISE FINANCIAL, INC.",2018-12-31,10-K,2019-02-27,,,539000000.0,12924000000.0,,137216000000.0,131628000000.0
55,AMP,"AMERIPRISE FINANCIAL, INC.",2018-12-31,10-K,2020-02-26,,,539000000.0,12924000000.0,5588000000.0,137216000000.0,131628000000.0
56,AMP,"AMERIPRISE FINANCIAL, INC.",2018-12-31,10-K,2021-02-24,,,2098000000.0,12924000000.0,5588000000.0,,
57,AMP,"AMERIPRISE FINANCIAL, INC.",2018-12-31,10-K,2022-02-25,,,,,5588000000.0,,
52,AMP,"AMERIPRISE FINANCIAL, INC.",2018-09-30,10-K,2019-02-27,,,503000000.0,,,,
53,AMP,"AMERIPRISE FINANCIAL, INC.",2018-09-30,10-K,2020-02-26,,,503000000.0,,,,
50,AMP,"AMERIPRISE FINANCIAL, INC.",2018-06-30,10-K,2019-02-27,,,462000000.0,,,,
51,AMP,"AMERIPRISE FINANCIAL, INC.",2018-06-30,10-K,2020-02-26,,,462000000.0,,,,
48,AMP,"AMERIPRISE FINANCIAL, INC.",2018-03-31,10-K,2019-02-27,,,594000000.0,,,,
49,AMP,"AMERIPRISE FINANCIAL, INC.",2018-03-31,10-K,2020-02-26,,,594000000.0,,,,
44,AMP,"AMERIPRISE FINANCIAL, INC.",2017-12-31,10-K,2018-02-23,,,1480000000.0,12075000000.0,,147470000000.0,141472000000.0
45,AMP,"AMERIPRISE FINANCIAL, INC.",2017-12-31,10-K,2019-02-27,,,177000000.0,12180000000.0,,147480000000.0,141485000000.0
46,AMP,"AMERIPRISE FINANCIAL, INC.",2017-12-31,10-K,2020-02-26,,,1480000000.0,12180000000.0,5995000000.0,,
47,AMP,"AMERIPRISE FINANCIAL, INC.",2017-12-31,10-K,2021-02-24,,,,,5995000000.0,,
43,AMP,"AMERIPRISE FINANCIAL, INC.",2017-09-30,10-K,2019-02-27,,,507000000.0,,,,
42,AMP,"AMERIPRISE FINANCIAL, INC.",2017-06-30,10-K,2019-02-27,,,393000000.0,,,,
41,AMP,"AMERIPRISE FINANCIAL, INC.",2017-03-31,10-K,2019-02-27,,,403000000.0,,,,
37,AMP,"AMERIPRISE FINANCIAL, INC.",2016-12-31,10-K,2017-02-23,2318000000.0,,1314000000.0,11735000000.0,6292000000.0,139821000000.0,133529000000.0
38,AMP,"AMERIPRISE FINANCIAL, INC.",2016-12-31,10-K,2018-02-23,,,1314000000.0,11735000000.0,,139821000000.0,133529000000.0
39,AMP,"AMERIPRISE FINANCIAL, INC.",2016-12-31,10-K,2019-02-27,,,1313000000.0,11839000000.0,,,
40,AMP,"AMERIPRISE FINANCIAL, INC.",2016-12-31,10-K,2020-02-26,,,,,6289000000.0,,
34,AMP,"AMERIPRISE FINANCIAL, INC.",2015-12-31,10-K,2016-02-25,2357000000.0,,1562000000.0,12200000000.0,7217000000.0,145342000000.0,136937000000.0
35,AMP,"AMERIPRISE FINANCIAL, INC.",2015-12-31,10-K,2017-02-23,2357000000.0,,1562000000.0,12200000000.0,7191000000.0,145339000000.0,136960000000.0
36,AMP,"AMERIPRISE FINANCIAL, INC.",2015-12-31,10-K,2018-02-23,,,1562000000.0,12200000000.0,,,
31,AMP,"AMERIPRISE FINANCIAL, INC.",2014-12-31,10-K,2015-02-24,2638000000.0,,1619000000.0,12296000000.0,8124000000.0,148810000000.0,139505000000.0
32,AMP,"AMERIPRISE FINANCIAL, INC.",2014-12-31,10-K,2016-02-25,2638000000.0,,1619000000.0,12296000000.0,8124000000.0,148810000000.0,139505000000.0
33,AMP,"AMERIPRISE FINANCIAL, INC.",2014-12-31,10-K,2017-02-23,2638000000.0,,1619000000.0,12296000000.0,,,
27,AMP,"AMERIPRISE FINANCIAL, INC.",2013-12-31,10-K,2014-02-27,2632000000.0,,,11230000000.0,8192000000.0,144576000000.0,135344000000.0
28,AMP,"AMERIPRISE FINANCIAL, INC.",2013-12-31,10-K,2015-02-24,2632000000.0,,1334000000.0,11230000000.0,8192000000.0,144576000000.0,135344000000.0
29,AMP,"AMERIPRISE FINANCIAL, INC.",2013-12-31,10-K,2016-02-25,2632000000.0,,1334000000.0,11230000000.0,,,
30,AMP,"AMERIPRISE FINANCIAL, INC.",2013-12-31,10-K,2017-02-23,2632000000.0,,,,,,
23,AMP,"AMERIPRISE FINANCIAL, INC.",2012-12-31,10-K,2013-02-27,2371000000.0,,,10259000000.0,9092000000.0,134729000000.0,125017000000.0
24,AMP,"AMERIPRISE FINANCIAL, INC.",2012-12-31,10-K,2014-02-27,2371000000.0,,,10259000000.0,9092000000.0,134729000000.0,125017000000.0
25,AMP,"AMERIPRISE FINANCIAL, INC.",2012-12-31,10-K,2015-02-24,2371000000.0,,1029000000.0,10259000000.0,,,
26,AMP,"AMERIPRISE FINANCIAL, INC.",2012-12-31,10-K,2016-02-25,2371000000.0,,,,,,
19,AMP,"AMERIPRISE FINANCIAL, INC.",2011-12-31,10-K,2012-02-24,2781000000.0,,,10239000000.0,10255000000.0,133986000000.0,123025000000.0
20,AMP,"AMERIPRISE FINANCIAL, INC.",2011-12-31,10-K,2013-02-27,2781000000.0,,,10239000000.0,8988000000.0,132307000000.0,122613000000.0
21,AMP,"AMERIPRISE FINANCIAL, INC.",2011-12-31,10-K,2014-02-27,2781000000.0,,,10239000000.0,,,
22,AMP,"AMERIPRISE FINANCIAL, INC.",2011-12-31,10-K,2015-02-24,2781000000.0,,,,,,
15,AMP,"AMERIPRISE FINANCIAL, INC.",2010-12-31,10-K,2011-02-28,,,280000000.0,10046000000.0,10725000000.0,131192000000.0,119907000000.0
16,AMP,"AMERIPRISE FINANCIAL, INC.",2010-12-31,10-K,2012-02-24,2861000000.0,,,9582000000.0,10725000000.0,131214000000.0,119929000000.0
17,AMP,"AMERIPRISE FINANCIAL, INC.",2010-12-31,10-K,2013-02-27,2861000000.0,,,9582000000.0,,,
18,AMP,"AMERIPRISE FINANCIAL, INC.",2010-12-31,10-K,2014-02-27,2861000000.0,,,,,,
14,AMP,"AMERIPRISE FINANCIAL, INC.",2010-09-30,10-K,2011-02-28,,,344000000.0,,,,
13,AMP,"AMERIPRISE FINANCIAL, INC.",2010-06-30,10-K,2011-02-28,,,259000000.0,,,,
12,AMP,"AMERIPRISE FINANCIAL, INC.",2010-03-31,10-K,2011-02-28,,,214000000.0,,,,
8,AMP,"AMERIPRISE FINANCIAL, INC.",2009-12-31,10-K,2010-02-24,3097000000.0,2249000000.0,722000000.0,7946000000.0,9273000000.0,113774000000.0,103898000000.0
9,AMP,"AMERIPRISE FINANCIAL, INC.",2009-12-31,10-K,2011-02-28,,,237000000.0,7946000000.0,9269000000.0,113770000000.0,103898000000.0
10,AMP,"AMERIPRISE FINANCIAL, INC.",2009-12-31,10-K,2012-02-24,3097000000.0,,,7538000000.0,,,
11,AMP,"AMERIPRISE FINANCIAL, INC.",2009-12-31,10-K,2013-02-27,3097000000.0,,,,,,
7,AMP,"AMERIPRISE FINANCIAL, INC.",2009-09-30,10-K,2011-02-28,,,260000000.0,,,,
6,AMP,"AMERIPRISE FINANCIAL, INC.",2009-06-30,10-K,2011-02-28,,,95000000.0,,,,
5,AMP,"AMERIPRISE FINANCIAL, INC.",2009-03-31,10-K,2011-02-28,,,130000000.0,,,,
2,AMP,"AMERIPRISE FINANCIAL, INC.",2008-12-31,10-K,2010-02-24,6228000000.0,2027000000.0,-38000000.0,7095000000.0,6178000000.0,95577000000.0,89110000000.0
3,AMP,"AMERIPRISE FINANCIAL, INC.",2008-12-31,10-K,2011-02-28,,,-36000000.0,7097000000.0,,,
4,AMP,"AMERIPRISE FINANCIAL, INC.",2008-12-31,10-K,2012-02-24,6228000000.0,,,,,,
1,AMP,"AMERIPRISE FINANCIAL, INC.",2007-12-31,10-K,2010-02-24,3836000000.0,,814000000.0,8755000000.0,,,
0,AMP,"AMERIPRISE FINANCIAL, INC.",2006-12-31,10-K,2010-02-24,2760000000.0,,,,,,
