,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets,total_liabilities
118,CPB,CAMPBELL'S CO,2025-08-03,10-K,2025-09-18,132000000.0,,602000000.0,1124000000.0,10253000000.0,3902000000.0,14896000000.0,10992000000.0
116,CPB,CAMPBELL'S CO,2024-07-28,10-K,2024-09-19,108000000.0,,567000000.0,1000000000.0,9636000000.0,3794000000.0,15235000000.0,11439000000.0
117,CPB,CAMPBELL'S CO,2024-07-28,10-K,2025-09-18,108000000.0,,567000000.0,1000000000.0,9636000000.0,3794000000.0,15235000000.0,11439000000.0
113,CPB,CAMPBELL'S CO,2023-07-30,10-K,2023-09-21,189000000.0,,858000000.0,1312000000.0,9357000000.0,3661000000.0,12058000000.0,8395000000.0
114,CPB,CAMPBELL'S CO,2023-07-30,10-K,2024-09-19,189000000.0,,858000000.0,1312000000.0,9357000000.0,3661000000.0,12058000000.0,8395000000.0
115,CPB,CAMPBELL'S CO,2023-07-30,10-K,2025-09-18,,,858000000.0,1312000000.0,9357000000.0,,,
110,CPB,CAMPBELL'S CO,2022-07-31,10-K,2022-09-22,109000000.0,,757000000.0,1163000000.0,8562000000.0,3331000000.0,11892000000.0,8559000000.0
111,CPB,CAMPBELL'S CO,2022-07-31,10-K,2023-09-21,109000000.0,,757000000.0,1163000000.0,8562000000.0,3331000000.0,11892000000.0,8559000000.0
112,CPB,CAMPBELL'S CO,2022-07-31,10-K,2024-09-19,109000000.0,,757000000.0,1163000000.0,8562000000.0,,,
107,CPB,CAMPBELL'S CO,2021-08-01,10-K,2021-09-23,69000000.0,,1002000000.0,1545000000.0,8476000000.0,3152000000.0,11734000000.0,8580000000.0
108,CPB,CAMPBELL'S CO,2021-08-01,10-K,2022-09-22,69000000.0,,1002000000.0,1545000000.0,8476000000.0,3152000000.0,11734000000.0,8580000000.0
109,CPB,CAMPBELL'S CO,2021-08-01,10-K,2023-09-21,69000000.0,,1002000000.0,1545000000.0,8476000000.0,,,
104,CPB,CAMPBELL'S CO,2020-08-02,10-K,2020-09-24,859000000.0,,86000000.0,1107000000.0,2108000000.0,2563000000.0,12372000000.0,9803000000.0
