,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
69,ABBV,ABBVIE INC.,2025-12-31,10-K,2026-02-20,5229000000.0,64503000000.0,1816000000.0,15075000000.0,16618000000.0,61160000000.0,-3270000000.0,133960000000.0
67,ABBV,ABBVIE INC.,2024-12-31,10-K,2025-02-14,5524000000.0,66841000000.0,-22000000.0,9137000000.0,15102000000.0,56334000000.0,3325000000.0,135161000000.0
68,ABBV,ABBVIE INC.,2024-12-31,10-K,2026-02-20,5524000000.0,,4278000000.0,9137000000.0,56334000000.0,56334000000.0,3325000000.0,135161000000.0
64,ABBV,ABBVIE INC.,2023-12-31,10-K,2024-02-20,12814000000.0,59245000000.0,822000000.0,12757000000.0,14301000000.0,54318000000.0,10360000000.0,134711000000.0
65,ABBV,ABBVIE INC.,2023-12-31,10-K,2025-02-14,12814000000.0,,4863000000.0,12757000000.0,54318000000.0,54318000000.0,10360000000.0,134711000000.0
66,ABBV,ABBVIE INC.,2023-12-31,10-K,2026-02-20,,,4863000000.0,12757000000.0,54318000000.0,54318000000.0,,
61,ABBV,ABBVIE INC.,2022-12-31,10-K,2023-02-17,9201000000.0,63128000000.0,2473000000.0,18117000000.0,15121000000.0,58054000000.0,17254000000.0,138805000000.0
62,ABBV,ABBVIE INC.,2022-12-31,10-K,2024-02-20,9201000000.0,,11836000000.0,18117000000.0,58054000000.0,58054000000.0,17254000000.0,138805000000.0
63,ABBV,ABBVIE INC.,2022-12-31,10-K,2025-02-14,,,11836000000.0,18117000000.0,58054000000.0,58054000000.0,,
58,ABBV,ABBVIE INC.,2021-12-31,10-K,2022-02-18,9746000000.0,75962000000.0,4044000000.0,17924000000.0,14886000000.0,56197000000.0,15408000000.0,146529000000.0
59,ABBV,ABBVIE INC.,2021-12-31,10-K,2023-02-17,9746000000.0,,11542000000.0,17924000000.0,56197000000.0,56197000000.0,15408000000.0,146529000000.0
60,ABBV,ABBVIE INC.,2021-12-31,10-K,2024-02-20,,,11542000000.0,17924000000.0,56197000000.0,56197000000.0,,
55,ABBV,ABBVIE INC.,2020-12-31,10-K,2021-02-19,8449000000.0,84948000000.0,36000000.0,11363000000.0,13858000000.0,45804000000.0,13076000000.0,150565000000.0
56,ABBV,ABBVIE INC.,2020-12-31,10-K,2022-02-18,8449000000.0,,4616000000.0,11363000000.0,45804000000.0,45804000000.0,13076000000.0,150565000000.0
57,ABBV,ABBVIE INC.,2020-12-31,10-K,2023-02-17,,,4616000000.0,11363000000.0,45804000000.0,45804000000.0,,
52,ABBV,ABBVIE INC.,2019-12-31,10-K,2020-02-21,39924000000.0,67233000000.0,2801000000.0,12983000000.0,8704000000.0,33266000000.0,-8172000000.0,89115000000.0
53,ABBV,ABBVIE INC.,2019-12-31,10-K,2021-02-19,39924000000.0,,7882000000.0,12983000000.0,33266000000.0,33266000000.0,-8172000000.0,89115000000.0
54,ABBV,ABBVIE INC.,2019-12-31,10-K,2022-02-18,,,7882000000.0,12983000000.0,33266000000.0,33266000000.0,,
51,ABBV,ABBVIE INC.,2019-09-30,10-K,2020-02-21,,,1884000000.0,,8479000000.0,,,
50,ABBV,ABBVIE INC.,2019-06-30,10-K,2020-02-21,,,741000000.0,,8255000000.0,,,
49,ABBV,ABBVIE INC.,2019-03-31,10-K,2020-02-21,,,2456000000.0,,7828000000.0,,,
46,ABBV,ABBVIE INC.,2018-12-31,10-K,2019-02-27,7289000000.0,,-1826000000.0,6383000000.0,8305000000.0,32753000000.0,-8446000000.0,59352000000.0
47,ABBV,ABBVIE INC.,2018-12-31,10-K,2020-02-21,7289000000.0,,-1826000000.0,6383000000.0,8305000000.0,32753000000.0,-8446000000.0,59352000000.0
48,ABBV,ABBVIE INC.,2018-12-31,10-K,2021-02-19,,,5687000000.0,6383000000.0,32753000000.0,32753000000.0,,
44,ABBV,ABBVIE INC.,2018-09-30,10-K,2019-02-27,,,2747000000.0,,8236000000.0,,,
45,ABBV,ABBVIE INC.,2018-09-30,10-K,2020-02-21,,,2747000000.0,,8236000000.0,,,
42,ABBV,ABBVIE INC.,2018-06-30,10-K,2019-02-27,,,1983000000.0,,8278000000.0,,,
43,ABBV,ABBVIE INC.,2018-06-30,10-K,2020-02-21,,,1983000000.0,,8278000000.0,,,
40,ABBV,ABBVIE INC.,2018-03-31,10-K,2019-02-27,,,2783000000.0,,7934000000.0,,,
41,ABBV,ABBVIE INC.,2018-03-31,10-K,2020-02-21,,,2783000000.0,,7934000000.0,,,
37,ABBV,ABBVIE INC.,2017-12-31,10-K,2018-02-16,9303000000.0,,52000000.0,9592000000.0,,,5097000000.0,70786000000.0
38,ABBV,ABBVIE INC.,2017-12-31,10-K,2019-02-27,9303000000.0,,52000000.0,9545000000.0,7739000000.0,28216000000.0,5097000000.0,70786000000.0
39,ABBV,ABBVIE INC.,2017-12-31,10-K,2020-02-21,9303000000.0,,5309000000.0,9545000000.0,28216000000.0,28216000000.0,5097000000.0,
35,ABBV,ABBVIE INC.,2017-09-30,10-K,2018-02-16,,,1631000000.0,,,,,
36,ABBV,ABBVIE INC.,2017-09-30,10-K,2019-02-27,,,1631000000.0,,6995000000.0,,,
33,ABBV,ABBVIE INC.,2017-06-30,10-K,2018-02-16,,,1915000000.0,,,,,
34,ABBV,ABBVIE INC.,2017-06-30,10-K,2019-02-27,,,1915000000.0,,6944000000.0,,,
31,ABBV,ABBVIE INC.,2017-03-31,10-K,2018-02-16,,,1711000000.0,,,,,
32,ABBV,ABBVIE INC.,2017-03-31,10-K,2019-02-27,,,1711000000.0,,6538000000.0,,,
27,ABBV,ABBVIE INC.,2016-12-31,10-K,2017-02-17,5100000000.0,,1391000000.0,9384000000.0,,,4636000000.0,66099000000.0
28,ABBV,ABBVIE INC.,2016-12-31,10-K,2018-02-16,5100000000.0,,1391000000.0,9384000000.0,,,4636000000.0,66099000000.0
29,ABBV,ABBVIE INC.,2016-12-31,10-K,2019-02-27,5100000000.0,,5953000000.0,9340000000.0,25638000000.0,25638000000.0,4636000000.0,
30,ABBV,ABBVIE INC.,2016-12-31,10-K,2020-02-21,5100000000.0,,,,,,4636000000.0,
25,ABBV,ABBVIE INC.,2016-09-30,10-K,2017-02-17,,,1598000000.0,,,,,
26,ABBV,ABBVIE INC.,2016-09-30,10-K,2018-02-16,,,1598000000.0,,,,,
23,ABBV,ABBVIE INC.,2016-06-30,10-K,2017-02-17,,,1610000000.0,,,,,
24,ABBV,ABBVIE INC.,2016-06-30,10-K,2018-02-16,,,1610000000.0,,,,,
21,ABBV,ABBVIE INC.,2016-03-31,10-K,2017-02-17,,,1354000000.0,,,,,
22,ABBV,ABBVIE INC.,2016-03-31,10-K,2018-02-16,,,1354000000.0,,,,,
17,ABBV,ABBVIE INC.,2015-12-31,10-K,2016-02-19,8399000000.0,,,7537000000.0,,,3945000000.0,53050000000.0
18,ABBV,ABBVIE INC.,2015-12-31,10-K,2017-02-17,8399000000.0,,1517000000.0,7537000000.0,,,3945000000.0,53050000000.0
19,ABBV,ABBVIE INC.,2015-12-31,10-K,2018-02-16,8399000000.0,,5144000000.0,7537000000.0,,,3945000000.0,
20,ABBV,ABBVIE INC.,2015-12-31,10-K,2019-02-27,8399000000.0,,,,,,3945000000.0,
16,ABBV,ABBVIE INC.,2015-09-30,10-K,2017-02-17,,,1239000000.0,,,,,
15,ABBV,ABBVIE INC.,2015-06-30,10-K,2017-02-17,,,1366000000.0,,,,,
14,ABBV,ABBVIE INC.,2015-03-31,10-K,2017-02-17,,,1022000000.0,,,,,
