,ticker,company,end_date,form,filed,cash,long_term_debt,revenue,stockholders_equity,total_assets
20,DOW,Dow Inc.,2025-12-31,10-K,2026-02-03,3816000000.0,,39968000000.0,16008000000.0,58538000000.0
18,DOW,Dow Inc.,2024-12-31,10-K,2025-02-04,2189000000.0,,42964000000.0,17355000000.0,57312000000.0
19,DOW,Dow Inc.,2024-12-31,10-K,2026-02-03,2189000000.0,,42964000000.0,17355000000.0,57312000000.0
15,DOW,Dow Inc.,2023-12-31,10-K,2024-01-31,2987000000.0,,44622000000.0,18607000000.0,57967000000.0
16,DOW,Dow Inc.,2023-12-31,10-K,2025-02-04,2987000000.0,,44622000000.0,18607000000.0,57967000000.0
17,DOW,Dow Inc.,2023-12-31,10-K,2026-02-03,2987000000.0,,44622000000.0,18607000000.0,57967000000.0
12,DOW,Dow Inc.,2022-12-31,10-K,2023-02-01,3886000000.0,15060000000.0,,20718000000.0,60603000000.0
13,DOW,Dow Inc.,2022-12-31,10-K,2024-01-31,3886000000.0,,56902000000.0,20718000000.0,60603000000.0
14,DOW,Dow Inc.,2022-12-31,10-K,2025-02-04,3886000000.0,,56902000000.0,20718000000.0,60603000000.0
9,DOW,Dow Inc.,2021-12-31,10-K,2022-02-04,2988000000.0,14511000000.0,54968000000.0,18165000000.0,62990000000.0
10,DOW,Dow Inc.,2021-12-31,10-K,2023-02-01,2988000000.0,14511000000.0,,18165000000.0,62990000000.0
11,DOW,Dow Inc.,2021-12-31,10-K,2024-01-31,2988000000.0,,54968000000.0,18165000000.0,62990000000.0
6,DOW,Dow Inc.,2020-12-31,10-K,2021-02-05,5104000000.0,16951000000.0,38542000000.0,12435000000.0,61470000000.0
7,DOW,Dow Inc.,2020-12-31,10-K,2022-02-04,5104000000.0,16951000000.0,38542000000.0,12435000000.0,61470000000.0
8,DOW,Dow Inc.,2020-12-31,10-K,2023-02-01,5104000000.0,,,12435000000.0,61470000000.0
3,DOW,Dow Inc.,2019-12-31,10-K,2020-02-07,2367000000.0,16410000000.0,42951000000.0,13541000000.0,60524000000.0
4,DOW,Dow Inc.,2019-12-31,10-K,2021-02-05,2367000000.0,16410000000.0,42951000000.0,13541000000.0,60524000000.0
5,DOW,Dow Inc.,2019-12-31,10-K,2022-02-04,2367000000.0,,42951000000.0,13541000000.0,
1,DOW,Dow Inc.,2018-12-31,10-K,2020-02-07,2724000000.0,19591000000.0,49604000000.0,32483000000.0,83699000000.0
2,DOW,Dow Inc.,2018-12-31,10-K,2021-02-05,2724000000.0,,49604000000.0,32483000000.0,
0,DOW,Dow Inc.,2017-12-31,10-K,2020-02-07,6189000000.0,,,31515000000.0,
