,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
114,DLR,"DIGITAL REALTY TRUST, INC.",2025-12-31,10-K,2026-02-13,3451647000.0,,1308589000.0,658492000.0,6112692000.0,343557000.0,22925663000.0,49410468000.0,24564494000.0
112,DLR,"DIGITAL REALTY TRUST, INC.",2024-12-31,10-K,2025-02-25,3870891000.0,,602490000.0,471864000.0,5554968000.0,336637000.0,21340397000.0,45283616000.0,22107836000.0
113,DLR,"DIGITAL REALTY TRUST, INC.",2024-12-31,10-K,2026-02-13,3870891000.0,,602490000.0,471864000.0,5554968000.0,336637.0,21340397000.0,45283616000.0,22107836000.0
109,DLR,"DIGITAL REALTY TRUST, INC.",2023-12-31,10-K,2024-02-23,1625495000.0,,948838000.0,524461000.0,5477061000.0,311608000.0,19117534000.0,44113258000.0,23116937000.0
110,DLR,"DIGITAL REALTY TRUST, INC.",2023-12-31,10-K,2025-02-25,1625495000.0,,948838000.0,524461000.0,5477061000.0,311608000.0,19117534000.0,44113258000.0,23116937000.0
111,DLR,"DIGITAL REALTY TRUST, INC.",2023-12-31,10-K,2026-02-13,1625495000.0,,948838000.0,524461000.0,5477061000.0,,,,
106,DLR,"DIGITAL REALTY TRUST, INC.",2022-12-31,10-K,2023-02-27,141773000.0,,377684000.0,589968000.0,4691834000.0,291148000.0,17583334000.0,41484998000.0,21862854000.0
107,DLR,"DIGITAL REALTY TRUST, INC.",2022-12-31,10-K,2024-02-23,141773000.0,,377684000.0,589968000.0,4691834000.0,291148000.0,17583334000.0,41484998000.0,21862854000.0
108,DLR,"DIGITAL REALTY TRUST, INC.",2022-12-31,10-K,2025-02-25,141773000.0,,377684000.0,589968000.0,4691834000.0,,,,
103,DLR,"DIGITAL REALTY TRUST, INC.",2021-12-31,10-K,2022-02-25,142698000.0,,1709259000.0,694009000.0,4427882000.0,284415013.0,18004568000.0,36369560000.0,17845778000.0
104,DLR,"DIGITAL REALTY TRUST, INC.",2021-12-31,10-K,2023-02-27,142698000.0,,1709259000.0,694009000.0,4427882000.0,284415000.0,18004568000.0,36369560000.0,17845778000.0
105,DLR,"DIGITAL REALTY TRUST, INC.",2021-12-31,10-K,2024-02-23,142698000.0,,1709259000.0,694009000.0,4427882000.0,,,,
100,DLR,"DIGITAL REALTY TRUST, INC.",2020-12-31,10-K,2021-03-01,108501000.0,,57691000.0,557526000.0,1062609000.0,280289726.0,17717697000.0,36076291000.0,17587944000.0
101,DLR,"DIGITAL REALTY TRUST, INC.",2020-12-31,10-K,2022-02-25,108501000.0,,356398000.0,557526000.0,3903609000.0,280289726.0,17717697000.0,36076291000.0,17587944000.0
102,DLR,"DIGITAL REALTY TRUST, INC.",2020-12-31,10-K,2023-02-27,108501000.0,,356398000.0,557526000.0,3903609000.0,,,,
99,DLR,"DIGITAL REALTY TRUST, INC.",2020-09-30,10-K,2021-03-01,,,-138000.0,,1024668000.0,,,,
98,DLR,"DIGITAL REALTY TRUST, INC.",2020-06-30,10-K,2021-03-01,,,74831000.0,,992995000.0,,,,
97,DLR,"DIGITAL REALTY TRUST, INC.",2020-03-31,10-K,2021-03-01,,,224014000.0,,823337000.0,,,,
94,DLR,"DIGITAL REALTY TRUST, INC.",2019-12-31,10-K,2020-03-02,89817000.0,,336284000.0,594215000.0,787463000.0,208900758.0,9879312000.0,23068131000.0,12418566000.0
95,DLR,"DIGITAL REALTY TRUST, INC.",2019-12-31,10-K,2021-03-01,89817000.0,,336284000.0,594215000.0,787463000.0,208900758.0,9879312000.0,23068131000.0,12418566000.0
96,DLR,"DIGITAL REALTY TRUST, INC.",2019-12-31,10-K,2022-02-25,89817000.0,,579761000.0,594215000.0,3209241000.0,,,,
92,DLR,"DIGITAL REALTY TRUST, INC.",2019-09-30,10-K,2020-03-02,,,66497000.0,,806466000.0,,,,
93,DLR,"DIGITAL REALTY TRUST, INC.",2019-09-30,10-K,2021-03-01,,,66497000.0,,806466000.0,,,,
90,DLR,"DIGITAL REALTY TRUST, INC.",2019-06-30,10-K,2020-03-02,,,60168000.0,,800797000.0,,,,
91,DLR,"DIGITAL REALTY TRUST, INC.",2019-06-30,10-K,2021-03-01,,,60168000.0,,800797000.0,,,,
88,DLR,"DIGITAL REALTY TRUST, INC.",2019-03-31,10-K,2020-03-02,,,116812000.0,,814515000.0,,,,
