,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
133,ADBE,ADOBE INC.,2025-11-28,10-K,2026-01-15,5431000000.0,6210000000.0,7130000000.0,8706000000.0,23769000000.0,413000000.0,11623000000.0,29496000000.0,17873000000.0
131,ADBE,ADOBE INC.,2024-11-29,10-K,2025-01-13,7613000000.0,4129000000.0,5560000000.0,6741000000.0,21505000000.0,441000000.0,14105000000.0,30230000000.0,16125000000.0
132,ADBE,ADOBE INC.,2024-11-29,10-K,2026-01-15,7613000000.0,4129000000.0,5560000000.0,6741000000.0,21505000000.0,441000000.0,14105000000.0,30230000000.0,16125000000.0
128,ADBE,ADOBE INC.,2023-12-01,10-K,2024-01-17,7141000000.0,3634000000.0,5428000000.0,6650000000.0,19409000000.0,455000000.0,16518000000.0,29779000000.0,13261000000.0
129,ADBE,ADOBE INC.,2023-12-01,10-K,2025-01-13,7141000000.0,3634000000.0,5428000000.0,6650000000.0,19409000000.0,455000000.0,16518000000.0,29779000000.0,13261000000.0
130,ADBE,ADOBE INC.,2023-12-01,10-K,2026-01-15,,,5428000000.0,6650000000.0,19409000000.0,,16518000000.0,,
124,ADBE,ADOBE INC.,2022-12-02,10-K,2023-01-17,4236000000.0,3629000000.0,4756000000.0,6098000000.0,17606000000.0,462000000.0,14051000000.0,27165000000.0,13114000000.0
125,ADBE,ADOBE INC.,2022-12-02,10-K,2024-01-17,4236000000.0,3629000000.0,4756000000.0,6098000000.0,17606000000.0,462000000.0,14051000000.0,27165000000.0,13114000000.0
126,ADBE,ADOBE INC.,2022-12-02,10-K,2025-01-13,,,4756000000.0,6098000000.0,17606000000.0,,14051000000.0,,
127,ADBE,ADOBE INC.,2022-12-02,10-K,2026-01-15,,,,,,,14051000000.0,,
120,ADBE,ADOBE INC.,2021-12-03,10-K,2022-01-21,3844000000.0,4123000000.0,4822000000.0,5802000000.0,15785000000.0,475000000.0,14797000000.0,27241000000.0,12444000000.0
121,ADBE,ADOBE INC.,2021-12-03,10-K,2023-01-17,3844000000.0,4123000000.0,4822000000.0,5802000000.0,15785000000.0,475000000.0,14797000000.0,27241000000.0,12444000000.0
122,ADBE,ADOBE INC.,2021-12-03,10-K,2024-01-17,,,4822000000.0,5802000000.0,15785000000.0,,14797000000.0,,
123,ADBE,ADOBE INC.,2021-12-03,10-K,2025-01-13,,,,,,,14797000000.0,,
116,ADBE,ADOBE INC.,2020-11-27,10-K,2021-01-15,4478000000.0,4117000000.0,2250000000.0,4237000000.0,3424000000.0,479000000.0,13264000000.0,24284000000.0,11020000000.0
117,ADBE,ADOBE INC.,2020-11-27,10-K,2022-01-21,4478000000.0,4117000000.0,5260000000.0,4237000000.0,12868000000.0,479000000.0,13264000000.0,24284000000.0,11020000000.0
118,ADBE,ADOBE INC.,2020-11-27,10-K,2023-01-17,,,5260000000.0,4237000000.0,12868000000.0,,13264000000.0,,
119,ADBE,ADOBE INC.,2020-11-27,10-K,2024-01-17,,,,,,,13264000000.0,,
115,ADBE,ADOBE INC.,2020-08-28,10-K,2021-01-15,,,955000000.0,,3225000000.0,,,,
114,ADBE,ADOBE INC.,2020-05-29,10-K,2021-01-15,,,1100000000.0,,3128000000.0,,,,
113,ADBE,ADOBE INC.,2020-02-28,10-K,2021-01-15,,,955000000.0,,3091000000.0,,,,
109,ADBE,ADOBE INC.,2019-11-29,10-K,2020-01-21,2650221000.0,,851861000.0,3268121000.0,2991945000.0,482339000.0,10530155000.0,20762400000.0,10232245000.0
110,ADBE,ADOBE INC.,2019-11-29,10-K,2021-01-15,2650000000.0,989000000.0,852000000.0,3268000000.0,2992000000.0,483000000.0,10530000000.0,20762000000.0,10232000000.0
111,ADBE,ADOBE INC.,2019-11-29,10-K,2022-01-21,2650000000.0,,2951000000.0,3268000000.0,11171000000.0,,10530000000.0,,
112,ADBE,ADOBE INC.,2019-11-29,10-K,2023-01-17,,,,,,,10530000000.0,,
107,ADBE,ADOBE INC.,2019-08-30,10-K,2020-01-21,,,792763000.0,,2834126000.0,,,,
108,ADBE,ADOBE INC.,2019-08-30,10-K,2021-01-15,,,793000000.0,,2834000000.0,,,,
105,ADBE,ADOBE INC.,2019-05-31,10-K,2020-01-21,,,632593000.0,,2744280000.0,,,,
106,ADBE,ADOBE INC.,2019-05-31,10-K,2021-01-15,,,633000000.0,,2744000000.0,,,,
103,ADBE,ADOBE INC.,2019-03-01,10-K,2020-01-21,,,674241000.0,,2600946000.0,,,,
104,ADBE,ADOBE INC.,2019-03-01,10-K,2021-01-15,,,674000000.0,,2601000000.0,,,,
99,ADBE,ADOBE INC.,2018-11-30,10-K,2019-01-25,1642775000.0,,678240000.0,2840369000.0,2464625000.0,487663000.0,9362114000.0,18768682000.0,9406568000.0
100,ADBE,ADOBE INC.,2018-11-30,10-K,2020-01-21,1642775000.0,,678240000.0,2840369000.0,2464625000.0,487663000.0,9362114000.0,18768682000.0,9406568000.0
101,ADBE,ADOBE INC.,2018-11-30,10-K,2021-01-15,1643000000.0,,2591000000.0,2840000000.0,9030000000.0,,9362000000.0,,
102,ADBE,ADOBE INC.,2018-11-30,10-K,2022-01-21,1643000000.0,,,,,,9362000000.0,,
97,ADBE,ADOBE INC.,2018-08-31,10-K,2019-01-25,,,666291000.0,,2291076000.0,,,,
98,ADBE,ADOBE INC.,2018-08-31,10-K,2020-01-21,,,666291000.0,,2291076000.0,,,,
95,ADBE,ADOBE INC.,2018-06-01,10-K,2019-01-25,,,663167000.0,,2195360000.0,,,,
96,ADBE,ADOBE INC.,2018-06-01,10-K,2020-01-21,,,663167000.0,,2195360000.0,,,,
93,ADBE,ADOBE INC.,2018-03-02,10-K,2019-01-25,,,583076000.0,,2078947000.0,,,,
94,ADBE,ADOBE INC.,2018-03-02,10-K,2020-01-21,,,583076000.0,,2078947000.0,,,,
89,ADBE,ADOBE INC.,2017-12-01,10-K,2018-01-22,2306072000.0,,501549000.0,2168095000.0,2006595000.0,491262000.0,8459869000.0,14535556000.0,6075687000.0
