,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
123,EA,ELECTRONIC ARTS INC.,2025-03-31,10-K,2025-05-13,,1121000000.0,1520000000.0,7463000000.0,252000000.0,6386000000.0,12368000000.0,5982000000.0
121,EA,ELECTRONIC ARTS INC.,2024-03-31,10-K,2024-05-22,,1273000000.0,1518000000.0,7562000000.0,266000000.0,7513000000.0,13420000000.0,5907000000.0
122,EA,ELECTRONIC ARTS INC.,2024-03-31,10-K,2025-05-13,,1273000000.0,1518000000.0,7562000000.0,266000000.0,7513000000.0,13420000000.0,5907000000.0
118,EA,ELECTRONIC ARTS INC.,2023-03-31,10-K,2023-05-24,,802000000.0,1332000000.0,7426000000.0,273000000.0,7293000000.0,13459000000.0,6166000000.0
119,EA,ELECTRONIC ARTS INC.,2023-03-31,10-K,2024-05-22,,802000000.0,1332000000.0,7426000000.0,273000000.0,7293000000.0,13459000000.0,6166000000.0
120,EA,ELECTRONIC ARTS INC.,2023-03-31,10-K,2025-05-13,,802000000.0,1332000000.0,7426000000.0,,7293000000.0,,
114,EA,ELECTRONIC ARTS INC.,2022-03-31,10-K,2022-05-25,2732000000.0,789000000.0,1129000000.0,6991000000.0,280000000.0,7625000000.0,13800000000.0,6175000000.0
115,EA,ELECTRONIC ARTS INC.,2022-03-31,10-K,2023-05-24,,789000000.0,1129000000.0,6991000000.0,280000000.0,7625000000.0,13800000000.0,6175000000.0
116,EA,ELECTRONIC ARTS INC.,2022-03-31,10-K,2024-05-22,,789000000.0,1129000000.0,6991000000.0,,7625000000.0,,
117,EA,ELECTRONIC ARTS INC.,2022-03-31,10-K,2025-05-13,,,,,,7625000000.0,,
110,EA,ELECTRONIC ARTS INC.,2021-03-31,10-K,2021-05-26,5260000000.0,837000000.0,1046000000.0,5629000000.0,286000000.0,7840000000.0,13288000000.0,5448000000.0
111,EA,ELECTRONIC ARTS INC.,2021-03-31,10-K,2022-05-25,5260000000.0,837000000.0,1046000000.0,5629000000.0,286000000.0,7840000000.0,13288000000.0,5448000000.0
112,EA,ELECTRONIC ARTS INC.,2021-03-31,10-K,2023-05-24,,837000000.0,1046000000.0,5629000000.0,,7840000000.0,,
113,EA,ELECTRONIC ARTS INC.,2021-03-31,10-K,2024-05-22,,,,,,7840000000.0,,
106,EA,ELECTRONIC ARTS INC.,2020-03-31,10-K,2020-05-20,3768000000.0,418000000.0,401000000.0,1387000000.0,288000000.0,7461000000.0,11112000000.0,3651000000.0
107,EA,ELECTRONIC ARTS INC.,2020-03-31,10-K,2021-05-26,3768000000.0,3039000000.0,1445000000.0,5537000000.0,288000000.0,7461000000.0,11112000000.0,3651000000.0
108,EA,ELECTRONIC ARTS INC.,2020-03-31,10-K,2022-05-25,3768000000.0,3039000000.0,1445000000.0,5537000000.0,,7461000000.0,,
109,EA,ELECTRONIC ARTS INC.,2020-03-31,10-K,2023-05-24,,,,,,7461000000.0,,
105,EA,ELECTRONIC ARTS INC.,2019-12-31,10-K,2020-05-20,,346000000.0,361000000.0,1593000000.0,,,,
104,EA,ELECTRONIC ARTS INC.,2019-09-30,10-K,2020-05-20,,854000000.0,268000000.0,1348000000.0,,,,
103,EA,ELECTRONIC ARTS INC.,2019-06-30,10-K,2020-05-20,,1421000000.0,415000000.0,1209000000.0,,,,
99,EA,ELECTRONIC ARTS INC.,2019-03-31,10-K,2019-05-24,4708000000.0,209000000.0,196000000.0,1238000000.0,298000000.0,5331000000.0,8957000000.0,3626000000.0
100,EA,ELECTRONIC ARTS INC.,2019-03-31,10-K,2020-05-20,4708000000.0,209000000.0,196000000.0,1238000000.0,298000000.0,5331000000.0,8957000000.0,3626000000.0
101,EA,ELECTRONIC ARTS INC.,2019-03-31,10-K,2021-05-26,4708000000.0,1019000000.0,996000000.0,4950000000.0,,5331000000.0,,
102,EA,ELECTRONIC ARTS INC.,2019-03-31,10-K,2022-05-25,4708000000.0,,,,,5331000000.0,,
97,EA,ELECTRONIC ARTS INC.,2018-12-31,10-K,2019-05-24,,262000000.0,242000000.0,1289000000.0,,,,
98,EA,ELECTRONIC ARTS INC.,2018-12-31,10-K,2020-05-20,,262000000.0,242000000.0,1289000000.0,,,,
95,EA,ELECTRONIC ARTS INC.,2018-09-30,10-K,2019-05-24,,255000000.0,258000000.0,1286000000.0,,,,
96,EA,ELECTRONIC ARTS INC.,2018-09-30,10-K,2020-05-20,,255000000.0,258000000.0,1286000000.0,,,,
93,EA,ELECTRONIC ARTS INC.,2018-06-30,10-K,2019-05-24,,293000000.0,300000000.0,1137000000.0,,,,
94,EA,ELECTRONIC ARTS INC.,2018-06-30,10-K,2020-05-20,,293000000.0,300000000.0,1137000000.0,,,,
89,EA,ELECTRONIC ARTS INC.,2018-03-31,10-K,2018-05-23,4258000000.0,607000000.0,753000000.0,,306000000.0,4595000000.0,8584000000.0,3989000000.0
90,EA,ELECTRONIC ARTS INC.,2018-03-31,10-K,2019-05-24,4258000000.0,607000000.0,753000000.0,1582000000.0,306000000.0,4595000000.0,8584000000.0,3989000000.0
91,EA,ELECTRONIC ARTS INC.,2018-03-31,10-K,2020-05-20,4258000000.0,1043000000.0,1434000000.0,5150000000.0,,4595000000.0,,
92,EA,ELECTRONIC ARTS INC.,2018-03-31,10-K,2021-05-26,4258000000.0,,,,,4595000000.0,,
87,EA,ELECTRONIC ARTS INC.,2017-12-31,10-K,2018-05-23,,-186000000.0,-21000000.0,,,,,
88,EA,ELECTRONIC ARTS INC.,2017-12-31,10-K,2019-05-24,,-186000000.0,-21000000.0,1160000000.0,,,,
85,EA,ELECTRONIC ARTS INC.,2017-09-30,10-K,2018-05-23,,-22000000.0,-41000000.0,,,,,
86,EA,ELECTRONIC ARTS INC.,2017-09-30,10-K,2019-05-24,,-22000000.0,-41000000.0,959000000.0,,,,
83,EA,ELECTRONIC ARTS INC.,2017-06-30,10-K,2018-05-23,,644000000.0,743000000.0,,,,,
84,EA,ELECTRONIC ARTS INC.,2017-06-30,10-K,2019-05-24,,644000000.0,743000000.0,1449000000.0,,,,
79,EA,ELECTRONIC ARTS INC.,2017-03-31,10-K,2017-05-24,2565000000.0,566000000.0,717000000.0,,308000000.0,4060000000.0,7718000000.0,3658000000.0
80,EA,ELECTRONIC ARTS INC.,2017-03-31,10-K,2018-05-23,2565000000.0,566000000.0,717000000.0,,308000000.0,4060000000.0,7718000000.0,3658000000.0
81,EA,ELECTRONIC ARTS INC.,2017-03-31,10-K,2019-05-24,2565000000.0,967000000.0,1224000000.0,4845000000.0,,4060000000.0,,
82,EA,ELECTRONIC ARTS INC.,2017-03-31,10-K,2020-05-20,2565000000.0,,,,,4060000000.0,,
77,EA,ELECTRONIC ARTS INC.,2016-12-31,10-K,2017-05-24,,-1000000.0,-4000000.0,,,,,
78,EA,ELECTRONIC ARTS INC.,2016-12-31,10-K,2018-05-23,,-1000000.0,-4000000.0,,,,,
75,EA,ELECTRONIC ARTS INC.,2016-09-30,10-K,2017-05-24,,-38000000.0,-49000000.0,,,,,
76,EA,ELECTRONIC ARTS INC.,2016-09-30,10-K,2018-05-23,,-38000000.0,-49000000.0,,,,,
73,EA,ELECTRONIC ARTS INC.,2016-06-30,10-K,2017-05-24,,440000000.0,560000000.0,,,,,
74,EA,ELECTRONIC ARTS INC.,2016-06-30,10-K,2018-05-23,,440000000.0,560000000.0,,,,,
