,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
77,CTRA,COTERRA ENERGY INC.,2025-12-31,10-K,2026-02-27,114000000.0,3818000000.0,1717000000.0,2452000000.0,7645000000.0,7294000000.0,14838000000.0,24241000000.0,9395000000.0
75,CTRA,COTERRA ENERGY INC.,2024-12-31,10-K,2025-02-25,2038000000.0,3535000000.0,1121000000.0,1389000000.0,5458000000.0,5461000000.0,13122000000.0,21625000000.0,8495000000.0
76,CTRA,COTERRA ENERGY INC.,2024-12-31,10-K,2026-02-27,2038000000.0,3535000000.0,1121000000.0,1389000000.0,5458000000.0,5461000000.0,13122000000.0,21625000000.0,8495000000.0
72,CTRA,COTERRA ENERGY INC.,2023-12-31,10-K,2024-02-23,956000000.0,2161000000.0,1625000000.0,2154000000.0,5914000000.0,5684000000.0,13039000000.0,20415000000.0,7368000000.0
73,CTRA,COTERRA ENERGY INC.,2023-12-31,10-K,2025-02-25,956000000.0,2161000000.0,1625000000.0,2154000000.0,5914000000.0,5684000000.0,13039000000.0,20415000000.0,7368000000.0
74,CTRA,COTERRA ENERGY INC.,2023-12-31,10-K,2026-02-27,,,1625000000.0,2154000000.0,5914000000.0,5684000000.0,13039000000.0,,
68,CTRA,COTERRA ENERGY INC.,2022-12-31,10-K,2023-02-27,673000000.0,2181000000.0,4065000000.0,5209000000.0,9051000000.0,9514000000.0,12659000000.0,20154000000.0,7484000000.0
69,CTRA,COTERRA ENERGY INC.,2022-12-31,10-K,2024-02-23,673000000.0,2181000000.0,4065000000.0,5209000000.0,9051000000.0,9514000000.0,12659000000.0,20154000000.0,7484000000.0
70,CTRA,COTERRA ENERGY INC.,2022-12-31,10-K,2025-02-25,,,4065000000.0,5209000000.0,9051000000.0,9514000000.0,12659000000.0,,
71,CTRA,COTERRA ENERGY INC.,2022-12-31,10-K,2026-02-27,,,,,,,12659000000.0,,
64,CTRA,COTERRA ENERGY INC.,2021-12-31,10-K,2022-03-01,1036000000.0,3125000000.0,1158000000.0,1564000000.0,3449000000.0,3670000000.0,11738000000.0,19900000000.0,8112000000.0
65,CTRA,COTERRA ENERGY INC.,2021-12-31,10-K,2023-02-27,1036000000.0,3125000000.0,1158000000.0,1564000000.0,3449000000.0,3670000000.0,11738000000.0,19900000000.0,8112000000.0
66,CTRA,COTERRA ENERGY INC.,2021-12-31,10-K,2024-02-23,,,1158000000.0,1564000000.0,3449000000.0,3670000000.0,11738000000.0,,
