,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets,total_liabilities
123,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2025-12-31,10-K,2026-02-04,350545000.0,0.0,1535761000.0,1935798000.0,11925601000.0,2830607000.0,8994531000.0,6163924000.0
121,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2024-12-31,10-K,2025-02-05,748537000.0,0.0,1534110000.0,1916333000.0,11313853000.0,3655546000.0,9204374000.0,5548828000.0
122,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2024-12-31,10-K,2026-02-04,748537000.0,,1534110000.0,1916333000.0,11313853000.0,3655546000.0,9204374000.0,5548828000.0
118,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2023-12-31,10-K,2024-02-08,560609000.0,0.0,1228737000.0,1557813000.0,9871649000.0,3062207000.0,8044362000.0,4982155000.0
119,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2023-12-31,10-K,2025-02-05,560609000.0,,1228737000.0,1557813000.0,9871649000.0,3062207000.0,8044362000.0,4982155000.0
120,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2023-12-31,10-K,2026-02-04,,,1228737000.0,1557813000.0,9871649000.0,3062207000.0,,
114,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2022-12-31,10-K,2023-02-09,384000000.0,0.0,899101000.0,1160403000.0,8634652000.0,2368023000.0,6927504000.0,4559481000.0
115,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2022-12-31,10-K,2024-02-08,384000000.0,,899101000.0,1160403000.0,8634652000.0,2368023000.0,6927504000.0,4559481000.0
116,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2022-12-31,10-K,2025-02-05,,,899101000.0,1160403000.0,8634652000.0,2368023000.0,,
117,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2022-12-31,10-K,2026-02-04,,,,,,2368023000.0,,
110,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2021-12-31,10-K,2022-02-11,815374000.0,0.0,652984000.0,804943000.0,7547061000.0,2297374000.0,6652958000.0,4355584000.0
111,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2021-12-31,10-K,2023-02-09,815374000.0,,652984000.0,804943000.0,7547061000.0,2297374000.0,6652958000.0,4355584000.0
112,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2021-12-31,10-K,2024-02-08,,,652984000.0,804943000.0,7547061000.0,2297374000.0,,
113,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2021-12-31,10-K,2025-02-05,,,,,,2297374000.0,,
106,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-12-31,10-K,2021-02-10,607987000.0,0.0,190959000.0,116886000.0,1607710000.0,2020135000.0,5982896000.0,3962761000.0
107,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-12-31,10-K,2022-02-11,607987000.0,,355766000.0,290164000.0,5984634000.0,2020135000.0,5982896000.0,3962761000.0
108,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-12-31,10-K,2023-02-09,,,355766000.0,290164000.0,5984634000.0,2020135000.0,,
109,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-12-31,10-K,2024-02-08,,,,,,2020135000.0,,
105,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-09-30,10-K,2021-02-10,,,80244000.0,107096000.0,1601414000.0,,,
104,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-06-30,10-K,2021-02-10,,,8175000.0,-4939000.0,1364738000.0,,,
103,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2020-03-31,10-K,2021-02-10,,,76388000.0,71121000.0,1410772000.0,,,
99,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-12-31,10-K,2020-02-05,480626000.0,0.0,72416000.0,98156000.0,1440224000.0,1683026000.0,5104604000.0,3421578000.0
100,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-12-31,10-K,2021-02-10,480626000.0,,72416000.0,98156000.0,1440224000.0,1683026000.0,5104604000.0,3421578000.0
101,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-12-31,10-K,2022-02-11,,,350158000.0,443958000.0,5586369000.0,1683026000.0,,
102,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-12-31,10-K,2023-02-09,,,,,,1683026000.0,,
97,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-09-30,10-K,2020-02-05,,,98582000.0,115621000.0,1403697000.0,,,
98,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-09-30,10-K,2021-02-10,,,98582000.0,115621000.0,1403697000.0,,,
95,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-06-30,10-K,2020-02-05,,,91028000.0,120020000.0,1434231000.0,,,
96,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-06-30,10-K,2021-02-10,,,91028000.0,120020000.0,1434231000.0,,,
93,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-03-31,10-K,2020-02-05,,,88132000.0,110161000.0,1308217000.0,,,
94,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2019-03-31,10-K,2021-02-10,,,88132000.0,110161000.0,1308217000.0,,,
89,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-12-31,10-K,2019-02-08,249953000.0,,32019000.0,39612000.0,1225061000.0,1441339000.0,2265518000.0,824179000.0
90,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-12-31,10-K,2020-02-05,249953000.0,,32019000.0,39612000.0,1225061000.0,1441339000.0,2265518000.0,824179000.0
91,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-12-31,10-K,2021-02-10,,,176553000.0,258368000.0,4864985000.0,1441339000.0,,
92,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-12-31,10-K,2022-02-11,,,,,,1441339000.0,,
87,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-09-30,10-K,2019-02-08,,,38204000.0,57991000.0,1225007000.0,,,
88,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-09-30,10-K,2020-02-05,,,38204000.0,57991000.0,1225007000.0,,,
85,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-06-30,10-K,2019-02-08,,,46884000.0,67957000.0,1266520000.0,,,
86,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-06-30,10-K,2020-02-05,,,46884000.0,67957000.0,1266520000.0,,,
83,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-03-31,10-K,2019-02-08,,,59446000.0,92808000.0,1148397000.0,,,
84,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2018-03-31,10-K,2020-02-05,,,59446000.0,92808000.0,1148397000.0,,,
79,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-12-31,10-K,2018-02-08,184569000.0,,43793000.0,60029000.0,,1364445000.0,2045692000.0,681247000.0
80,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-12-31,10-K,2019-02-08,184569000.0,,43793000.0,60029000.0,1110100000.0,1364445000.0,2045692000.0,681247000.0
81,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-12-31,10-K,2020-02-05,,,176253000.0,270794000.0,4476412000.0,1364445000.0,,
82,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-12-31,10-K,2021-02-10,,,,,,1364445000.0,,
77,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-09-30,10-K,2018-02-08,,,19610000.0,30867000.0,,,,
78,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-09-30,10-K,2019-02-08,,,19610000.0,30867000.0,1128074000.0,,,
75,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-06-30,10-K,2018-02-08,,,66730000.0,106725000.0,,,,
76,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-06-30,10-K,2019-02-08,,,66730000.0,106725000.0,1169409000.0,,,
73,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-03-31,10-K,2018-02-08,,,46120000.0,73173000.0,,,,
74,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2017-03-31,10-K,2019-02-08,,,46120000.0,73173000.0,1068829000.0,,,
69,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2016-12-31,10-K,2017-02-07,87880000.0,,15975000.0,30550000.0,,1402493000.0,2026103000.0,623610000.0
70,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2016-12-31,10-K,2018-02-08,87880000.0,,15975000.0,30550000.0,,1402493000.0,2026103000.0,623610000.0
71,CMG,"CHIPOTLE MEXICAN GRILL, INC.",2016-12-31,10-K,2019-02-08,,,22938000.0,34567000.0,3904384000.0,1402493000.0,,
