,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
7,ARM,ARM HOLDINGS PLC /UK,2025-03-31,20-F,2025-05-28,2085000000.0,792000000.0,831000000.0,4007000000.0,1057000000.0,6839000000.0,8932000000.0,2093000000.0
5,ARM,ARM HOLDINGS PLC /UK,2024-03-31,20-F,2024-05-29,1923000000.0,306000000.0,111000000.0,3233000000.0,1040330497.0,5295000000.0,7927000000.0,2632000000.0
6,ARM,ARM HOLDINGS PLC /UK,2024-03-31,20-F,2025-05-28,1923000000.0,306000000.0,111000000.0,3233000000.0,1040000000.0,5295000000.0,7927000000.0,2632000000.0
3,ARM,ARM HOLDINGS PLC /UK,2023-03-31,20-F,2024-05-29,1554000000.0,524000000.0,671000000.0,2679000000.0,1025234000.0,4051000000.0,6866000000.0,2815000000.0
4,ARM,ARM HOLDINGS PLC /UK,2023-03-31,20-F,2025-05-28,,524000000.0,671000000.0,2679000000.0,,4051000000.0,,
1,ARM,ARM HOLDINGS PLC /UK,2022-03-31,20-F,2024-05-29,,549000000.0,633000000.0,2703000000.0,,3548000000.0,,
2,ARM,ARM HOLDINGS PLC /UK,2022-03-31,20-F,2025-05-28,,,,,,3548000000.0,,
0,ARM,ARM HOLDINGS PLC /UK,2021-03-31,20-F,2024-05-29,,,,,,4050000000.0,,
