,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
96,BDX,"BECTON, DICKINSON AND COMPANY",2025-09-30,10-K,2025-11-25,641000000.0,1678000000.0,2579000000.0,21840000000.0,25390000000.0,55325000000.0
94,BDX,"BECTON, DICKINSON AND COMPANY",2024-09-30,10-K,2024-11-27,1717000000.0,1705000000.0,2397000000.0,20178000000.0,25890000000.0,57286000000.0
95,BDX,"BECTON, DICKINSON AND COMPANY",2024-09-30,10-K,2025-11-25,1717000000.0,1705000000.0,2397000000.0,20178000000.0,25890000000.0,57286000000.0
91,BDX,"BECTON, DICKINSON AND COMPANY",2023-09-30,10-K,2023-11-21,1416000000.0,1484000000.0,2111000000.0,19372000000.0,25796000000.0,52780000000.0
92,BDX,"BECTON, DICKINSON AND COMPANY",2023-09-30,10-K,2024-11-27,1416000000.0,1484000000.0,2111000000.0,19372000000.0,25796000000.0,52780000000.0
93,BDX,"BECTON, DICKINSON AND COMPANY",2023-09-30,10-K,2025-11-25,,1484000000.0,2111000000.0,19372000000.0,,
88,BDX,"BECTON, DICKINSON AND COMPANY",2022-09-30,10-K,2022-11-22,1006000000.0,1779000000.0,2282000000.0,18870000000.0,25282000000.0,52934000000.0
89,BDX,"BECTON, DICKINSON AND COMPANY",2022-09-30,10-K,2023-11-21,1006000000.0,1779000000.0,2282000000.0,18870000000.0,25282000000.0,52934000000.0
90,BDX,"BECTON, DICKINSON AND COMPANY",2022-09-30,10-K,2024-11-27,,1779000000.0,2282000000.0,18870000000.0,,
85,BDX,"BECTON, DICKINSON AND COMPANY",2021-09-30,10-K,2021-11-24,2283000000.0,2092000000.0,2799000000.0,20248000000.0,23677000000.0,53866000000.0
86,BDX,"BECTON, DICKINSON AND COMPANY",2021-09-30,10-K,2022-11-22,2283000000.0,2092000000.0,2250000000.0,19131000000.0,23677000000.0,53866000000.0
87,BDX,"BECTON, DICKINSON AND COMPANY",2021-09-30,10-K,2023-11-21,,2092000000.0,2250000000.0,19131000000.0,,
82,BDX,"BECTON, DICKINSON AND COMPANY",2020-09-30,10-K,2020-11-25,2825000000.0,128000000.0,1484000000.0,4784000000.0,23765000000.0,54012000000.0
83,BDX,"BECTON, DICKINSON AND COMPANY",2020-09-30,10-K,2021-11-24,2825000000.0,874000000.0,1484000000.0,17117000000.0,23765000000.0,54012000000.0
84,BDX,"BECTON, DICKINSON AND COMPANY",2020-09-30,10-K,2022-11-22,,874000000.0,912000000.0,16074000000.0,,
81,BDX,"BECTON, DICKINSON AND COMPANY",2020-06-30,10-K,2020-11-25,,286000000.0,,3855000000.0,,
80,BDX,"BECTON, DICKINSON AND COMPANY",2020-03-31,10-K,2020-11-25,,183000000.0,,4253000000.0,,
79,BDX,"BECTON, DICKINSON AND COMPANY",2019-12-31,10-K,2020-11-25,,278000000.0,,4225000000.0,,
76,BDX,"BECTON, DICKINSON AND COMPANY",2019-09-30,10-K,2019-11-27,536000000.0,163000000.0,1760000000.0,4584000000.0,21081000000.0,51765000000.0
77,BDX,"BECTON, DICKINSON AND COMPANY",2019-09-30,10-K,2020-11-25,536000000.0,163000000.0,1760000000.0,4584000000.0,21081000000.0,51765000000.0
78,BDX,"BECTON, DICKINSON AND COMPANY",2019-09-30,10-K,2021-11-24,,1233000000.0,1760000000.0,17290000000.0,,
74,BDX,"BECTON, DICKINSON AND COMPANY",2019-06-30,10-K,2019-11-27,,451000000.0,,4350000000.0,,
75,BDX,"BECTON, DICKINSON AND COMPANY",2019-06-30,10-K,2020-11-25,,451000000.0,,4350000000.0,,
72,BDX,"BECTON, DICKINSON AND COMPANY",2019-03-31,10-K,2019-11-27,,20000000.0,,4195000000.0,,
73,BDX,"BECTON, DICKINSON AND COMPANY",2019-03-31,10-K,2020-11-25,,20000000.0,,4195000000.0,,
70,BDX,"BECTON, DICKINSON AND COMPANY",2018-12-31,10-K,2019-11-27,,599000000.0,,4160000000.0,,
71,BDX,"BECTON, DICKINSON AND COMPANY",2018-12-31,10-K,2020-11-25,,599000000.0,,4160000000.0,,
67,BDX,"BECTON, DICKINSON AND COMPANY",2018-09-30,10-K,2018-11-21,1140000000.0,-135000000.0,1497000000.0,4402000000.0,20994000000.0,53904000000.0
68,BDX,"BECTON, DICKINSON AND COMPANY",2018-09-30,10-K,2019-11-27,1140000000.0,-135000000.0,1509000000.0,4402000000.0,20994000000.0,53904000000.0
69,BDX,"BECTON, DICKINSON AND COMPANY",2018-09-30,10-K,2020-11-25,,311000000.0,1509000000.0,15983000000.0,,53904000000.0
65,BDX,"BECTON, DICKINSON AND COMPANY",2018-06-30,10-K,2018-11-21,,594000000.0,,4278000000.0,,
66,BDX,"BECTON, DICKINSON AND COMPANY",2018-06-30,10-K,2019-11-27,,594000000.0,,4278000000.0,,
63,BDX,"BECTON, DICKINSON AND COMPANY",2018-03-31,10-K,2018-11-21,,-12000000.0,,4222000000.0,,
64,BDX,"BECTON, DICKINSON AND COMPANY",2018-03-31,10-K,2019-11-27,,-12000000.0,,4222000000.0,,
61,BDX,"BECTON, DICKINSON AND COMPANY",2017-12-31,10-K,2018-11-21,,-136000000.0,,3080000000.0,,
62,BDX,"BECTON, DICKINSON AND COMPANY",2017-12-31,10-K,2019-11-27,,-136000000.0,,3080000000.0,,
58,BDX,"BECTON, DICKINSON AND COMPANY",2017-09-30,10-K,2017-11-22,14179000000.0,327000000.0,1478000000.0,,12948000000.0,37734000000.0
59,BDX,"BECTON, DICKINSON AND COMPANY",2017-09-30,10-K,2018-11-21,14179000000.0,327000000.0,1478000000.0,3166000000.0,12948000000.0,37734000000.0
60,BDX,"BECTON, DICKINSON AND COMPANY",2017-09-30,10-K,2019-11-27,,1100000000.0,1522000000.0,12093000000.0,,37734000000.0
56,BDX,"BECTON, DICKINSON AND COMPANY",2017-06-30,10-K,2017-11-22,,-132000000.0,,,,
57,BDX,"BECTON, DICKINSON AND COMPANY",2017-06-30,10-K,2018-11-21,,-132000000.0,,3035000000.0,,
54,BDX,"BECTON, DICKINSON AND COMPANY",2017-03-31,10-K,2017-11-22,,344000000.0,,,,
55,BDX,"BECTON, DICKINSON AND COMPANY",2017-03-31,10-K,2018-11-21,,344000000.0,,2969000000.0,,
52,BDX,"BECTON, DICKINSON AND COMPANY",2016-12-31,10-K,2017-11-22,,562000000.0,,,,
