,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
123,ATO,ATMOS ENERGY CORP,2025-09-30,10-K,2025-11-14,202687000.0,1198754000.0,1559971000.0,4702755000.0,161568384.0,13558890000.0,28249522000.0
121,ATO,ATMOS ENERGY CORP,2024-09-30,10-K,2024-11-18,307340000.0,1042895000.0,1355362000.0,4165187000.0,155258845.0,12157669000.0,25194465000.0
122,ATO,ATMOS ENERGY CORP,2024-09-30,10-K,2025-11-14,307340000.0,1042895000.0,1355362000.0,4165187000.0,155258845.0,12157669000.0,25194465000.0
118,ATO,ATMOS ENERGY CORP,2023-09-30,10-K,2023-11-14,15404000.0,885862000.0,1067147000.0,4275357000.0,148492783.0,10870064000.0,22516968000.0
119,ATO,ATMOS ENERGY CORP,2023-09-30,10-K,2024-11-18,15404000.0,885862000.0,1067147000.0,4275357000.0,148492783.0,10870064000.0,22516968000.0
120,ATO,ATMOS ENERGY CORP,2023-09-30,10-K,2025-11-14,,885862000.0,1067147000.0,4275357000.0,,10870064000.0,
114,ATO,ATMOS ENERGY CORP,2022-09-30,10-K,2022-11-14,51554000.0,774398000.0,920982000.0,4201662000.0,140896598.0,9419091000.0,22192989000.0
115,ATO,ATMOS ENERGY CORP,2022-09-30,10-K,2023-11-14,51554000.0,774398000.0,920982000.0,4201662000.0,140896598.0,9419091000.0,22192989000.0
116,ATO,ATMOS ENERGY CORP,2022-09-30,10-K,2024-11-18,,774398000.0,920982000.0,4201662000.0,,9419091000.0,
117,ATO,ATMOS ENERGY CORP,2022-09-30,10-K,2025-11-14,,,,,,9419091000.0,
110,ATO,ATMOS ENERGY CORP,2021-09-30,10-K,2021-11-12,116723000.0,665563000.0,904998000.0,3407490000.0,132419754.0,7906889000.0,19608662000.0
111,ATO,ATMOS ENERGY CORP,2021-09-30,10-K,2022-11-14,116723000.0,665563000.0,904998000.0,3407490000.0,132419754.0,7906889000.0,19608662000.0
112,ATO,ATMOS ENERGY CORP,2021-09-30,10-K,2023-11-14,,665563000.0,904998000.0,3407490000.0,,7906889000.0,
113,ATO,ATMOS ENERGY CORP,2021-09-30,10-K,2024-11-18,,,,,,7906889000.0,
106,ATO,ATMOS ENERGY CORP,2020-09-30,10-K,2020-11-13,20808000.0,65333000.0,100845000.0,2821137000.0,125882477.0,6791203000.0,15359032000.0
107,ATO,ATMOS ENERGY CORP,2020-09-30,10-K,2021-11-12,20808000.0,601443000.0,824099000.0,2821137000.0,125882477.0,6791203000.0,15359032000.0
108,ATO,ATMOS ENERGY CORP,2020-09-30,10-K,2022-11-14,,601443000.0,824099000.0,2821137000.0,,6791203000.0,
109,ATO,ATMOS ENERGY CORP,2020-09-30,10-K,2023-11-14,,,,,,6791203000.0,
105,ATO,ATMOS ENERGY CORP,2020-06-30,10-K,2020-11-13,,117791000.0,139035000.0,,,,
104,ATO,ATMOS ENERGY CORP,2020-03-31,10-K,2020-11-13,,239646000.0,331438000.0,,,,
103,ATO,ATMOS ENERGY CORP,2019-12-31,10-K,2020-11-13,,178673000.0,252781000.0,,,,
99,ATO,ATMOS ENERGY CORP,2019-09-30,10-K,2019-11-12,24550000.0,58406000.0,89715000.0,2901848000.0,119338925.0,5750223000.0,13367619000.0
100,ATO,ATMOS ENERGY CORP,2019-09-30,10-K,2020-11-13,24550000.0,58406000.0,89715000.0,2901848000.0,119338925.0,5750223000.0,13367619000.0
101,ATO,ATMOS ENERGY CORP,2019-09-30,10-K,2021-11-12,,511406000.0,746058000.0,2901848000.0,,5750223000.0,
102,ATO,ATMOS ENERGY CORP,2019-09-30,10-K,2022-11-14,,,,,,5750223000.0,
97,ATO,ATMOS ENERGY CORP,2019-06-30,10-K,2019-11-12,,80466000.0,122202000.0,,,,
98,ATO,ATMOS ENERGY CORP,2019-06-30,10-K,2020-11-13,,80466000.0,122202000.0,,,,
95,ATO,ATMOS ENERGY CORP,2019-03-31,10-K,2019-11-12,,214888000.0,297677000.0,,,,
96,ATO,ATMOS ENERGY CORP,2019-03-31,10-K,2020-11-13,,214888000.0,297677000.0,,,,
93,ATO,ATMOS ENERGY CORP,2018-12-31,10-K,2019-11-12,,157646000.0,236464000.0,,,,
94,ATO,ATMOS ENERGY CORP,2018-12-31,10-K,2020-11-13,,157646000.0,236464000.0,,,,
89,ATO,ATMOS ENERGY CORP,2018-09-30,10-K,2018-11-13,13771000.0,38747000.0,89592000.0,3115546000.0,111273683.0,4769951000.0,11874437000.0
90,ATO,ATMOS ENERGY CORP,2018-09-30,10-K,2019-11-12,13771000.0,38747000.0,90629000.0,3115546000.0,111273683.0,4769951000.0,11874437000.0
91,ATO,ATMOS ENERGY CORP,2018-09-30,10-K,2020-11-13,,603064000.0,727934000.0,3115546000.0,,4769951000.0,
92,ATO,ATMOS ENERGY CORP,2018-09-30,10-K,2021-11-12,,,,,,4769951000.0,
87,ATO,ATMOS ENERGY CORP,2018-06-30,10-K,2018-11-13,,71193000.0,122993000.0,,,,
88,ATO,ATMOS ENERGY CORP,2018-06-30,10-K,2019-11-12,,71193000.0,124320000.0,,,,
85,ATO,ATMOS ENERGY CORP,2018-03-31,10-K,2018-11-13,,178992000.0,268988000.0,,,,
86,ATO,ATMOS ENERGY CORP,2018-03-31,10-K,2019-11-12,,178992000.0,270902000.0,,,,
83,ATO,ATMOS ENERGY CORP,2017-12-31,10-K,2018-11-13,,314132000.0,241561000.0,,,,
84,ATO,ATMOS ENERGY CORP,2017-12-31,10-K,2019-11-12,,314132000.0,242083000.0,,,,
79,ATO,ATMOS ENERGY CORP,2017-09-30,10-K,2017-11-13,26409000.0,35853000.0,91792000.0,,,3898666000.0,10749596000.0
80,ATO,ATMOS ENERGY CORP,2017-09-30,10-K,2018-11-13,26409000.0,35853000.0,91792000.0,2759735000.0,106104634.0,3898666000.0,10749596000.0
81,ATO,ATMOS ENERGY CORP,2017-09-30,10-K,2019-11-12,26409000.0,396421000.0,735628000.0,2759735000.0,,3898666000.0,
82,ATO,ATMOS ENERGY CORP,2017-09-30,10-K,2020-11-13,,,,,,3898666000.0,
77,ATO,ATMOS ENERGY CORP,2017-06-30,10-K,2017-11-13,,70808000.0,140664000.0,,,,
78,ATO,ATMOS ENERGY CORP,2017-06-30,10-K,2018-11-13,,70808000.0,140664000.0,,,,
75,ATO,ATMOS ENERGY CORP,2017-03-31,10-K,2017-11-13,,164728000.0,285172000.0,,,,
76,ATO,ATMOS ENERGY CORP,2017-03-31,10-K,2018-11-13,,164728000.0,285172000.0,,,,
73,ATO,ATMOS ENERGY CORP,2016-12-31,10-K,2017-11-13,,125032000.0,209918000.0,,,,
74,ATO,ATMOS ENERGY CORP,2016-12-31,10-K,2018-11-13,,125032000.0,209918000.0,,,,
69,ATO,ATMOS ENERGY CORP,2016-09-30,10-K,2016-11-14,47534000.0,34240000.0,84633000.0,,,3463059000.0,10010889000.0
70,ATO,ATMOS ENERGY CORP,2016-09-30,10-K,2017-11-13,47534000.0,34240000.0,84449000.0,,,3463059000.0,10010889000.0
71,ATO,ATMOS ENERGY CORP,2016-09-30,10-K,2018-11-13,47534000.0,350104000.0,657230000.0,2454648000.0,,3463059000.0,
72,ATO,ATMOS ENERGY CORP,2016-09-30,10-K,2019-11-12,47534000.0,,,,,3463059000.0,
67,ATO,ATMOS ENERGY CORP,2016-06-30,10-K,2016-11-14,,71193000.0,137164000.0,,,,
68,ATO,ATMOS ENERGY CORP,2016-06-30,10-K,2017-11-13,,71193000.0,128396000.0,,,,
65,ATO,ATMOS ENERGY CORP,2016-03-31,10-K,2016-11-14,,141810000.0,250016000.0,,,,
66,ATO,ATMOS ENERGY CORP,2016-03-31,10-K,2017-11-13,,141810000.0,251656000.0,,,,
63,ATO,ATMOS ENERGY CORP,2015-12-31,10-K,2016-11-14,,102861000.0,196205000.0,,,,
64,ATO,ATMOS ENERGY CORP,2015-12-31,10-K,2017-11-13,,102861000.0,192729000.0,,,,
59,ATO,ATMOS ENERGY CORP,2015-09-30,10-K,2015-11-06,28653000.0,23515000.0,75853000.0,,,3194797000.0,9092945000.0
60,ATO,ATMOS ENERGY CORP,2015-09-30,10-K,2016-11-14,28653000.0,23515000.0,75853000.0,,,3194797000.0,9075072000.0
61,ATO,ATMOS ENERGY CORP,2015-09-30,10-K,2017-11-13,28653000.0,315075000.0,612232000.0,,,3194797000.0,
62,ATO,ATMOS ENERGY CORP,2015-09-30,10-K,2018-11-13,28653000.0,,,,,3194797000.0,
57,ATO,ATMOS ENERGY CORP,2015-06-30,10-K,2015-11-06,,56281000.0,117607000.0,,,,
58,ATO,ATMOS ENERGY CORP,2015-06-30,10-K,2016-11-14,,56281000.0,117607000.0,,,,
55,ATO,ATMOS ENERGY CORP,2015-03-31,10-K,2015-11-06,,137684000.0,250210000.0,,,,
56,ATO,ATMOS ENERGY CORP,2015-03-31,10-K,2016-11-14,,137684000.0,250210000.0,,,,
53,ATO,ATMOS ENERGY CORP,2014-12-31,10-K,2015-11-06,,97595000.0,187725000.0,,,,
54,ATO,ATMOS ENERGY CORP,2014-12-31,10-K,2016-11-14,,97595000.0,187725000.0,,,,
49,ATO,ATMOS ENERGY CORP,2014-09-30,10-K,2014-11-06,42258000.0,23713000.0,83944000.0,,,3086232000.0,8594704000.0
50,ATO,ATMOS ENERGY CORP,2014-09-30,10-K,2015-11-06,42258000.0,23713000.0,83944000.0,,,3086232000.0,8594704000.0
51,ATO,ATMOS ENERGY CORP,2014-09-30,10-K,2016-11-14,42258000.0,289817000.0,611349000.0,,,3086232000.0,
52,ATO,ATMOS ENERGY CORP,2014-09-30,10-K,2017-11-13,42258000.0,,,,,3086232000.0,
47,ATO,ATMOS ENERGY CORP,2014-06-30,10-K,2014-11-06,,45721000.0,106605000.0,,,,
48,ATO,ATMOS ENERGY CORP,2014-06-30,10-K,2015-11-06,,45721000.0,106605000.0,,,,
45,ATO,ATMOS ENERGY CORP,2014-03-31,10-K,2014-11-06,,133367000.0,250080000.0,,,,
46,ATO,ATMOS ENERGY CORP,2014-03-31,10-K,2015-11-06,,133367000.0,250080000.0,,,,
43,ATO,ATMOS ENERGY CORP,2013-12-31,10-K,2014-11-06,,87016000.0,170720000.0,,,,
44,ATO,ATMOS ENERGY CORP,2013-12-31,10-K,2015-11-06,,87016000.0,170720000.0,,,,
39,ATO,ATMOS ENERGY CORP,2013-09-30,10-K,2013-11-13,66199000.0,7536000.0,50383000.0,,,2580409000.0,7940401000.0
40,ATO,ATMOS ENERGY CORP,2013-09-30,10-K,2014-11-06,66199000.0,7536000.0,50383000.0,,,2580409000.0,7934268000.0
41,ATO,ATMOS ENERGY CORP,2013-09-30,10-K,2015-11-06,66199000.0,243194000.0,501879000.0,,,2580409000.0,
42,ATO,ATMOS ENERGY CORP,2013-09-30,10-K,2016-11-14,66199000.0,,,,,2580409000.0,
37,ATO,ATMOS ENERGY CORP,2013-06-30,10-K,2013-11-13,,38768000.0,86396000.0,,,,
38,ATO,ATMOS ENERGY CORP,2013-06-30,10-K,2014-11-06,,38768000.0,86396000.0,,,,
35,ATO,ATMOS ENERGY CORP,2013-03-31,10-K,2013-11-13,,116425000.0,210178000.0,,,,
36,ATO,ATMOS ENERGY CORP,2013-03-31,10-K,2014-11-06,,116425000.0,210178000.0,,,,
33,ATO,ATMOS ENERGY CORP,2012-12-31,10-K,2013-11-13,,80465000.0,154922000.0,,,,
34,ATO,ATMOS ENERGY CORP,2012-12-31,10-K,2014-11-06,,80465000.0,154922000.0,,,,
29,ATO,ATMOS ENERGY CORP,2012-09-30,10-K,2012-11-13,64239000.0,7967000.0,22791000.0,,,2359243000.0,7495675000.0
30,ATO,ATMOS ENERGY CORP,2012-09-30,10-K,2013-11-13,64239000.0,7967000.0,22791000.0,,,2359243000.0,7495675000.0
31,ATO,ATMOS ENERGY CORP,2012-09-30,10-K,2014-11-06,64239000.0,216717000.0,446240000.0,,,2359243000.0,
32,ATO,ATMOS ENERGY CORP,2012-09-30,10-K,2015-11-06,64239000.0,,,,,2359243000.0,
27,ATO,ATMOS ENERGY CORP,2012-06-30,10-K,2012-11-13,,31132000.0,81546000.0,,,,
28,ATO,ATMOS ENERGY CORP,2012-06-30,10-K,2013-11-13,,31132000.0,81546000.0,,,,
25,ATO,ATMOS ENERGY CORP,2012-03-31,10-K,2012-11-13,,109111000.0,202432000.0,,,,
26,ATO,ATMOS ENERGY CORP,2012-03-31,10-K,2013-11-13,,109111000.0,202432000.0,,,,
23,ATO,ATMOS ENERGY CORP,2011-12-31,10-K,2012-11-13,,68507000.0,139471000.0,,,,
24,ATO,ATMOS ENERGY CORP,2011-12-31,10-K,2013-11-13,,68507000.0,139471000.0,,,,
19,ATO,ATMOS ENERGY CORP,2011-09-30,10-K,2011-11-22,131419000.0,1961000.0,41333000.0,,,2255421000.0,7282871000.0
