,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
62,COP,ConocoPhillips,2025-12-31,10-K,2026-02-17,6497000000.0,,7988000000.0,58944000000.0,51824000000.0,64487000000.0,121939000000.0,57452000000.0
60,COP,ConocoPhillips,2024-12-31,10-K,2025-02-18,5607000000.0,,9245000000.0,54745000000.0,49418000000.0,64796000000.0,122780000000.0,57984000000.0
61,COP,ConocoPhillips,2024-12-31,10-K,2026-02-17,5607000000.0,,9245000000.0,54745000000.0,49418000000.0,64796000000.0,122780000000.0,57984000000.0
57,COP,ConocoPhillips,2023-12-31,10-K,2024-02-15,5635000000.0,,10957000000.0,56141000000.0,48522000000.0,49279000000.0,95924000000.0,46645000000.0
58,COP,ConocoPhillips,2023-12-31,10-K,2025-02-18,5635000000.0,,10957000000.0,56141000000.0,48522000000.0,49279000000.0,95924000000.0,46645000000.0
59,COP,ConocoPhillips,2023-12-31,10-K,2026-02-17,,,10957000000.0,56141000000.0,48522000000.0,49279000000.0,95924000000.0,
53,COP,ConocoPhillips,2022-12-31,10-K,2023-02-16,6458000000.0,,18680000000.0,78494000000.0,61049000000.0,,93829000000.0,45826000000.0
54,COP,ConocoPhillips,2022-12-31,10-K,2024-02-15,6458000000.0,,18680000000.0,78494000000.0,61049000000.0,48003000000.0,93829000000.0,45826000000.0
55,COP,ConocoPhillips,2022-12-31,10-K,2025-02-18,,,18680000000.0,78494000000.0,61049000000.0,48003000000.0,93829000000.0,
56,COP,ConocoPhillips,2022-12-31,10-K,2026-02-17,,,,,,48003000000.0,,
49,COP,ConocoPhillips,2021-12-31,10-K,2022-02-17,5028000000.0,,8079000000.0,48349000000.0,45828000000.0,,90661000000.0,45255000000.0
50,COP,ConocoPhillips,2021-12-31,10-K,2023-02-16,5028000000.0,,8079000000.0,45828000000.0,34590000000.0,,90661000000.0,45255000000.0
51,COP,ConocoPhillips,2021-12-31,10-K,2024-02-15,,,8079000000.0,45828000000.0,34590000000.0,45406000000.0,90661000000.0,
52,COP,ConocoPhillips,2021-12-31,10-K,2025-02-18,,,,,,45406000000.0,,
45,COP,ConocoPhillips,2020-12-31,10-K,2021-02-16,2991000000.0,,-2701000000.0,19256000000.0,18784000000.0,29849000000.0,62618000000.0,32769000000.0
46,COP,ConocoPhillips,2020-12-31,10-K,2022-02-17,2991000000.0,,-2701000000.0,19256000000.0,18784000000.0,,62618000000.0,32769000000.0
47,COP,ConocoPhillips,2020-12-31,10-K,2023-02-16,,,-2701000000.0,18784000000.0,13662000000.0,,62618000000.0,
48,COP,ConocoPhillips,2020-12-31,10-K,2024-02-15,,,,,,29849000000.0,,
42,COP,ConocoPhillips,2019-12-31,10-K,2020-02-18,5088000000.0,,7189000000.0,36670000000.0,32567000000.0,34981000000.0,70514000000.0,35464000000.0
43,COP,ConocoPhillips,2019-12-31,10-K,2021-02-16,5088000000.0,,7189000000.0,36670000000.0,32567000000.0,34981000000.0,70514000000.0,35464000000.0
44,COP,ConocoPhillips,2019-12-31,10-K,2022-02-17,,,7189000000.0,36670000000.0,32567000000.0,,70514000000.0,
39,COP,ConocoPhillips,2018-12-31,10-K,2019-02-19,5915000000.0,16147000000.0,6257000000.0,38727000000.0,36417000000.0,31939000000.0,69980000000.0,37916000000.0
40,COP,ConocoPhillips,2018-12-31,10-K,2020-02-18,5915000000.0,,6257000000.0,38727000000.0,36417000000.0,31939000000.0,69980000000.0,37916000000.0
41,COP,ConocoPhillips,2018-12-31,10-K,2021-02-16,,,6257000000.0,38727000000.0,36417000000.0,,69980000000.0,
36,COP,ConocoPhillips,2017-12-31,10-K,2018-02-20,6325000000.0,,-855000000.0,32584000000.0,,30607000000.0,73362000000.0,42561000000.0
37,COP,ConocoPhillips,2017-12-31,10-K,2019-02-19,6325000000.0,22435000000.0,-855000000.0,32584000000.0,29106000000.0,30607000000.0,73362000000.0,42561000000.0
38,COP,ConocoPhillips,2017-12-31,10-K,2020-02-18,,,-855000000.0,32584000000.0,29106000000.0,,73362000000.0,
33,COP,ConocoPhillips,2016-12-31,10-K,2017-02-21,3610000000.0,,-3615000000.0,24360000000.0,,34974000000.0,89772000000.0,54546000000.0
34,COP,ConocoPhillips,2016-12-31,10-K,2018-02-20,3610000000.0,,-3615000000.0,24360000000.0,,34974000000.0,89772000000.0,54546000000.0
35,COP,ConocoPhillips,2016-12-31,10-K,2019-02-19,,,-3615000000.0,24360000000.0,23693000000.0,,89772000000.0,
30,COP,ConocoPhillips,2015-12-31,10-K,2016-02-23,2368000000.0,,-4428000000.0,30935000000.0,,39762000000.0,97484000000.0,57402000000.0
31,COP,ConocoPhillips,2015-12-31,10-K,2017-02-21,2368000000.0,,-4428000000.0,30935000000.0,,39762000000.0,97484000000.0,57402000000.0
32,COP,ConocoPhillips,2015-12-31,10-K,2018-02-20,2368000000.0,,-4428000000.0,30935000000.0,,,97484000000.0,
26,COP,ConocoPhillips,2014-12-31,10-K,2015-02-24,5062000000.0,,6869000000.0,55517000000.0,,51911000000.0,116539000000.0,64266000000.0
27,COP,ConocoPhillips,2014-12-31,10-K,2016-02-23,5062000000.0,,6869000000.0,55517000000.0,,51911000000.0,116539000000.0,64266000000.0
28,COP,ConocoPhillips,2014-12-31,10-K,2017-02-21,5062000000.0,,6869000000.0,55517000000.0,,,116539000000.0,
29,COP,ConocoPhillips,2014-12-31,10-K,2018-02-20,5062000000.0,,,,,,,
22,COP,ConocoPhillips,2013-12-31,10-K,2014-02-25,6246000000.0,,9156000000.0,58248000000.0,,52090000000.0,118057000000.0,65565000000.0
23,COP,ConocoPhillips,2013-12-31,10-K,2015-02-24,6246000000.0,,9156000000.0,58248000000.0,,52090000000.0,118057000000.0,65565000000.0
24,COP,ConocoPhillips,2013-12-31,10-K,2016-02-23,6246000000.0,,9156000000.0,58248000000.0,,,118057000000.0,
25,COP,ConocoPhillips,2013-12-31,10-K,2017-02-21,6246000000.0,,,,,,,
18,COP,ConocoPhillips,2012-12-31,10-K,2013-02-19,3618000000.0,,8428000000.0,62004000000.0,,47987000000.0,117144000000.0,68717000000.0
19,COP,ConocoPhillips,2012-12-31,10-K,2014-02-25,3618000000.0,,8428000000.0,62004000000.0,,47987000000.0,117144000000.0,68717000000.0
20,COP,ConocoPhillips,2012-12-31,10-K,2015-02-24,3618000000.0,,8428000000.0,62004000000.0,,,117144000000.0,
21,COP,ConocoPhillips,2012-12-31,10-K,2016-02-23,3618000000.0,,,,,,,
14,COP,ConocoPhillips,2011-12-31,10-K,2012-02-21,5780000000.0,,12436000000.0,,,65224000000.0,153230000000.0,87496000000.0
15,COP,ConocoPhillips,2011-12-31,10-K,2013-02-19,5780000000.0,,12436000000.0,66069000000.0,,65239000000.0,153230000000.0,87481000000.0
16,COP,ConocoPhillips,2011-12-31,10-K,2014-02-25,5780000000.0,,12436000000.0,66069000000.0,,,153230000000.0,
17,COP,ConocoPhillips,2011-12-31,10-K,2015-02-24,5780000000.0,,,,,,,
10,COP,ConocoPhillips,2010-12-31,10-K,2011-02-23,9454000000.0,,11358000000.0,,,68562000000.0,156314000000.0,87205000000.0
11,COP,ConocoPhillips,2010-12-31,10-K,2012-02-21,9454000000.0,,11358000000.0,,,68562000000.0,156314000000.0,87205000000.0
12,COP,ConocoPhillips,2010-12-31,10-K,2013-02-19,9454000000.0,,11358000000.0,63335000000.0,,,156314000000.0,
13,COP,ConocoPhillips,2010-12-31,10-K,2014-02-25,9454000000.0,,,,,,,
6,COP,ConocoPhillips,2009-12-31,10-K,2010-02-25,542000000.0,,4858000000.0,,,62467000000.0,152588000000.0,89531000000.0
7,COP,ConocoPhillips,2009-12-31,10-K,2011-02-23,542000000.0,,4414000000.0,,,62023000000.0,152138000000.0,89525000000.0
8,COP,ConocoPhillips,2009-12-31,10-K,2012-02-21,542000000.0,,4414000000.0,,,,152138000000.0,
9,COP,ConocoPhillips,2009-12-31,10-K,2013-02-19,542000000.0,,,,,,,
3,COP,ConocoPhillips,2008-12-31,10-K,2010-02-25,755000000.0,,-16998000000.0,,,55165000000.0,142865000000.0,86600000000.0
4,COP,ConocoPhillips,2008-12-31,10-K,2011-02-23,755000000.0,,-16349000000.0,,,,142865000000.0,
5,COP,ConocoPhillips,2008-12-31,10-K,2012-02-21,755000000.0,,,,,,,
1,COP,ConocoPhillips,2007-12-31,10-K,2010-02-25,1456000000.0,,11891000000.0,,,,,
2,COP,ConocoPhillips,2007-12-31,10-K,2011-02-23,1456000000.0,,,,,,,
0,COP,ConocoPhillips,2006-12-31,10-K,2010-02-25,817000000.0,,,,,,,
