,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
125,APH,AMPHENOL CORPORATION,2025-12-31,10-K,2026-02-11,11130600000.0,,4270300000.0,5868600000.0,23094700000.0,1226600000.0,13413100000.0,36236900000.0,22727200000.0
123,APH,AMPHENOL CORPORATION,2024-12-31,10-K,2025-02-07,3317000000.0,,2424000000.0,3156900000.0,15222700000.0,1209300000.0,9792000000.0,21440200000.0,11584100000.0
124,APH,AMPHENOL CORPORATION,2024-12-31,10-K,2026-02-11,3317000000.0,,2424000000.0,3156900000.0,15222700000.0,1209300000.0,9792000000.0,21440200000.0,11584100000.0
120,APH,AMPHENOL CORPORATION,2023-12-31,10-K,2024-02-07,1475000000.0,,1928000000.0,2559600000.0,12554700000.0,598900000.0,8346500000.0,16526400000.0,8099900000.0
121,APH,AMPHENOL CORPORATION,2023-12-31,10-K,2025-02-07,1475000000.0,,1928000000.0,2559600000.0,12554700000.0,1197800000.0,8346500000.0,16526400000.0,8099900000.0
122,APH,AMPHENOL CORPORATION,2023-12-31,10-K,2026-02-11,,,1928000000.0,2559600000.0,12554700000.0,,,,
117,APH,AMPHENOL CORPORATION,2022-12-31,10-K,2023-02-08,1373100000.0,,1902300000.0,2585800000.0,12623000000.0,594800000.0,7015600000.0,15326200000.0,8232100000.0
118,APH,AMPHENOL CORPORATION,2022-12-31,10-K,2024-02-07,1373100000.0,,1902300000.0,2585800000.0,12623000000.0,594800000.0,7015600000.0,15326200000.0,8232100000.0
119,APH,AMPHENOL CORPORATION,2022-12-31,10-K,2025-02-07,,,1902300000.0,2585800000.0,12623000000.0,,,,
114,APH,AMPHENOL CORPORATION,2021-12-31,10-K,2022-02-09,1197100000.0,,1590800000.0,2105100000.0,10876300000.0,599100000.0,6302000000.0,14678400000.0,8299300000.0
115,APH,AMPHENOL CORPORATION,2021-12-31,10-K,2023-02-08,1197100000.0,,1590800000.0,2105100000.0,10876300000.0,599100000.0,6302000000.0,14678400000.0,8299300000.0
116,APH,AMPHENOL CORPORATION,2021-12-31,10-K,2024-02-07,,,1590800000.0,2105100000.0,10876300000.0,,,,
111,APH,AMPHENOL CORPORATION,2020-12-31,10-K,2021-02-10,1702000000.0,,357000000.0,488400000.0,2426000000.0,299300000.0,5384900000.0,12327300000.0,
112,APH,AMPHENOL CORPORATION,2020-12-31,10-K,2022-02-09,1702000000.0,,1203400000.0,1638400000.0,8598900000.0,598700000.0,5384900000.0,12327300000.0,6875400000.0
113,APH,AMPHENOL CORPORATION,2020-12-31,10-K,2023-02-08,,,1203400000.0,1638400000.0,8598900000.0,,,,
110,APH,AMPHENOL CORPORATION,2020-09-30,10-K,2021-02-10,,,346600000.0,475800000.0,2323400000.0,,,,
109,APH,AMPHENOL CORPORATION,2020-06-30,10-K,2021-02-10,,,257700000.0,357400000.0,1987500000.0,,,,
108,APH,AMPHENOL CORPORATION,2020-03-31,10-K,2021-02-10,,,242100000.0,316900000.0,1862000000.0,,,,
105,APH,AMPHENOL CORPORATION,2019-12-31,10-K,2020-02-12,891200000.0,,318700000.0,429800000.0,2151000000.0,297900000.0,4530300000.0,10815500000.0,
106,APH,AMPHENOL CORPORATION,2019-12-31,10-K,2021-02-10,891200000.0,,318700000.0,429800000.0,2151000000.0,297900000.0,4530300000.0,10815500000.0,
107,APH,AMPHENOL CORPORATION,2019-12-31,10-K,2022-02-09,,,1155000000.0,1619200000.0,8225400000.0,,,,
103,APH,AMPHENOL CORPORATION,2019-09-30,10-K,2020-02-12,,,280300000.0,413600000.0,2100600000.0,,,,
104,APH,AMPHENOL CORPORATION,2019-09-30,10-K,2021-02-10,,,280300000.0,413600000.0,2100600000.0,,,,
101,APH,AMPHENOL CORPORATION,2019-06-30,10-K,2020-02-12,,,288400000.0,399500000.0,2015300000.0,,,,
102,APH,AMPHENOL CORPORATION,2019-06-30,10-K,2021-02-10,,,288400000.0,399500000.0,2015300000.0,,,,
99,APH,AMPHENOL CORPORATION,2019-03-31,10-K,2020-02-12,,,267500000.0,376200000.0,1958500000.0,,,,
100,APH,AMPHENOL CORPORATION,2019-03-31,10-K,2021-02-10,,,267500000.0,376200000.0,1958500000.0,,,,
96,APH,AMPHENOL CORPORATION,2018-12-31,10-K,2019-02-13,1279300000.0,,338100000.0,457600000.0,2224700000.0,298500000.0,4017000000.0,10044900000.0,
97,APH,AMPHENOL CORPORATION,2018-12-31,10-K,2020-02-12,1279300000.0,,338100000.0,457600000.0,2224700000.0,298500000.0,4017000000.0,10044900000.0,
98,APH,AMPHENOL CORPORATION,2018-12-31,10-K,2021-02-10,,,1205000000.0,1686900000.0,8202000000.0,,,,
94,APH,AMPHENOL CORPORATION,2018-09-30,10-K,2019-02-13,,,316600000.0,444200000.0,2129000000.0,,,,
95,APH,AMPHENOL CORPORATION,2018-09-30,10-K,2020-02-12,,,316600000.0,444200000.0,2129000000.0,,,,
92,APH,AMPHENOL CORPORATION,2018-06-30,10-K,2019-02-13,,,284800000.0,408200000.0,1981400000.0,,,,
93,APH,AMPHENOL CORPORATION,2018-06-30,10-K,2020-02-12,,,284800000.0,408200000.0,1981400000.0,,,,
90,APH,AMPHENOL CORPORATION,2018-03-31,10-K,2019-02-13,,,265600000.0,376900000.0,1866900000.0,,,,
91,APH,AMPHENOL CORPORATION,2018-03-31,10-K,2020-02-12,,,265600000.0,376900000.0,1866900000.0,,,,
87,APH,AMPHENOL CORPORATION,2017-12-31,10-K,2018-02-21,1719100000.0,3542600000.0,-103400000.0,399400000.0,,305700000.0,3989800000.0,10003900000.0,
88,APH,AMPHENOL CORPORATION,2017-12-31,10-K,2019-02-13,1719100000.0,,-103400000.0,399400000.0,1943900000.0,305700000.0,3989800000.0,10003900000.0,
89,APH,AMPHENOL CORPORATION,2017-12-31,10-K,2020-02-12,,,650500000.0,1427600000.0,7011300000.0,,,,
85,APH,AMPHENOL CORPORATION,2017-09-30,10-K,2018-02-21,,,277500000.0,377900000.0,,,,,
86,APH,AMPHENOL CORPORATION,2017-09-30,10-K,2019-02-13,,,277500000.0,377900000.0,1840800000.0,,,,
83,APH,AMPHENOL CORPORATION,2017-06-30,10-K,2018-02-21,,,251500000.0,336200000.0,,,,,
84,APH,AMPHENOL CORPORATION,2017-06-30,10-K,2019-02-13,,,251500000.0,336200000.0,1666500000.0,,,,
81,APH,AMPHENOL CORPORATION,2017-03-31,10-K,2018-02-21,,,224900000.0,314100000.0,,,,,
