date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,121.91000366210938,125.91000366210938,117.88999938964844,122.48999786376953,8075700,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-05,124.625,125.48999786376953,120.36000061035156,124.77999877929688,4601600,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-06,120.69999694824219,123.4000015258789,117.75,117.91999816894531,5014600,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-07,118.5199966430664,127.58100128173828,117.5199966430664,125.55000305175781,6537600,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-10,120.5,121.80000305175781,114.37999725341797,116.37999725341797,7267400,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-11,116.0,118.5,110.25,111.48999786376953,8069200,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-12,116.0,117.9800033569336,112.0,112.69999694824219,5291200,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-13,114.0,114.77999877929688,109.9000015258789,112.05000305175781,4480700,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-14,115.79000091552734,118.62000274658203,115.20999908447266,117.94000244140625,4573900,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
2025-03-17,118.05999755859375,123.69999694824219,118.05500030517578,121.37000274658203,3444900,0.0,0.0,ARM,167.71622,0.74,131804643328,4671000064,5.912,4.132,183.16,80.0,Technology,Semiconductors,Arm Holdings plc
