,ticker,company,end_date,form,filed,cash,net_income,operating_income,shares_outstanding,stockholders_equity,total_assets
19,APA,APA CORPORATION,2025-12-31,10-K,2026-02-26,516000000.0,1434000000.0,3087000000.0,352964646.0,6093000000.0,17761000000.0
17,APA,APA CORPORATION,2024-12-31,10-K,2025-02-28,625000000.0,,2442000000.0,365397149.0,5280000000.0,19390000000.0
18,APA,APA CORPORATION,2024-12-31,10-K,2026-02-26,625000000.0,804000000.0,2444000000.0,365397149.0,5280000000.0,19390000000.0
14,APA,APA CORPORATION,2023-12-31,10-K,2024-02-22,87000000.0,,3648000000.0,303575901.0,2655000000.0,15244000000.0
15,APA,APA CORPORATION,2023-12-31,10-K,2025-02-28,87000000.0,,3648000000.0,303575901.0,2655000000.0,15244000000.0
16,APA,APA CORPORATION,2023-12-31,10-K,2026-02-26,,2855000000.0,3696000000.0,303575901.0,,15244000000.0
10,APA,APA CORPORATION,2022-12-31,10-K,2023-02-23,245000000.0,,5565000000.0,311559149.0,423000000.0,13147000000.0
11,APA,APA CORPORATION,2022-12-31,10-K,2024-02-22,245000000.0,,5565000000.0,311559149.0,423000000.0,13147000000.0
12,APA,APA CORPORATION,2022-12-31,10-K,2025-02-28,,,5565000000.0,311559149.0,,13147000000.0
13,APA,APA CORPORATION,2022-12-31,10-K,2026-02-26,,,,311559149.0,,
6,APA,APA CORPORATION,2021-12-31,10-K,2022-02-22,302000000.0,,2860000000.0,346930765.0,-1595000000.0,13303000000.0
7,APA,APA CORPORATION,2021-12-31,10-K,2023-02-23,302000000.0,,2860000000.0,346930765.0,-1595000000.0,13303000000.0
8,APA,APA CORPORATION,2021-12-31,10-K,2024-02-22,,,2860000000.0,346930765.0,,13303000000.0
9,APA,APA CORPORATION,2021-12-31,10-K,2025-02-28,,,,346930765.0,,
3,APA,APA CORPORATION,2020-12-31,10-K,2022-02-22,262000000.0,,-4102000000.0,377482630.0,-1639000000.0,12746000000.0
4,APA,APA CORPORATION,2020-12-31,10-K,2023-02-23,,,-4102000000.0,377482630.0,,12746000000.0
5,APA,APA CORPORATION,2020-12-31,10-K,2024-02-22,,,,377482630.0,,
1,APA,APA CORPORATION,2019-12-31,10-K,2022-02-22,,,-2152000000.0,376062670.0,,18107000000.0
2,APA,APA CORPORATION,2019-12-31,10-K,2023-02-23,,,,376062670.0,,
0,APA,APA CORPORATION,2018-12-31,10-K,2022-02-22,,,,374696222.0,,
