,ticker,company,end_date,form,filed,long_term_debt,net_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
122,AIG,"American International Group, Inc.",2025-12-31,10-K,2026-02-12,9191000000.0,3096000000.0,26775000000.0,538200000.0,41139000000.0,161254000000.0,120092000000.0
120,AIG,"American International Group, Inc.",2024-12-31,10-K,2025-02-13,8922000000.0,898000000.0,7177000000.0,606100000.0,42521000000.0,161322000000.0,118772000000.0
121,AIG,"American International Group, Inc.",2024-12-31,10-K,2026-02-12,8922000000.0,-1404000000.0,27251000000.0,606100000.0,42521000000.0,161322000000.0,118772000000.0
119,AIG,"American International Group, Inc.",2024-09-30,10-K,2025-02-13,,459000000.0,6751000000.0,,,,
118,AIG,"American International Group, Inc.",2024-06-30,10-K,2025-02-13,,-3977000000.0,6560000000.0,,,,
117,AIG,"American International Group, Inc.",2024-03-31,10-K,2025-02-13,,1216000000.0,6763000000.0,,,,
114,AIG,"American International Group, Inc.",2023-12-31,10-K,2024-02-14,,3643000000.0,46802000000.0,688800000.0,45351000000.0,539306000000.0,488005000000.0
115,AIG,"American International Group, Inc.",2023-12-31,10-K,2025-02-13,10606000000.0,93000000.0,6526000000.0,688800000.0,45351000000.0,539306000000.0,488005000000.0
116,AIG,"American International Group, Inc.",2023-12-31,10-K,2026-02-12,,3643000000.0,27938000000.0,688800000.0,,,
113,AIG,"American International Group, Inc.",2023-09-30,10-K,2025-02-13,,2027000000.0,7267000000.0,,,,
112,AIG,"American International Group, Inc.",2023-06-30,10-K,2025-02-13,,1493000000.0,7436000000.0,,,,
111,AIG,"American International Group, Inc.",2023-03-31,10-K,2025-02-13,,30000000.0,6709000000.0,,,,
107,AIG,"American International Group, Inc.",2022-12-31,10-K,2023-02-17,27179000000.0,10276000000.0,56437000000.0,734100000.0,40002000000.0,526634000000.0,484399000000.0
108,AIG,"American International Group, Inc.",2022-12-31,10-K,2024-02-14,,10227000000.0,54450000000.0,734100000.0,40970000000.0,522228000000.0,478774000000.0
109,AIG,"American International Group, Inc.",2022-12-31,10-K,2025-02-13,,10227000000.0,29996000000.0,734100000.0,,,
110,AIG,"American International Group, Inc.",2022-12-31,10-K,2026-02-12,,,,734100000.0,,,
103,AIG,"American International Group, Inc.",2021-12-31,10-K,2022-02-17,30163000000.0,9388000000.0,52057000000.0,818687363.0,65956000000.0,596112000000.0,527200000000.0
104,AIG,"American International Group, Inc.",2021-12-31,10-K,2023-02-17,30163000000.0,9388000000.0,52057000000.0,818700000.0,65956000000.0,596112000000.0,527200000000.0
105,AIG,"American International Group, Inc.",2021-12-31,10-K,2024-02-14,,10367000000.0,52157000000.0,818700000.0,,,
106,AIG,"American International Group, Inc.",2021-12-31,10-K,2025-02-13,,,,818700000.0,,,
102,AIG,"American International Group, Inc.",2021-01-01,10-K,2024-02-14,,,,,65098000000.0,598841000000.0,532906000000.0
98,AIG,"American International Group, Inc.",2020-12-31,10-K,2021-02-19,37534000000.0,-5944000000.0,43736000000.0,861558049.0,66362000000.0,586481000000.0,519282000000.0
99,AIG,"American International Group, Inc.",2020-12-31,10-K,2022-02-17,37534000000.0,-5944000000.0,43736000000.0,861558049.0,66362000000.0,586481000000.0,519282000000.0
100,AIG,"American International Group, Inc.",2020-12-31,10-K,2023-02-17,,-5944000000.0,43736000000.0,861600000.0,,,
101,AIG,"American International Group, Inc.",2020-12-31,10-K,2024-02-14,,,,861600000.0,,,
94,AIG,"American International Group, Inc.",2019-12-31,10-K,2020-02-21,35350000000.0,929000000.0,11815000000.0,869999031.0,65675000000.0,525064000000.0,457637000000.0
95,AIG,"American International Group, Inc.",2019-12-31,10-K,2021-02-19,35350000000.0,3348000000.0,49746000000.0,869999031.0,65675000000.0,525064000000.0,457637000000.0
96,AIG,"American International Group, Inc.",2019-12-31,10-K,2022-02-17,,3348000000.0,49746000000.0,869999031.0,,,
97,AIG,"American International Group, Inc.",2019-12-31,10-K,2023-02-17,,,,870000000.0,,,
93,AIG,"American International Group, Inc.",2019-09-30,10-K,2020-02-21,,656000000.0,12914000000.0,,,,
92,AIG,"American International Group, Inc.",2019-06-30,10-K,2020-02-21,,1109000000.0,12561000000.0,,,,
91,AIG,"American International Group, Inc.",2019-03-31,10-K,2020-02-21,,654000000.0,12456000000.0,,,,
87,AIG,"American International Group, Inc.",2018-12-31,10-K,2019-02-15,34540000000.0,-622000000.0,12560000000.0,866609429.0,56361000000.0,491984000000.0,434675000000.0
88,AIG,"American International Group, Inc.",2018-12-31,10-K,2020-02-21,34540000000.0,-622000000.0,12560000000.0,866609429.0,56361000000.0,491984000000.0,434675000000.0
89,AIG,"American International Group, Inc.",2018-12-31,10-K,2021-02-19,,-6000000.0,47389000000.0,866609429.0,,,
90,AIG,"American International Group, Inc.",2018-12-31,10-K,2022-02-17,,,,866609429.0,,,
85,AIG,"American International Group, Inc.",2018-09-30,10-K,2019-02-15,,-1259000000.0,11486000000.0,,,,
86,AIG,"American International Group, Inc.",2018-09-30,10-K,2020-02-21,,-1259000000.0,11486000000.0,,,,
83,AIG,"American International Group, Inc.",2018-06-30,10-K,2019-02-15,,937000000.0,11631000000.0,,,,
84,AIG,"American International Group, Inc.",2018-06-30,10-K,2020-02-21,,937000000.0,11631000000.0,,,,
81,AIG,"American International Group, Inc.",2018-03-31,10-K,2019-02-15,,938000000.0,11712000000.0,,,,
82,AIG,"American International Group, Inc.",2018-03-31,10-K,2020-02-21,,938000000.0,11712000000.0,,,,
77,AIG,"American International Group, Inc.",2017-12-31,10-K,2018-02-16,31640000000.0,-6660000000.0,12635000000.0,899044657.0,65171000000.0,498301000000.0,432593000000.0
78,AIG,"American International Group, Inc.",2017-12-31,10-K,2019-02-15,31640000000.0,-6660000000.0,12635000000.0,899044657.0,65171000000.0,498301000000.0,432593000000.0
79,AIG,"American International Group, Inc.",2017-12-31,10-K,2020-02-21,,-6084000000.0,49520000000.0,899044657.0,,,
80,AIG,"American International Group, Inc.",2017-12-31,10-K,2021-02-19,,,,899044657.0,,,
75,AIG,"American International Group, Inc.",2017-09-30,10-K,2018-02-16,,-1739000000.0,11751000000.0,,,,
76,AIG,"American International Group, Inc.",2017-09-30,10-K,2019-02-15,,-1739000000.0,11751000000.0,,,,
73,AIG,"American International Group, Inc.",2017-06-30,10-K,2018-02-16,,1130000000.0,12502000000.0,,,,
74,AIG,"American International Group, Inc.",2017-06-30,10-K,2019-02-15,,1130000000.0,12502000000.0,,,,
71,AIG,"American International Group, Inc.",2017-03-31,10-K,2018-02-16,,1185000000.0,12632000000.0,,,,
72,AIG,"American International Group, Inc.",2017-03-31,10-K,2019-02-15,,1185000000.0,12632000000.0,,,,
67,AIG,"American International Group, Inc.",2016-12-31,10-K,2017-02-23,30912000000.0,-3041000000.0,13010000000.0,995335841.0,76300000000.0,498264000000.0,421406000000.0
68,AIG,"American International Group, Inc.",2016-12-31,10-K,2018-02-16,30912000000.0,-3041000000.0,13010000000.0,995335841.0,76300000000.0,498264000000.0,421406000000.0
69,AIG,"American International Group, Inc.",2016-12-31,10-K,2019-02-15,,-849000000.0,52367000000.0,995335841.0,,,
70,AIG,"American International Group, Inc.",2016-12-31,10-K,2020-02-21,,,,995335841.0,,,
65,AIG,"American International Group, Inc.",2016-09-30,10-K,2017-02-23,,462000000.0,12854000000.0,,,,
66,AIG,"American International Group, Inc.",2016-09-30,10-K,2018-02-16,,462000000.0,12854000000.0,,,,
63,AIG,"American International Group, Inc.",2016-06-30,10-K,2017-02-23,,1913000000.0,14724000000.0,,,,
64,AIG,"American International Group, Inc.",2016-06-30,10-K,2018-02-16,,1913000000.0,14724000000.0,,,,
61,AIG,"American International Group, Inc.",2016-03-31,10-K,2017-02-23,,-183000000.0,11779000000.0,,,,
62,AIG,"American International Group, Inc.",2016-03-31,10-K,2018-02-16,,-183000000.0,11779000000.0,,,,
57,AIG,"American International Group, Inc.",2015-12-31,10-K,2016-02-19,29350000000.0,-1841000000.0,13831000000.0,1193916617.0,89658000000.0,496943000000.0,406733000000.0
58,AIG,"American International Group, Inc.",2015-12-31,10-K,2017-02-23,29249000000.0,-1841000000.0,13831000000.0,1193916617.0,89658000000.0,496842000000.0,406632000000.0
59,AIG,"American International Group, Inc.",2015-12-31,10-K,2018-02-16,,2196000000.0,58327000000.0,1193916617.0,,,
60,AIG,"American International Group, Inc.",2015-12-31,10-K,2019-02-15,,,,1193916617.0,,,
55,AIG,"American International Group, Inc.",2015-09-30,10-K,2016-02-19,,-231000000.0,12822000000.0,,,,
56,AIG,"American International Group, Inc.",2015-09-30,10-K,2017-02-23,,-231000000.0,12822000000.0,,,,
53,AIG,"American International Group, Inc.",2015-06-30,10-K,2016-02-19,,1800000000.0,15699000000.0,,,,
54,AIG,"American International Group, Inc.",2015-06-30,10-K,2017-02-23,,1800000000.0,15699000000.0,,,,
51,AIG,"American International Group, Inc.",2015-03-31,10-K,2016-02-19,,2468000000.0,15975000000.0,,,,
52,AIG,"American International Group, Inc.",2015-03-31,10-K,2017-02-23,,2468000000.0,15975000000.0,,,,
47,AIG,"American International Group, Inc.",2014-12-31,10-K,2015-02-20,31217000000.0,655000000.0,64406000000.0,,106898000000.0,515581000000.0,408309000000.0
48,AIG,"American International Group, Inc.",2014-12-31,10-K,2016-02-19,31217000000.0,655000000.0,15410000000.0,1375926971.0,106898000000.0,515581000000.0,408309000000.0
49,AIG,"American International Group, Inc.",2014-12-31,10-K,2017-02-23,,7529000000.0,64406000000.0,1375926971.0,,,
50,AIG,"American International Group, Inc.",2014-12-31,10-K,2018-02-16,,,,1375926971.0,,,
45,AIG,"American International Group, Inc.",2014-09-30,10-K,2015-02-20,,2192000000.0,,,,,
46,AIG,"American International Group, Inc.",2014-09-30,10-K,2016-02-19,,2192000000.0,16697000000.0,,,,
43,AIG,"American International Group, Inc.",2014-06-30,10-K,2015-02-20,,3073000000.0,,,,,
44,AIG,"American International Group, Inc.",2014-06-30,10-K,2016-02-19,,3073000000.0,16136000000.0,,,,
41,AIG,"American International Group, Inc.",2014-03-31,10-K,2015-02-20,,1609000000.0,,,,,
42,AIG,"American International Group, Inc.",2014-03-31,10-K,2016-02-19,,1609000000.0,16163000000.0,,,,
37,AIG,"American International Group, Inc.",2013-12-31,10-K,2014-02-20,41693000000.0,1978000000.0,17346000000.0,,100470000000.0,541329000000.0,440218000000.0
38,AIG,"American International Group, Inc.",2013-12-31,10-K,2015-02-20,41693000000.0,1978000000.0,68874000000.0,,100470000000.0,541329000000.0,440218000000.0
39,AIG,"American International Group, Inc.",2013-12-31,10-K,2016-02-19,,9085000000.0,68874000000.0,1464063323.0,,,
40,AIG,"American International Group, Inc.",2013-12-31,10-K,2017-02-23,,,,1464063323.0,,,
35,AIG,"American International Group, Inc.",2013-09-30,10-K,2014-02-20,,2170000000.0,15944000000.0,,,,
36,AIG,"American International Group, Inc.",2013-09-30,10-K,2015-02-20,,2170000000.0,,,,,
33,AIG,"American International Group, Inc.",2013-06-30,10-K,2014-02-20,,2731000000.0,18426000000.0,,,,
34,AIG,"American International Group, Inc.",2013-06-30,10-K,2015-02-20,,2731000000.0,,,,,
31,AIG,"American International Group, Inc.",2013-03-31,10-K,2014-02-20,,2206000000.0,16962000000.0,,,,
32,AIG,"American International Group, Inc.",2013-03-31,10-K,2015-02-20,,2206000000.0,,,,,
27,AIG,"American International Group, Inc.",2012-12-31,10-K,2013-02-21,48500000000.0,-3958000000.0,15854000000.0,,98002000000.0,548633000000.0,449630000000.0
28,AIG,"American International Group, Inc.",2012-12-31,10-K,2014-02-20,48500000000.0,-3958000000.0,17169000000.0,,98002000000.0,548633000000.0,449630000000.0
29,AIG,"American International Group, Inc.",2012-12-31,10-K,2015-02-20,,3438000000.0,71214000000.0,,,,
30,AIG,"American International Group, Inc.",2012-12-31,10-K,2016-02-19,,,,1476321935.0,,,
25,AIG,"American International Group, Inc.",2012-09-30,10-K,2013-02-21,,1856000000.0,16505000000.0,,,,
26,AIG,"American International Group, Inc.",2012-09-30,10-K,2014-02-20,,1856000000.0,17865000000.0,,,,
23,AIG,"American International Group, Inc.",2012-06-30,10-K,2013-02-21,,2332000000.0,16006000000.0,,,,
24,AIG,"American International Group, Inc.",2012-06-30,10-K,2014-02-20,,2332000000.0,17338000000.0,,,,
21,AIG,"American International Group, Inc.",2012-03-31,10-K,2013-02-21,,3208000000.0,17291000000.0,,,,
22,AIG,"American International Group, Inc.",2012-03-31,10-K,2014-02-20,,3208000000.0,18649000000.0,,,,
18,AIG,"American International Group, Inc.",2011-12-31,10-K,2012-02-23,73400000000.0,19798000000.0,17409000000.0,,104951000000.0,555773000000.0,441444000000.0
19,AIG,"American International Group, Inc.",2011-12-31,10-K,2013-02-21,75253000000.0,21479000000.0,16376000000.0,,101538000000.0,553054000000.0,442138000000.0
20,AIG,"American International Group, Inc.",2011-12-31,10-K,2014-02-20,,20622000000.0,65105000000.0,,,,
16,AIG,"American International Group, Inc.",2011-09-30,10-K,2012-02-23,,-4109000000.0,12716000000.0,,,,
17,AIG,"American International Group, Inc.",2011-09-30,10-K,2013-02-21,,-3990000000.0,11606000000.0,,,,
14,AIG,"American International Group, Inc.",2011-06-30,10-K,2012-02-23,,1840000000.0,16676000000.0,,,,
15,AIG,"American International Group, Inc.",2011-06-30,10-K,2013-02-21,,1836000000.0,15547000000.0,,,,
12,AIG,"American International Group, Inc.",2011-03-31,10-K,2012-02-23,,269000000.0,17436000000.0,,,,
13,AIG,"American International Group, Inc.",2011-03-31,10-K,2013-02-21,,1297000000.0,16283000000.0,,,,
9,AIG,"American International Group, Inc.",2010-12-31,10-K,2011-02-24,,7786000000.0,77301000000.0,,85319000000.0,683443000000.0,569770000000.0
10,AIG,"American International Group, Inc.",2010-12-31,10-K,2012-02-23,,11176000000.0,21202000000.0,,85319000000.0,683443000000.0,569770000000.0
11,AIG,"American International Group, Inc.",2010-12-31,10-K,2013-02-21,,10058000000.0,72829000000.0,,,,
8,AIG,"American International Group, Inc.",2010-09-30,10-K,2012-02-23,,-2517000000.0,19455000000.0,,,,
7,AIG,"American International Group, Inc.",2010-06-30,10-K,2012-02-23,,-2656000000.0,18314000000.0,,,,
6,AIG,"American International Group, Inc.",2010-03-31,10-K,2012-02-23,,1783000000.0,18555000000.0,,,,
3,AIG,"American International Group, Inc.",2009-12-31,10-K,2010-02-26,,-10949000000.0,96004000000.0,,69824000000.0,847585000000.0,748550000000.0
4,AIG,"American International Group, Inc.",2009-12-31,10-K,2011-02-24,,-10949000000.0,75352000000.0,,69824000000.0,847585000000.0,748550000000.0
5,AIG,"American International Group, Inc.",2009-12-31,10-K,2012-02-23,,-10949000000.0,75447000000.0,,,847585000000.0,
1,AIG,"American International Group, Inc.",2008-12-31,10-K,2010-02-26,,-99289000000.0,6896000000.0,,52710000000.0,860418000000.0,797692000000.0
2,AIG,"American International Group, Inc.",2008-12-31,10-K,2011-02-24,,-99289000000.0,-6840000000.0,,,,
0,AIG,"American International Group, Inc.",2007-12-31,10-K,2010-02-26,,6200000000.0,103632000000.0,,,,
