,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
119,ADP,"AUTOMATIC DATA PROCESSING, INC.",2025-06-30,10-K,2025-08-06,3347800000.0,,4079700000.0,20560900000.0,20560900000.0,405300000.0,6188000000.0,53369300000.0,47181300000.0
117,ADP,"AUTOMATIC DATA PROCESSING, INC.",2024-06-30,10-K,2024-08-07,2913400000.0,,3752000000.0,19202600000.0,19202600000.0,408100000.0,4547600000.0,54362700000.0,49815100000.0
118,ADP,"AUTOMATIC DATA PROCESSING, INC.",2024-06-30,10-K,2025-08-06,2913400000.0,,3752000000.0,19202600000.0,19202600000.0,408100000.0,4547600000.0,54362700000.0,49815100000.0
114,ADP,"AUTOMATIC DATA PROCESSING, INC.",2023-06-30,10-K,2023-08-03,2083500000.0,,3412000000.0,18012200000.0,18012200000.0,412100000.0,3509100000.0,50971000000.0,47461900000.0
115,ADP,"AUTOMATIC DATA PROCESSING, INC.",2023-06-30,10-K,2024-08-07,2083500000.0,,3412000000.0,18012200000.0,18012200000.0,412100000.0,3509100000.0,50971000000.0,47461900000.0
116,ADP,"AUTOMATIC DATA PROCESSING, INC.",2023-06-30,10-K,2025-08-06,2083500000.0,,3412000000.0,18012200000.0,18012200000.0,,,50971000000.0,
111,ADP,"AUTOMATIC DATA PROCESSING, INC.",2022-06-30,10-K,2022-08-03,1436300000.0,,2948900000.0,16498300000.0,16498300000.0,416100000.0,3225300000.0,63068200000.0,59842900000.0
112,ADP,"AUTOMATIC DATA PROCESSING, INC.",2022-06-30,10-K,2023-08-03,1436300000.0,,2948900000.0,16498300000.0,16498300000.0,416100000.0,3225300000.0,63068200000.0,59842900000.0
113,ADP,"AUTOMATIC DATA PROCESSING, INC.",2022-06-30,10-K,2024-08-07,1436300000.0,,2948900000.0,16498300000.0,16498300000.0,,,63068200000.0,
108,ADP,"AUTOMATIC DATA PROCESSING, INC.",2021-06-30,10-K,2021-08-04,2575200000.0,,2598500000.0,15005400000.0,15005400000.0,423700000.0,5670100000.0,48772500000.0,43102400000.0
109,ADP,"AUTOMATIC DATA PROCESSING, INC.",2021-06-30,10-K,2022-08-03,2575200000.0,,2598500000.0,15005400000.0,15005400000.0,423700000.0,5670100000.0,48772500000.0,43102400000.0
110,ADP,"AUTOMATIC DATA PROCESSING, INC.",2021-06-30,10-K,2023-08-03,2575200000.0,,2598500000.0,15005400000.0,15005400000.0,,,48772500000.0,
105,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-06-30,10-K,2020-08-05,1908500000.0,,411500000.0,3376800000.0,14589800000.0,429900000.0,5752200000.0,39165500000.0,33413300000.0
106,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-06-30,10-K,2021-08-04,1908500000.0,,2466500000.0,14589800000.0,14589800000.0,429900000.0,5752200000.0,39165500000.0,33413300000.0
107,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-06-30,10-K,2022-08-03,1908500000.0,,2466500000.0,14589800000.0,14589800000.0,,,39165500000.0,
104,ADP,"AUTOMATIC DATA PROCESSING, INC.",2020-03-31,10-K,2020-08-05,,,820900000.0,4047800000.0,,,,,
103,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-12-31,10-K,2020-08-05,,,651600000.0,3669500000.0,,,,,
102,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-09-30,10-K,2020-08-05,,,582400000.0,3495700000.0,,,,,
99,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-06-30,10-K,2019-08-09,1949200000.0,,475500000.0,3498700000.0,14175200000.0,434200000.0,5399900000.0,41887700000.0,36487800000.0
100,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-06-30,10-K,2020-08-05,1949200000.0,,475500000.0,3479300000.0,14110200000.0,434200000.0,5399900000.0,41887700000.0,36487800000.0
101,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-06-30,10-K,2021-08-04,1949200000.0,,2292800000.0,14110200000.0,14110200000.0,,,41887700000.0,
97,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-03-31,10-K,2019-08-09,,,753700000.0,3847400000.0,,,,,
98,ADP,"AUTOMATIC DATA PROCESSING, INC.",2019-03-31,10-K,2020-08-05,,,753700000.0,3828200000.0,,,,,
95,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-12-31,10-K,2019-08-09,,,558200000.0,3505900000.0,,,,,
96,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-12-31,10-K,2020-08-05,,,558200000.0,3492400000.0,,,,,
93,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-09-30,10-K,2019-08-09,,,505400000.0,3323200000.0,,,,,
94,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-09-30,10-K,2020-08-05,,,505400000.0,3310300000.0,,,,,
90,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-06-30,10-K,2018-08-03,2170000000.0,,108700000.0,3318600000.0,,438800000.0,3459600000.0,37088700000.0,33629100000.0
91,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-06-30,10-K,2019-08-09,2170000000.0,,140900000.0,3316200000.0,13327700000.0,438800000.0,4735900000.0,38849100000.0,34113200000.0
92,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-06-30,10-K,2020-08-05,2170000000.0,,1884900000.0,13274200000.0,13274200000.0,,,38849100000.0,
88,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-03-31,10-K,2018-08-03,,,643100000.0,3693000000.0,,,,,
89,ADP,"AUTOMATIC DATA PROCESSING, INC.",2018-03-31,10-K,2019-08-09,,,661000000.0,3696000000.0,,,,,
86,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-12-31,10-K,2018-08-03,,,467500000.0,3235400000.0,,,,,
87,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-12-31,10-K,2019-08-09,,,670400000.0,3238300000.0,,,,,
84,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-09-30,10-K,2018-08-03,,,401500000.0,3078800000.0,,,,,
85,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-09-30,10-K,2019-08-09,,,412600000.0,3077200000.0,,,,,
81,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-06-30,10-K,2017-08-04,2780400000.0,,265800000.0,3064800000.0,,445000000.0,3977000000.0,37180000000.0,33203000000.0
82,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-06-30,10-K,2018-08-03,2780400000.0,,265800000.0,3064800000.0,,445000000.0,3977000000.0,37180000000.0,33203000000.0
83,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-06-30,10-K,2019-08-09,2780400000.0,,1787800000.0,12372000000.0,12372000000.0,,,38886900000.0,
79,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-03-31,10-K,2017-08-04,,,587900000.0,3410800000.0,,,,,
80,ADP,"AUTOMATIC DATA PROCESSING, INC.",2017-03-31,10-K,2018-08-03,,,587900000.0,3410800000.0,,,,,
77,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-12-31,10-K,2017-08-04,,,510900000.0,2987300000.0,,,,,
78,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-12-31,10-K,2018-08-03,,,510900000.0,2987300000.0,,,,,
75,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-09-30,10-K,2017-08-04,,,368700000.0,2916900000.0,,,,,
76,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-09-30,10-K,2018-08-03,,,368700000.0,2916900000.0,,,,,
72,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-06-30,10-K,2016-08-05,3191100000.0,,282000000.0,2898200000.0,,455700000.0,4481600000.0,43670000000.0,39188400000.0
73,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-06-30,10-K,2017-08-04,3191100000.0,,282000000.0,2898200000.0,,455700000.0,4481600000.0,43670000000.0,39188400000.0
74,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-06-30,10-K,2018-08-03,3191100000.0,,1492500000.0,11667800000.0,,,,,
70,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-03-31,10-K,2016-08-05,,,532500000.0,3248600000.0,,,,,
71,ADP,"AUTOMATIC DATA PROCESSING, INC.",2016-03-31,10-K,2017-08-04,,,532500000.0,3248600000.0,,,,,
68,ADP,"AUTOMATIC DATA PROCESSING, INC.",2015-12-31,10-K,2016-08-05,,,341400000.0,2807000000.0,,,,,
69,ADP,"AUTOMATIC DATA PROCESSING, INC.",2015-12-31,10-K,2017-08-04,,,341400000.0,2807000000.0,,,,,
66,ADP,"AUTOMATIC DATA PROCESSING, INC.",2015-09-30,10-K,2016-08-05,,,336600000.0,2714000000.0,,,,,
67,ADP,"AUTOMATIC DATA PROCESSING, INC.",2015-09-30,10-K,2017-08-04,,,336600000.0,2714000000.0,,,,,
63,ADP,"AUTOMATIC DATA PROCESSING, INC.",2015-06-30,10-K,2015-08-07,1639300000.0,,336200000.0,2694500000.0,,466400000.0,4808500000.0,33110500000.0,28302000000.0
