,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
79,CF,"CF INDUSTRIES HOLDINGS, INC.",2025-12-31,10-K,2026-02-25,,3215000000.0,,2300000000.0,7084000000.0,153552162.0,4838000000.0,14088000000.0
77,CF,"CF INDUSTRIES HOLDINGS, INC.",2024-12-31,10-K,2025-02-20,,2971000000.0,,1746000000.0,5936000000.0,169882990.0,4985000000.0,13466000000.0
78,CF,"CF INDUSTRIES HOLDINGS, INC.",2024-12-31,10-K,2026-02-25,,2971000000.0,,1746000000.0,5936000000.0,169882990.0,4985000000.0,13466000000.0
74,CF,"CF INDUSTRIES HOLDINGS, INC.",2023-12-31,10-K,2024-02-22,,2968000000.0,,2230000000.0,6631000000.0,188188401.0,5717000000.0,14376000000.0
75,CF,"CF INDUSTRIES HOLDINGS, INC.",2023-12-31,10-K,2025-02-20,,2968000000.0,,2230000000.0,6631000000.0,188188401.0,5717000000.0,14376000000.0
76,CF,"CF INDUSTRIES HOLDINGS, INC.",2023-12-31,10-K,2026-02-25,,,,2230000000.0,6631000000.0,188188401.0,,
70,CF,"CF INDUSTRIES HOLDINGS, INC.",2022-12-31,10-K,2023-02-23,,2965000000.0,,5397000000.0,11186000000.0,195604404.0,5051000000.0,13313000000.0
71,CF,"CF INDUSTRIES HOLDINGS, INC.",2022-12-31,10-K,2024-02-22,,2965000000.0,,5397000000.0,11186000000.0,195604404.0,5051000000.0,13313000000.0
72,CF,"CF INDUSTRIES HOLDINGS, INC.",2022-12-31,10-K,2025-02-20,,,,5397000000.0,11186000000.0,195604404.0,,
73,CF,"CF INDUSTRIES HOLDINGS, INC.",2022-12-31,10-K,2026-02-25,,,,,,195604404.0,,
66,CF,"CF INDUSTRIES HOLDINGS, INC.",2021-12-31,10-K,2022-02-24,,3465000000.0,,1729000000.0,6538000000.0,207575978.0,3206000000.0,12375000000.0
67,CF,"CF INDUSTRIES HOLDINGS, INC.",2021-12-31,10-K,2023-02-23,,3465000000.0,,1729000000.0,6538000000.0,207575978.0,3206000000.0,12375000000.0
68,CF,"CF INDUSTRIES HOLDINGS, INC.",2021-12-31,10-K,2024-02-22,,,,1729000000.0,6538000000.0,207575978.0,,
69,CF,"CF INDUSTRIES HOLDINGS, INC.",2021-12-31,10-K,2025-02-20,,,,,,207575978.0,,
62,CF,"CF INDUSTRIES HOLDINGS, INC.",2020-12-31,10-K,2021-02-24,,3961000000.0,,623000000.0,4124000000.0,213954858.0,2922000000.0,12023000000.0
63,CF,"CF INDUSTRIES HOLDINGS, INC.",2020-12-31,10-K,2022-02-24,,3961000000.0,,623000000.0,4124000000.0,213954858.0,2922000000.0,12023000000.0
64,CF,"CF INDUSTRIES HOLDINGS, INC.",2020-12-31,10-K,2023-02-23,,,,623000000.0,4124000000.0,213954858.0,,
65,CF,"CF INDUSTRIES HOLDINGS, INC.",2020-12-31,10-K,2024-02-22,,,,,,213954858.0,,
58,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-12-31,10-K,2020-02-24,287000000.0,3957000000.0,,1003000000.0,1049000000.0,216023826.0,2897000000.0,12172000000.0
59,CF,"CF INDUSTRIES HOLDINGS, INC.",2019-12-31,10-K,2021-02-24,,3957000000.0,,1003000000.0,4590000000.0,216023826.0,2897000000.0,12172000000.0
