,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
116,AMD,"ADVANCED MICRO DEVICES, INC.",2025-12-27,10-K,2026-02-04,5539000000.0,,4335000000.0,3694000000.0,34639000000.0,1630000000.0,62999000000.0,76926000000.0
114,AMD,"ADVANCED MICRO DEVICES, INC.",2024-12-28,10-K,2025-02-05,3787000000.0,,1641000000.0,1900000000.0,25785000000.0,1622000000.0,57568000000.0,69226000000.0
115,AMD,"ADVANCED MICRO DEVICES, INC.",2024-12-28,10-K,2026-02-04,3787000000.0,,1641000000.0,1900000000.0,25785000000.0,1622000000.0,57568000000.0,69226000000.0
111,AMD,"ADVANCED MICRO DEVICES, INC.",2023-12-30,10-K,2024-01-31,3933000000.0,,854000000.0,401000000.0,22680000000.0,1616000000.0,55892000000.0,67885000000.0
112,AMD,"ADVANCED MICRO DEVICES, INC.",2023-12-30,10-K,2025-02-05,3933000000.0,,854000000.0,401000000.0,22680000000.0,1616000000.0,55892000000.0,67885000000.0
113,AMD,"ADVANCED MICRO DEVICES, INC.",2023-12-30,10-K,2026-02-04,3933000000.0,,854000000.0,401000000.0,22680000000.0,,55892000000.0,
108,AMD,"ADVANCED MICRO DEVICES, INC.",2022-12-31,10-K,2023-02-27,4835000000.0,,1320000000.0,1264000000.0,23601000000.0,1612000000.0,54750000000.0,67580000000.0
109,AMD,"ADVANCED MICRO DEVICES, INC.",2022-12-31,10-K,2024-01-31,4835000000.0,,1320000000.0,1264000000.0,23601000000.0,1612000000.0,54750000000.0,67580000000.0
110,AMD,"ADVANCED MICRO DEVICES, INC.",2022-12-31,10-K,2025-02-05,4835000000.0,,1320000000.0,1264000000.0,23601000000.0,,54750000000.0,
105,AMD,"ADVANCED MICRO DEVICES, INC.",2021-12-25,10-K,2022-02-03,2535000000.0,1000000.0,3162000000.0,3648000000.0,16434000000.0,1207000000.0,7497000000.0,12419000000.0
106,AMD,"ADVANCED MICRO DEVICES, INC.",2021-12-25,10-K,2023-02-27,2535000000.0,,3162000000.0,3648000000.0,16434000000.0,1207000000.0,7497000000.0,12419000000.0
107,AMD,"ADVANCED MICRO DEVICES, INC.",2021-12-25,10-K,2024-01-31,,,3162000000.0,3648000000.0,16434000000.0,,7497000000.0,
102,AMD,"ADVANCED MICRO DEVICES, INC.",2020-12-26,10-K,2021-01-29,1595000000.0,330000000.0,1781000000.0,570000000.0,3244000000.0,1211000000.0,5837000000.0,8962000000.0
103,AMD,"ADVANCED MICRO DEVICES, INC.",2020-12-26,10-K,2022-02-03,1595000000.0,330000000.0,2490000000.0,1369000000.0,9763000000.0,1211000000.0,5837000000.0,8962000000.0
104,AMD,"ADVANCED MICRO DEVICES, INC.",2020-12-26,10-K,2023-02-27,,,2490000000.0,1369000000.0,9763000000.0,,5837000000.0,
