,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
121,BXP,"BXP, INC.",2025-12-31,10-K,2026-02-27,1478206000.0,,276800000.0,,3482279000.0,158548298.0,5147190000.0,26166164000.0,18473924000.0
119,BXP,"BXP, INC.",2024-12-31,10-K,2025-02-27,1254882000.0,,14272000.0,,3407719000.0,158174995.0,5413306000.0,26084980000.0,18137324000.0
120,BXP,"BXP, INC.",2024-12-31,10-K,2026-02-27,1254882000.0,,14272000.0,,3407719000.0,158174995.0,5413306000.0,26084980000.0,18137324000.0
116,BXP,"BXP, INC.",2023-12-31,10-K,2024-02-27,1531477000.0,,190215000.0,,3273569000.0,156940866.0,5876697000.0,26026149000.0,17833785000.0
117,BXP,"BXP, INC.",2023-12-31,10-K,2025-02-27,1531477000.0,,190215000.0,,3273569000.0,156940866.0,5876697000.0,26026149000.0,17833785000.0
118,BXP,"BXP, INC.",2023-12-31,10-K,2026-02-27,1531477000.0,,190215000.0,,3273569000.0,,,,
112,BXP,"BXP, INC.",2022-12-31,10-K,2023-02-27,690333000.0,,848947000.0,,3108581000.0,156757867.0,6132919000.0,24207669000.0,15837237000.0
113,BXP,"BXP, INC.",2022-12-31,10-K,2024-02-27,690333000.0,,848947000.0,,3108581000.0,156757867.0,6132919000.0,24207669000.0,15837237000.0
114,BXP,"BXP, INC.",2022-12-31,10-K,2025-02-27,690333000.0,,848947000.0,,3108581000.0,,,,
115,BXP,"BXP, INC.",2022-12-31,10-K,2026-02-27,690333000.0,,,,,,,,
108,BXP,"BXP, INC.",2021-12-31,10-K,2022-02-25,452692000.0,3300000000.0,505195000.0,,2888621000.0,156544849.0,5834020000.0,22365258000.0,14322462000.0
109,BXP,"BXP, INC.",2021-12-31,10-K,2023-02-27,452692000.0,,505195000.0,,2888621000.0,156544849.0,5834020000.0,22365258000.0,14322462000.0
