,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
133,AMZN,AMAZON COM INC,2025-12-31,10-K,2026-02-06,86810000000.0,68836000000.0,77670000000.0,79975000000.0,716924000000.0,10731000000.0,411065000000.0,818042000000.0
131,AMZN,AMAZON COM INC,2024-12-31,10-K,2025-02-07,78779000000.0,58000000000.0,59248000000.0,68593000000.0,637959000000.0,10593000000.0,285970000000.0,624894000000.0
132,AMZN,AMAZON COM INC,2024-12-31,10-K,2026-02-06,78779000000.0,58000000000.0,59248000000.0,68593000000.0,637959000000.0,10593000000.0,285970000000.0,624894000000.0
128,AMZN,AMAZON COM INC,2023-12-31,10-K,2024-02-02,73387000000.0,67182000000.0,30425000000.0,36852000000.0,574785000000.0,10383000000.0,201875000000.0,527854000000.0
129,AMZN,AMAZON COM INC,2023-12-31,10-K,2025-02-07,73387000000.0,67182000000.0,30425000000.0,36852000000.0,574785000000.0,10383000000.0,201875000000.0,527854000000.0
130,AMZN,AMAZON COM INC,2023-12-31,10-K,2026-02-06,,,30425000000.0,36852000000.0,574785000000.0,,201875000000.0,527854000000.0
124,AMZN,AMAZON COM INC,2022-12-31,10-K,2023-02-03,53888000000.0,70542000000.0,-2722000000.0,12248000000.0,513983000000.0,10242000000.0,146043000000.0,462675000000.0
125,AMZN,AMAZON COM INC,2022-12-31,10-K,2024-02-02,53888000000.0,70542000000.0,-2722000000.0,12248000000.0,513983000000.0,10242000000.0,146043000000.0,462675000000.0
126,AMZN,AMAZON COM INC,2022-12-31,10-K,2025-02-07,,,-2722000000.0,12248000000.0,513983000000.0,,146043000000.0,462675000000.0
127,AMZN,AMAZON COM INC,2022-12-31,10-K,2026-02-06,,,,,,,146043000000.0,
120,AMZN,AMAZON COM INC,2021-12-31,10-K,2022-02-04,36220000000.0,50553000000.0,33364000000.0,24879000000.0,469822000000.0,509000000.0,138245000000.0,420549000000.0
121,AMZN,AMAZON COM INC,2021-12-31,10-K,2023-02-03,36220000000.0,50553000000.0,33364000000.0,24879000000.0,469822000000.0,10175000000.0,138245000000.0,420549000000.0
122,AMZN,AMAZON COM INC,2021-12-31,10-K,2024-02-02,,,33364000000.0,24879000000.0,469822000000.0,,138245000000.0,420549000000.0
123,AMZN,AMAZON COM INC,2021-12-31,10-K,2025-02-07,,,,,,,138245000000.0,
116,AMZN,AMAZON COM INC,2020-12-31,10-K,2021-02-03,42122000000.0,33174000000.0,7222000000.0,6873000000.0,125555000000.0,503000000.0,93404000000.0,321195000000.0
117,AMZN,AMAZON COM INC,2020-12-31,10-K,2022-02-04,42122000000.0,33174000000.0,21331000000.0,22899000000.0,386064000000.0,503000000.0,93404000000.0,321195000000.0
118,AMZN,AMAZON COM INC,2020-12-31,10-K,2023-02-03,,,21331000000.0,22899000000.0,386064000000.0,,93404000000.0,321195000000.0
119,AMZN,AMAZON COM INC,2020-12-31,10-K,2024-02-02,,,,,,,93404000000.0,
115,AMZN,AMAZON COM INC,2020-09-30,10-K,2021-02-03,,,6331000000.0,6194000000.0,96145000000.0,,,
114,AMZN,AMAZON COM INC,2020-06-30,10-K,2021-02-03,,,5243000000.0,5843000000.0,88912000000.0,,,
113,AMZN,AMAZON COM INC,2020-03-31,10-K,2021-02-03,,,2535000000.0,3989000000.0,75452000000.0,,,
109,AMZN,AMAZON COM INC,2019-12-31,10-K,2020-01-31,36092000000.0,24820000000.0,3268000000.0,3879000000.0,87437000000.0,498000000.0,62060000000.0,225248000000.0
110,AMZN,AMAZON COM INC,2019-12-31,10-K,2021-02-03,36092000000.0,24820000000.0,3268000000.0,3879000000.0,87437000000.0,498000000.0,62060000000.0,225248000000.0
111,AMZN,AMAZON COM INC,2019-12-31,10-K,2022-02-04,,,11588000000.0,14541000000.0,280522000000.0,,62060000000.0,225248000000.0
112,AMZN,AMAZON COM INC,2019-12-31,10-K,2023-02-03,,,,,,,62060000000.0,
107,AMZN,AMAZON COM INC,2019-09-30,10-K,2020-01-31,,,2134000000.0,3157000000.0,69981000000.0,,,
108,AMZN,AMAZON COM INC,2019-09-30,10-K,2021-02-03,,,2134000000.0,3157000000.0,69981000000.0,,,
105,AMZN,AMAZON COM INC,2019-06-30,10-K,2020-01-31,,,2625000000.0,3084000000.0,63404000000.0,,,
106,AMZN,AMAZON COM INC,2019-06-30,10-K,2021-02-03,,,2625000000.0,3084000000.0,63404000000.0,,,
103,AMZN,AMAZON COM INC,2019-03-31,10-K,2020-01-31,,,3561000000.0,4420000000.0,59700000000.0,,,
104,AMZN,AMAZON COM INC,2019-03-31,10-K,2021-02-03,,,3561000000.0,4420000000.0,59700000000.0,,,
99,AMZN,AMAZON COM INC,2018-12-31,10-K,2019-02-01,31750000000.0,24965000000.0,3027000000.0,3786000000.0,72383000000.0,491000000.0,43549000000.0,162648000000.0
100,AMZN,AMAZON COM INC,2018-12-31,10-K,2020-01-31,31750000000.0,24965000000.0,3027000000.0,3786000000.0,72383000000.0,491000000.0,43549000000.0,162648000000.0
101,AMZN,AMAZON COM INC,2018-12-31,10-K,2021-02-03,,,10073000000.0,12421000000.0,232887000000.0,,43549000000.0,162648000000.0
102,AMZN,AMAZON COM INC,2018-12-31,10-K,2022-02-04,,,,,,,43549000000.0,
97,AMZN,AMAZON COM INC,2018-09-30,10-K,2019-02-01,,,2883000000.0,3724000000.0,56576000000.0,,,
98,AMZN,AMAZON COM INC,2018-09-30,10-K,2020-01-31,,,2883000000.0,3724000000.0,56576000000.0,,,
95,AMZN,AMAZON COM INC,2018-06-30,10-K,2019-02-01,,,2534000000.0,2983000000.0,52886000000.0,,,
96,AMZN,AMAZON COM INC,2018-06-30,10-K,2020-01-31,,,2534000000.0,2983000000.0,52886000000.0,,,
93,AMZN,AMAZON COM INC,2018-03-31,10-K,2019-02-01,,,1629000000.0,1927000000.0,51042000000.0,,,
94,AMZN,AMAZON COM INC,2018-03-31,10-K,2020-01-31,,,1629000000.0,1927000000.0,51042000000.0,,,
89,AMZN,AMAZON COM INC,2017-12-31,10-K,2018-02-02,20522000000.0,24942000000.0,1856000000.0,2127000000.0,,484000000.0,27709000000.0,131310000000.0
90,AMZN,AMAZON COM INC,2017-12-31,10-K,2019-02-01,20522000000.0,24942000000.0,1856000000.0,2127000000.0,60453000000.0,484000000.0,27709000000.0,131310000000.0
91,AMZN,AMAZON COM INC,2017-12-31,10-K,2020-01-31,,,3033000000.0,4106000000.0,177866000000.0,,27709000000.0,131310000000.0
92,AMZN,AMAZON COM INC,2017-12-31,10-K,2021-02-03,,,,,,,27709000000.0,
87,AMZN,AMAZON COM INC,2017-09-30,10-K,2018-02-02,,,256000000.0,347000000.0,,,,
