,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
88,AMZN,AMAZON COM INC,2017-09-30,10-K,2019-02-01,,,256000000.0,347000000.0,43744000000.0,,,
85,AMZN,AMAZON COM INC,2017-06-30,10-K,2018-02-02,,,197000000.0,628000000.0,,,,
86,AMZN,AMAZON COM INC,2017-06-30,10-K,2019-02-01,,,197000000.0,628000000.0,37955000000.0,,,
83,AMZN,AMAZON COM INC,2017-03-31,10-K,2018-02-02,,,724000000.0,1005000000.0,,,,
84,AMZN,AMAZON COM INC,2017-03-31,10-K,2019-02-01,,,724000000.0,1005000000.0,35714000000.0,,,
79,AMZN,AMAZON COM INC,2016-12-31,10-K,2017-02-10,19334000000.0,8838000000.0,749000000.0,1255000000.0,,477000000.0,19285000000.0,83402000000.0
80,AMZN,AMAZON COM INC,2016-12-31,10-K,2018-02-02,19334000000.0,8838000000.0,749000000.0,1255000000.0,,477000000.0,19285000000.0,83402000000.0
81,AMZN,AMAZON COM INC,2016-12-31,10-K,2019-02-01,,,2371000000.0,4186000000.0,135987000000.0,,19285000000.0,83402000000.0
82,AMZN,AMAZON COM INC,2016-12-31,10-K,2020-01-31,,,,,,,19285000000.0,
77,AMZN,AMAZON COM INC,2016-09-30,10-K,2017-02-10,,,252000000.0,575000000.0,,,,
78,AMZN,AMAZON COM INC,2016-09-30,10-K,2018-02-02,,,252000000.0,575000000.0,,,,
75,AMZN,AMAZON COM INC,2016-06-30,10-K,2017-02-10,,,857000000.0,1285000000.0,,,,
76,AMZN,AMAZON COM INC,2016-06-30,10-K,2018-02-02,,,857000000.0,1285000000.0,,,,
73,AMZN,AMAZON COM INC,2016-03-31,10-K,2017-02-10,,,513000000.0,1071000000.0,,,,
74,AMZN,AMAZON COM INC,2016-03-31,10-K,2018-02-02,,,513000000.0,1071000000.0,,,,
69,AMZN,AMAZON COM INC,2015-12-31,10-K,2016-01-29,15890000000.0,8562000000.0,482000000.0,1108000000.0,,471000000.0,13384000000.0,65444000000.0
70,AMZN,AMAZON COM INC,2015-12-31,10-K,2017-02-10,15890000000.0,8562000000.0,482000000.0,1108000000.0,,471000000.0,13384000000.0,64747000000.0
71,AMZN,AMAZON COM INC,2015-12-31,10-K,2018-02-02,15890000000.0,,596000000.0,2233000000.0,,,13384000000.0,64747000000.0
72,AMZN,AMAZON COM INC,2015-12-31,10-K,2019-02-01,,,,,,,13384000000.0,
67,AMZN,AMAZON COM INC,2015-09-30,10-K,2016-01-29,,,79000000.0,406000000.0,,,,
68,AMZN,AMAZON COM INC,2015-09-30,10-K,2017-02-10,,,79000000.0,406000000.0,,,,
65,AMZN,AMAZON COM INC,2015-06-30,10-K,2016-01-29,,,92000000.0,464000000.0,,,,
66,AMZN,AMAZON COM INC,2015-06-30,10-K,2017-02-10,,,92000000.0,464000000.0,,,,
63,AMZN,AMAZON COM INC,2015-03-31,10-K,2016-01-29,,,-57000000.0,255000000.0,,,,
64,AMZN,AMAZON COM INC,2015-03-31,10-K,2017-02-10,,,-57000000.0,255000000.0,,,,
59,AMZN,AMAZON COM INC,2014-12-31,10-K,2015-01-30,14557000000.0,9881000000.0,214000000.0,591000000.0,,465000000.0,10741000000.0,54505000000.0
60,AMZN,AMAZON COM INC,2014-12-31,10-K,2016-01-29,14557000000.0,9881000000.0,214000000.0,591000000.0,,465000000.0,10741000000.0,54505000000.0
61,AMZN,AMAZON COM INC,2014-12-31,10-K,2017-02-10,14557000000.0,,-241000000.0,178000000.0,,,10741000000.0,54505000000.0
62,AMZN,AMAZON COM INC,2014-12-31,10-K,2018-02-02,14557000000.0,,,,,,10741000000.0,
57,AMZN,AMAZON COM INC,2014-09-30,10-K,2015-01-30,,,-437000000.0,-544000000.0,,,,
58,AMZN,AMAZON COM INC,2014-09-30,10-K,2016-01-29,,,-437000000.0,-544000000.0,,,,
55,AMZN,AMAZON COM INC,2014-06-30,10-K,2015-01-30,,,-126000000.0,-15000000.0,,,,
56,AMZN,AMAZON COM INC,2014-06-30,10-K,2016-01-29,,,-126000000.0,-15000000.0,,,,
53,AMZN,AMAZON COM INC,2014-03-31,10-K,2015-01-30,,,108000000.0,146000000.0,,,,
54,AMZN,AMAZON COM INC,2014-03-31,10-K,2016-01-29,,,108000000.0,146000000.0,,,,
49,AMZN,AMAZON COM INC,2013-12-31,10-K,2014-01-31,8658000000.0,3967000000.0,239000000.0,510000000.0,,459000000.0,9746000000.0,40159000000.0
50,AMZN,AMAZON COM INC,2013-12-31,10-K,2015-01-30,8658000000.0,3967000000.0,239000000.0,510000000.0,,459000000.0,9746000000.0,40159000000.0
51,AMZN,AMAZON COM INC,2013-12-31,10-K,2016-01-29,8658000000.0,,274000000.0,745000000.0,,,9746000000.0,40159000000.0
52,AMZN,AMAZON COM INC,2013-12-31,10-K,2017-02-10,8658000000.0,,,,,,9746000000.0,
47,AMZN,AMAZON COM INC,2013-09-30,10-K,2014-01-31,,,-41000000.0,-25000000.0,,,,
48,AMZN,AMAZON COM INC,2013-09-30,10-K,2015-01-30,,,-41000000.0,-25000000.0,,,,
45,AMZN,AMAZON COM INC,2013-06-30,10-K,2014-01-31,,,-7000000.0,79000000.0,,,,
46,AMZN,AMAZON COM INC,2013-06-30,10-K,2015-01-30,,,-7000000.0,79000000.0,,,,
43,AMZN,AMAZON COM INC,2013-03-31,10-K,2014-01-31,,,82000000.0,181000000.0,,,,
44,AMZN,AMAZON COM INC,2013-03-31,10-K,2015-01-30,,,82000000.0,181000000.0,,,,
39,AMZN,AMAZON COM INC,2012-12-31,10-K,2013-01-30,8084000000.0,3691000000.0,177000000.0,676000000.0,,454000000.0,8192000000.0,32555000000.0
40,AMZN,AMAZON COM INC,2012-12-31,10-K,2014-01-31,8084000000.0,3691000000.0,97000000.0,405000000.0,,454000000.0,8192000000.0,32555000000.0
41,AMZN,AMAZON COM INC,2012-12-31,10-K,2015-01-30,8084000000.0,,-39000000.0,676000000.0,,,8192000000.0,
42,AMZN,AMAZON COM INC,2012-12-31,10-K,2016-01-29,8084000000.0,,,,,,8192000000.0,
37,AMZN,AMAZON COM INC,2012-09-30,10-K,2013-01-30,,,63000000.0,,,,,
38,AMZN,AMAZON COM INC,2012-09-30,10-K,2014-01-31,,,-274000000.0,-28000000.0,,,,
35,AMZN,AMAZON COM INC,2012-06-30,10-K,2013-01-30,,,191000000.0,,,,,
36,AMZN,AMAZON COM INC,2012-06-30,10-K,2014-01-31,,,7000000.0,107000000.0,,,,
33,AMZN,AMAZON COM INC,2012-03-31,10-K,2013-01-30,,,201000000.0,,,,,
34,AMZN,AMAZON COM INC,2012-03-31,10-K,2014-01-31,,,130000000.0,192000000.0,,,,
29,AMZN,AMAZON COM INC,2011-12-31,10-K,2012-02-01,5269000000.0,384000000.0,177000000.0,862000000.0,,455000000.0,7757000000.0,25278000000.0
30,AMZN,AMAZON COM INC,2011-12-31,10-K,2013-01-30,5269000000.0,384000000.0,97000000.0,862000000.0,,455000000.0,7757000000.0,25278000000.0
31,AMZN,AMAZON COM INC,2011-12-31,10-K,2014-01-31,5269000000.0,,631000000.0,862000000.0,,,7757000000.0,
32,AMZN,AMAZON COM INC,2011-12-31,10-K,2015-01-30,5269000000.0,,,,,,7757000000.0,
27,AMZN,AMAZON COM INC,2011-09-30,10-K,2012-02-01,,,63000000.0,,,,,
28,AMZN,AMAZON COM INC,2011-09-30,10-K,2013-01-30,,,-274000000.0,,,,,
25,AMZN,AMAZON COM INC,2011-06-30,10-K,2012-02-01,,,191000000.0,,,,,
26,AMZN,AMAZON COM INC,2011-06-30,10-K,2013-01-30,,,7000000.0,,,,,
23,AMZN,AMAZON COM INC,2011-03-31,10-K,2012-02-01,,,201000000.0,,,,,
24,AMZN,AMAZON COM INC,2011-03-31,10-K,2013-01-30,,,130000000.0,,,,,
19,AMZN,AMAZON COM INC,2010-12-31,10-K,2011-01-28,3777000000.0,,416000000.0,1406000000.0,,451000000.0,6864000000.0,18797000000.0
20,AMZN,AMAZON COM INC,2010-12-31,10-K,2012-02-01,3777000000.0,,416000000.0,1406000000.0,,451000000.0,6864000000.0,18797000000.0
21,AMZN,AMAZON COM INC,2010-12-31,10-K,2013-01-30,3777000000.0,,1152000000.0,1406000000.0,,,6864000000.0,
22,AMZN,AMAZON COM INC,2010-12-31,10-K,2014-01-31,3777000000.0,,,,,,6864000000.0,
17,AMZN,AMAZON COM INC,2010-09-30,10-K,2011-01-28,,,231000000.0,,,,,
18,AMZN,AMAZON COM INC,2010-09-30,10-K,2012-02-01,,,231000000.0,,,,,
15,AMZN,AMAZON COM INC,2010-06-30,10-K,2011-01-28,,,207000000.0,,,,,
16,AMZN,AMAZON COM INC,2010-06-30,10-K,2012-02-01,,,207000000.0,,,,,
13,AMZN,AMAZON COM INC,2010-03-31,10-K,2011-01-28,,,299000000.0,,,,,
14,AMZN,AMAZON COM INC,2010-03-31,10-K,2012-02-01,,,299000000.0,,,,,
9,AMZN,AMAZON COM INC,2009-12-31,10-K,2010-01-29,3444000000.0,,902000000.0,1129000000.0,,444000000.0,5257000000.0,13813000000.0
10,AMZN,AMAZON COM INC,2009-12-31,10-K,2011-01-28,3444000000.0,,384000000.0,1129000000.0,,444000000.0,5257000000.0,13813000000.0
11,AMZN,AMAZON COM INC,2009-12-31,10-K,2012-02-01,3444000000.0,,902000000.0,1129000000.0,,,5257000000.0,
12,AMZN,AMAZON COM INC,2009-12-31,10-K,2013-01-30,3444000000.0,,,,,,5257000000.0,
8,AMZN,AMAZON COM INC,2009-09-30,10-K,2011-01-28,,,199000000.0,,,,,
7,AMZN,AMAZON COM INC,2009-06-30,10-K,2011-01-28,,,142000000.0,,,,,
6,AMZN,AMAZON COM INC,2009-03-31,10-K,2011-01-28,,,177000000.0,,,,,
3,AMZN,AMAZON COM INC,2008-12-31,10-K,2010-01-29,2769000000.0,,645000000.0,842000000.0,,428000000.0,2672000000.0,8314000000.0
4,AMZN,AMAZON COM INC,2008-12-31,10-K,2011-01-28,2769000000.0,,645000000.0,842000000.0,,,2672000000.0,
5,AMZN,AMAZON COM INC,2008-12-31,10-K,2012-02-01,2769000000.0,,,,,,2672000000.0,
1,AMZN,AMAZON COM INC,2007-12-31,10-K,2010-01-29,2539000000.0,,476000000.0,655000000.0,,,1197000000.0,
2,AMZN,AMAZON COM INC,2007-12-31,10-K,2011-01-28,2539000000.0,,,,,,1197000000.0,
0,AMZN,AMAZON COM INC,2006-12-31,10-K,2010-01-29,1022000000.0,,,,,,431000000.0,
