,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
147,AWK,"American Water Works Company, Inc.",2025-12-31,10-K,2026-02-18,98000000.0,,1111000000.0,1879000000.0,,5121000000.0,,10837000000.0,35442000000.0
145,AWK,"American Water Works Company, Inc.",2024-12-31,10-K,2025-02-19,96000000.0,,239000000.0,400000000.0,,4653000000.0,,10332000000.0,32830000000.0
146,AWK,"American Water Works Company, Inc.",2024-12-31,10-K,2026-02-18,96000000.0,,1051000000.0,1718000000.0,,4653000000.0,,10332000000.0,32830000000.0
144,AWK,"American Water Works Company, Inc.",2024-09-30,10-K,2025-02-19,,,350000000.0,543000000.0,,,,,
143,AWK,"American Water Works Company, Inc.",2024-06-30,10-K,2025-02-19,,,277000000.0,449000000.0,,,,,
142,AWK,"American Water Works Company, Inc.",2024-03-31,10-K,2025-02-19,,,185000000.0,326000000.0,,,,,
139,AWK,"American Water Works Company, Inc.",2023-12-31,10-K,2024-02-14,330000000.0,,171000000.0,299000000.0,,4217000000.0,,9797000000.0,30298000000.0
140,AWK,"American Water Works Company, Inc.",2023-12-31,10-K,2025-02-19,330000000.0,,171000000.0,299000000.0,,4217000000.0,,9797000000.0,30298000000.0
141,AWK,"American Water Works Company, Inc.",2023-12-31,10-K,2026-02-18,,,944000000.0,1504000000.0,,4217000000.0,,9797000000.0,30298000000.0
137,AWK,"American Water Works Company, Inc.",2023-09-30,10-K,2024-02-14,,,323000000.0,478000000.0,,,,,
138,AWK,"American Water Works Company, Inc.",2023-09-30,10-K,2025-02-19,,,323000000.0,478000000.0,,,,,
135,AWK,"American Water Works Company, Inc.",2023-06-30,10-K,2024-02-14,,,280000000.0,432000000.0,,,,,
136,AWK,"American Water Works Company, Inc.",2023-06-30,10-K,2025-02-19,,,280000000.0,432000000.0,,,,,
133,AWK,"American Water Works Company, Inc.",2023-03-31,10-K,2024-02-14,,,170000000.0,295000000.0,,,,,
134,AWK,"American Water Works Company, Inc.",2023-03-31,10-K,2025-02-19,,,170000000.0,295000000.0,,,,,
129,AWK,"American Water Works Company, Inc.",2022-12-31,10-K,2023-02-15,85000000.0,,147000000.0,261000000.0,,3763000000.0,,7693000000.0,27787000000.0
130,AWK,"American Water Works Company, Inc.",2022-12-31,10-K,2024-02-14,85000000.0,,147000000.0,261000000.0,,3763000000.0,,7693000000.0,27787000000.0
131,AWK,"American Water Works Company, Inc.",2022-12-31,10-K,2025-02-19,,,820000000.0,1273000000.0,,3763000000.0,,7693000000.0,27787000000.0
132,AWK,"American Water Works Company, Inc.",2022-12-31,10-K,2026-02-18,,,,,,,,7693000000.0,
