,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
136,CLX,THE CLOROX COMPANY,2025-06-30,10-K,2025-08-08,167000000.0,2484000000.0,810000000.0,,7104000000.0,122694263.0,321000000.0,5561000000.0,5079000000.0
134,CLX,THE CLOROX COMPANY,2024-06-30,10-K,2024-08-08,202000000.0,2481000000.0,280000000.0,,7093000000.0,124201807.0,328000000.0,5751000000.0,5259000000.0
135,CLX,THE CLOROX COMPANY,2024-06-30,10-K,2025-08-08,202000000.0,2481000000.0,280000000.0,,7093000000.0,124201807.0,328000000.0,5751000000.0,5259000000.0
131,CLX,THE CLOROX COMPANY,2023-06-30,10-K,2023-08-10,367000000.0,2477000000.0,149000000.0,,7389000000.0,123820022.0,220000000.0,5945000000.0,5557000000.0
132,CLX,THE CLOROX COMPANY,2023-06-30,10-K,2024-08-08,367000000.0,2477000000.0,149000000.0,,7389000000.0,123820022.0,220000000.0,5945000000.0,5557000000.0
133,CLX,THE CLOROX COMPANY,2023-06-30,10-K,2025-08-08,,,149000000.0,,7389000000.0,,,,
128,CLX,THE CLOROX COMPANY,2022-06-30,10-K,2022-08-10,183000000.0,2474000000.0,462000000.0,,7107000000.0,123152132.0,556000000.0,6158000000.0,5429000000.0
129,CLX,THE CLOROX COMPANY,2022-06-30,10-K,2023-08-10,183000000.0,2474000000.0,462000000.0,,7107000000.0,123152132.0,556000000.0,6158000000.0,5429000000.0
130,CLX,THE CLOROX COMPANY,2022-06-30,10-K,2024-08-08,,,462000000.0,,7107000000.0,,,,
125,CLX,THE CLOROX COMPANY,2021-06-30,10-K,2021-08-10,319000000.0,2784000000.0,97000000.0,,1802000000.0,122780220.0,411000000.0,6334000000.0,5742000000.0
126,CLX,THE CLOROX COMPANY,2021-06-30,10-K,2022-08-10,319000000.0,2784000000.0,710000000.0,,7341000000.0,122780220.0,411000000.0,6334000000.0,5742000000.0
127,CLX,THE CLOROX COMPANY,2021-06-30,10-K,2023-08-10,,,710000000.0,,7341000000.0,,,,
124,CLX,THE CLOROX COMPANY,2021-03-31,10-K,2021-08-10,,,-61000000.0,,1781000000.0,,,,
123,CLX,THE CLOROX COMPANY,2020-12-31,10-K,2021-08-10,,,259000000.0,,1842000000.0,,,,
122,CLX,THE CLOROX COMPANY,2020-09-30,10-K,2021-08-10,,,415000000.0,,1916000000.0,,,,
119,CLX,THE CLOROX COMPANY,2020-06-30,10-K,2020-08-13,871000000.0,2780000000.0,310000000.0,,1983000000.0,126198606.0,908000000.0,6213000000.0,5305000000.0
120,CLX,THE CLOROX COMPANY,2020-06-30,10-K,2021-08-10,871000000.0,2780000000.0,310000000.0,,1983000000.0,126198606.0,908000000.0,6213000000.0,5305000000.0
121,CLX,THE CLOROX COMPANY,2020-06-30,10-K,2022-08-10,,,939000000.0,,6721000000.0,,,,
117,CLX,THE CLOROX COMPANY,2020-03-31,10-K,2020-08-13,,,241000000.0,,1783000000.0,,,,
118,CLX,THE CLOROX COMPANY,2020-03-31,10-K,2021-08-10,,,241000000.0,,1783000000.0,,,,
115,CLX,THE CLOROX COMPANY,2019-12-31,10-K,2020-08-13,,,185000000.0,,1449000000.0,,,,
116,CLX,THE CLOROX COMPANY,2019-12-31,10-K,2021-08-10,,,185000000.0,,1449000000.0,,,,
113,CLX,THE CLOROX COMPANY,2019-09-30,10-K,2020-08-13,,,203000000.0,,1506000000.0,,,,
114,CLX,THE CLOROX COMPANY,2019-09-30,10-K,2021-08-10,,,203000000.0,,1506000000.0,,,,
110,CLX,THE CLOROX COMPANY,2019-06-30,10-K,2019-08-14,111000000.0,2287000000.0,241000000.0,,1627000000.0,125686325.0,559000000.0,5116000000.0,4557000000.0
111,CLX,THE CLOROX COMPANY,2019-06-30,10-K,2020-08-13,111000000.0,2287000000.0,241000000.0,,1627000000.0,125686325.0,559000000.0,5116000000.0,4557000000.0
