,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
96,AOS,A. O. Smith Corporation,2025-12-31,10-K,2026-02-10,174500000.0,155000000.0,546200000.0,728600000.0,3830200000.0,1858000000.0,3142800000.0,1284800000.0
95,AOS,A. O. Smith Corporation,2024-12-31,10-K,2026-02-10,239600000.0,193200000.0,533600000.0,707700000.0,3818100000.0,1883500000.0,3240000000.0,1356500000.0
93,AOS,A. O. Smith Corporation,2023-12-31,10-K,2024-02-13,339900000.0,127300000.0,556600000.0,809600000.0,3852800000.0,1844400000.0,3213900000.0,1369500000.0
94,AOS,A. O. Smith Corporation,2023-12-31,10-K,2026-02-10,,,556600000.0,745500000.0,3852800000.0,1844400000.0,3213900000.0,
91,AOS,A. O. Smith Corporation,2022-12-31,10-K,2023-02-14,391200000.0,344500000.0,235700000.0,362000000.0,3753900000.0,1747700000.0,3332300000.0,1584600000.0
92,AOS,A. O. Smith Corporation,2022-12-31,10-K,2024-02-13,391200000.0,344500000.0,235700000.0,362000000.0,3753900000.0,1747700000.0,3332300000.0,1584600000.0
88,AOS,A. O. Smith Corporation,2021-12-31,10-K,2022-02-11,443300000.0,196700000.0,487100000.0,682000000.0,3538900000.0,1832200000.0,3474400000.0,1642200000.0
89,AOS,A. O. Smith Corporation,2021-12-31,10-K,2023-02-14,443300000.0,196700000.0,487100000.0,682000000.0,3538900000.0,1832200000.0,3474400000.0,1642200000.0
90,AOS,A. O. Smith Corporation,2021-12-31,10-K,2024-02-13,,,487100000.0,682000000.0,3538900000.0,1832200000.0,3474400000.0,
85,AOS,A. O. Smith Corporation,2020-12-31,10-K,2021-02-12,573100000.0,113200000.0,120000000.0,503200000.0,834500000.0,1848300000.0,3160700000.0,1312400000.0
86,AOS,A. O. Smith Corporation,2020-12-31,10-K,2022-02-11,573100000.0,113200000.0,344900000.0,503200000.0,2895300000.0,1848300000.0,3160700000.0,1312400000.0
87,AOS,A. O. Smith Corporation,2020-12-31,10-K,2023-02-14,,,344900000.0,503200000.0,2895300000.0,1848300000.0,3160700000.0,
84,AOS,A. O. Smith Corporation,2020-09-30,10-K,2021-02-12,,,105400000.0,,760000000.0,,,
83,AOS,A. O. Smith Corporation,2020-06-30,10-K,2021-02-12,,,67800000.0,,663900000.0,,,
82,AOS,A. O. Smith Corporation,2020-03-31,10-K,2021-02-12,,,51700000.0,,636900000.0,,,
79,AOS,A. O. Smith Corporation,2019-12-31,10-K,2020-02-24,374000000.0,284000000.0,91300000.0,529100000.0,750900000.0,1666800000.0,3058000000.0,1391200000.0
