,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,stockholders_equity,total_assets
26,BG,BUNGE GLOBAL SA,2025-12-31,10-K,2026-02-19,1135000000.0,10168000000.0,95000000.0,23762000000.0,16944000000.0,15904000000.0,44528000000.0
25,BG,BUNGE GLOBAL SA,2025-09-30,10-K,2026-02-19,,,166000000.0,22155000000.0,,,
24,BG,BUNGE GLOBAL SA,2025-06-30,10-K,2026-02-19,,,354000000.0,12769000000.0,,,
23,BG,BUNGE GLOBAL SA,2025-03-31,10-K,2026-02-19,,,201000000.0,11643000000.0,,,
21,BG,BUNGE GLOBAL SA,2024-12-31,10-K,2025-02-20,3311000000.0,5363000000.0,602000000.0,13542000000.0,15550000000.0,9913000000.0,24899000000.0
22,BG,BUNGE GLOBAL SA,2024-12-31,10-K,2026-02-19,3311000000.0,5363000000.0,602000000.0,13542000000.0,15550000000.0,9913000000.0,24899000000.0
19,BG,BUNGE GLOBAL SA,2024-09-30,10-K,2025-02-20,,,221000000.0,12908000000.0,,,
20,BG,BUNGE GLOBAL SA,2024-09-30,10-K,2026-02-19,,,221000000.0,12908000000.0,,,
17,BG,BUNGE GLOBAL SA,2024-06-30,10-K,2025-02-20,,,70000000.0,13241000000.0,,,
18,BG,BUNGE GLOBAL SA,2024-06-30,10-K,2026-02-19,,,70000000.0,13241000000.0,,,
15,BG,BUNGE GLOBAL SA,2024-03-31,10-K,2025-02-20,,,244000000.0,13417000000.0,,,
16,BG,BUNGE GLOBAL SA,2024-03-31,10-K,2026-02-19,,,244000000.0,13417000000.0,,,
12,BG,BUNGE GLOBAL SA,2023-12-31,10-K,2024-02-22,2602000000.0,4085000000.0,616000000.0,14936000000.0,17831000000.0,10851000000.0,25372000000.0
13,BG,BUNGE GLOBAL SA,2023-12-31,10-K,2025-02-20,2602000000.0,4085000000.0,616000000.0,14936000000.0,17831000000.0,10851000000.0,25372000000.0
14,BG,BUNGE GLOBAL SA,2023-12-31,10-K,2026-02-19,2602000000.0,,2243000000.0,59540000000.0,17831000000.0,,25372000000.0
10,BG,BUNGE GLOBAL SA,2023-09-30,10-K,2024-02-22,,,373000000.0,14227000000.0,,,
11,BG,BUNGE GLOBAL SA,2023-09-30,10-K,2025-02-20,,,373000000.0,14227000000.0,,,
8,BG,BUNGE GLOBAL SA,2023-06-30,10-K,2024-02-22,,,622000000.0,15049000000.0,,,
9,BG,BUNGE GLOBAL SA,2023-06-30,10-K,2025-02-20,,,622000000.0,15049000000.0,,,
6,BG,BUNGE GLOBAL SA,2023-03-31,10-K,2024-02-22,,,632000000.0,15328000000.0,,,
7,BG,BUNGE GLOBAL SA,2023-03-31,10-K,2025-02-20,,,632000000.0,15328000000.0,,,
4,BG,BUNGE GLOBAL SA,2022-12-31,10-K,2024-02-22,1104000000.0,4105000000.0,336000000.0,16660000000.0,21074000000.0,9224000000.0,24580000000.0
5,BG,BUNGE GLOBAL SA,2022-12-31,10-K,2025-02-20,1104000000.0,,1610000000.0,67232000000.0,21074000000.0,,24580000000.0
3,BG,BUNGE GLOBAL SA,2022-09-30,10-K,2024-02-22,,,380000000.0,16759000000.0,,,
2,BG,BUNGE GLOBAL SA,2022-06-30,10-K,2024-02-22,,,206000000.0,17933000000.0,,,
1,BG,BUNGE GLOBAL SA,2022-03-31,10-K,2024-02-22,,,688000000.0,15880000000.0,,,
0,BG,BUNGE GLOBAL SA,2021-12-31,10-K,2024-02-22,902000000.0,,2078000000.0,59152000000.0,16811000000.0,,23819000000.0
