,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
133,AMGN,AMGEN INC,2025-12-31,10-K,2026-02-13,9129000000.0,54604000000.0,7711000000.0,9080000000.0,,36751000000.0,538800000.0,8658000000.0,90586000000.0
131,AMGN,AMGEN INC,2024-12-31,10-K,2025-02-14,11973000000.0,60099000000.0,4090000000.0,7258000000.0,,33424000000.0,536900000.0,5877000000.0,91839000000.0
132,AMGN,AMGEN INC,2024-12-31,10-K,2026-02-13,11973000000.0,60099000000.0,4090000000.0,7258000000.0,,33424000000.0,536900000.0,5877000000.0,91839000000.0
128,AMGN,AMGEN INC,2023-12-31,10-K,2024-02-14,10944000000.0,64613000000.0,6717000000.0,7897000000.0,,28190000000.0,535400000.0,6232000000.0,97154000000.0
129,AMGN,AMGEN INC,2023-12-31,10-K,2025-02-14,10944000000.0,64613000000.0,6717000000.0,7897000000.0,,28190000000.0,535400000.0,6232000000.0,97154000000.0
130,AMGN,AMGEN INC,2023-12-31,10-K,2026-02-13,,,6717000000.0,7897000000.0,,28190000000.0,,6232000000.0,
124,AMGN,AMGEN INC,2022-12-31,10-K,2023-02-09,7629000000.0,38945000000.0,6552000000.0,9566000000.0,,26323000000.0,534000000.0,3661000000.0,65121000000.0
125,AMGN,AMGEN INC,2022-12-31,10-K,2024-02-14,7629000000.0,38945000000.0,6552000000.0,9566000000.0,,26323000000.0,534000000.0,3661000000.0,65121000000.0
126,AMGN,AMGEN INC,2022-12-31,10-K,2025-02-14,,,6552000000.0,9566000000.0,,26323000000.0,,3661000000.0,
127,AMGN,AMGEN INC,2022-12-31,10-K,2026-02-13,,,,,,,,3661000000.0,
120,AMGN,AMGEN INC,2021-12-31,10-K,2022-02-16,7989000000.0,33309000000.0,5893000000.0,7639000000.0,,25979000000.0,558300000.0,6700000000.0,61165000000.0
121,AMGN,AMGEN INC,2021-12-31,10-K,2023-02-09,7989000000.0,33309000000.0,5893000000.0,7639000000.0,,25979000000.0,558300000.0,6700000000.0,61165000000.0
122,AMGN,AMGEN INC,2021-12-31,10-K,2024-02-14,,,5893000000.0,7639000000.0,,25979000000.0,,6700000000.0,
123,AMGN,AMGEN INC,2021-12-31,10-K,2025-02-14,,,,,,,,6700000000.0,
116,AMGN,AMGEN INC,2020-12-31,10-K,2021-02-09,6266000000.0,32986000000.0,1615000000.0,9139000000.0,25424000000.0,,578300000.0,9409000000.0,62948000000.0
117,AMGN,AMGEN INC,2020-12-31,10-K,2022-02-16,6266000000.0,32986000000.0,7264000000.0,9139000000.0,,25424000000.0,578300000.0,9409000000.0,62948000000.0
118,AMGN,AMGEN INC,2020-12-31,10-K,2023-02-09,,,7264000000.0,9139000000.0,,25424000000.0,,9409000000.0,
119,AMGN,AMGEN INC,2020-12-31,10-K,2024-02-14,,,,,,,,9409000000.0,
