,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
114,AXON,"Axon Enterprise, Inc.",2025-12-31,10-K,2026-02-25,1201147000.0,1810722000.0,124656000.0,-62076000.0,2779536000.0,80211537.0,3242658000.0,7000313000.0,3757655000.0
112,AXON,"Axon Enterprise, Inc.",2024-12-31,10-K,2025-02-28,454844000.0,,377034000.0,58540000.0,2082526000.0,76619331.0,2327665000.0,4474588000.0,2146923000.0
113,AXON,"Axon Enterprise, Inc.",2024-12-31,10-K,2026-02-25,454844000.0,680289000.0,377034000.0,58540000.0,2082526000.0,76619331.0,2327665000.0,4474588000.0,2146923000.0
111,AXON,"Axon Enterprise, Inc.",2024-06-30,10-K,2025-02-28,,,41473000.0,33758000.0,503236000.0,,,,
110,AXON,"Axon Enterprise, Inc.",2024-03-31,10-K,2025-02-28,,,133352000.0,16456000.0,459871000.0,,,,
107,AXON,"Axon Enterprise, Inc.",2023-12-31,10-K,2024-02-27,598545000.0,,174227000.0,154789000.0,1563391000.0,75301424.0,1612034000.0,3436845000.0,1824811000.0
108,AXON,"Axon Enterprise, Inc.",2023-12-31,10-K,2025-02-28,598545000.0,,57061000.0,42747000.0,430376000.0,75301424.0,1615765000.0,3409174000.0,1793409000.0
109,AXON,"Axon Enterprise, Inc.",2023-12-31,10-K,2026-02-25,598545000.0,,175783000.0,156850000.0,1560699000.0,,1615765000.0,,
106,AXON,"Axon Enterprise, Inc.",2023-09-30,10-K,2025-02-28,,,61309000.0,57419000.0,413278000.0,,,,
105,AXON,"Axon Enterprise, Inc.",2023-06-30,10-K,2025-02-28,,,11514000.0,39093000.0,372704000.0,,,,
104,AXON,"Axon Enterprise, Inc.",2023-03-31,10-K,2025-02-28,,,45899000.0,17591000.0,344341000.0,,,,
100,AXON,"Axon Enterprise, Inc.",2022-12-31,10-K,2023-02-28,353684000.0,,147139000.0,93253000.0,1189935000.0,71474581.0,1268491000.0,2851894000.0,1583403000.0
101,AXON,"Axon Enterprise, Inc.",2022-12-31,10-K,2024-02-27,353684000.0,,147139000.0,93253000.0,1189935000.0,71474581.0,1268491000.0,2851894000.0,1583403000.0
102,AXON,"Axon Enterprise, Inc.",2022-12-31,10-K,2025-02-28,353684000.0,,146930000.0,92973000.0,1187143000.0,,1270666000.0,,
103,AXON,"Axon Enterprise, Inc.",2022-12-31,10-K,2026-02-25,,,,,,,1270666000.0,,
96,AXON,"Axon Enterprise, Inc.",2021-12-31,10-K,2022-02-25,356332000.0,,-60018000.0,-168123000.0,863381000.0,70896856.0,1047849000.0,1688210000.0,640361000.0
97,AXON,"Axon Enterprise, Inc.",2021-12-31,10-K,2023-02-28,356332000.0,,-60018000.0,-168123000.0,863381000.0,70896856.0,1047849000.0,1688210000.0,640361000.0
98,AXON,"Axon Enterprise, Inc.",2021-12-31,10-K,2024-02-27,356332000.0,,-60018000.0,-168123000.0,863381000.0,,1047849000.0,,
99,AXON,"Axon Enterprise, Inc.",2021-12-31,10-K,2025-02-28,,,,,,,1050233000.0,,
92,AXON,"Axon Enterprise, Inc.",2020-12-31,10-K,2021-02-26,155440000.0,,-1724000.0,-14150000.0,681003000.0,63766555.0,976255000.0,1381023000.0,404768000.0
93,AXON,"Axon Enterprise, Inc.",2020-12-31,10-K,2022-02-25,155440000.0,,-1724000.0,-14150000.0,681003000.0,63766555.0,976255000.0,1381023000.0,404768000.0
94,AXON,"Axon Enterprise, Inc.",2020-12-31,10-K,2023-02-28,155440000.0,,-1724000.0,-14150000.0,681003000.0,,976255000.0,,
95,AXON,"Axon Enterprise, Inc.",2020-12-31,10-K,2024-02-27,,,,,,,976255000.0,,
88,AXON,"Axon Enterprise, Inc.",2019-12-31,10-K,2020-02-28,172250000.0,,-12379000.0,-6394000.0,171851000.0,59497759.0,543495000.0,845639000.0,302144000.0
89,AXON,"Axon Enterprise, Inc.",2019-12-31,10-K,2021-02-26,172250000.0,,882000.0,-6394000.0,530860000.0,59497759.0,543495000.0,845639000.0,302144000.0
90,AXON,"Axon Enterprise, Inc.",2019-12-31,10-K,2022-02-25,172250000.0,,882000.0,-6394000.0,530860000.0,,543495000.0,,
91,AXON,"Axon Enterprise, Inc.",2019-12-31,10-K,2023-02-28,,,,,,,543495000.0,,
87,AXON,"Axon Enterprise, Inc.",2019-09-30,10-K,2020-02-28,,,6104000.0,,130837000.0,,,,
86,AXON,"Axon Enterprise, Inc.",2019-06-30,10-K,2020-02-28,,,738000.0,,112362000.0,,,,
85,AXON,"Axon Enterprise, Inc.",2019-03-31,10-K,2020-02-28,,,6419000.0,,115810000.0,,,,
84,AXON,"Axon Enterprise, Inc.",2019-01-01,10-K,2020-02-28,,,,,,,,732023000.0,264699000.0
80,AXON,"Axon Enterprise, Inc.",2018-12-31,10-K,2019-02-27,349462000.0,,2083000.0,24841000.0,114791000.0,58810637.0,467324000.0,719540000.0,252216000.0
81,AXON,"Axon Enterprise, Inc.",2018-12-31,10-K,2020-02-28,349462000.0,,2083000.0,24841000.0,114791000.0,58810637.0,467324000.0,719540000.0,252216000.0
