,ticker,company,end_date,form,filed,long_term_debt,net_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
146,ALL,ALLSTATE CORP,2025-12-31,10-K,2026-02-20,7490000000.0,10282000000.0,17345000000.0,260000000.0,30610000000.0,119758000000.0,89169000000.0
145,ALL,ALLSTATE CORP,2025-09-30,10-K,2026-02-20,,,17255000000.0,,,,
144,ALL,ALLSTATE CORP,2025-06-30,10-K,2026-02-20,,,16633000000.0,,,,
143,ALL,ALLSTATE CORP,2025-03-31,10-K,2026-02-20,,,16452000000.0,,,,
141,ALL,ALLSTATE CORP,2024-12-31,10-K,2025-02-24,8085000000.0,4667000000.0,16506000000.0,265000000.0,21442000000.0,111617000000.0,90250000000.0
142,ALL,ALLSTATE CORP,2024-12-31,10-K,2026-02-20,8085000000.0,4667000000.0,16506000000.0,265000000.0,21442000000.0,111617000000.0,90250000000.0
139,ALL,ALLSTATE CORP,2024-09-30,10-K,2025-02-24,,,16627000000.0,,,,
140,ALL,ALLSTATE CORP,2024-09-30,10-K,2026-02-20,,,16627000000.0,,,,
137,ALL,ALLSTATE CORP,2024-06-30,10-K,2025-02-24,,,15714000000.0,,,,
138,ALL,ALLSTATE CORP,2024-06-30,10-K,2026-02-20,,,15714000000.0,,,,
135,ALL,ALLSTATE CORP,2024-03-31,10-K,2025-02-24,,,15259000000.0,,,,
136,ALL,ALLSTATE CORP,2024-03-31,10-K,2026-02-20,,,15259000000.0,,,,
132,ALL,ALLSTATE CORP,2023-12-31,10-K,2024-02-21,7942000000.0,-188000000.0,14832000000.0,262000000.0,17770000000.0,103362000000.0,85732000000.0
133,ALL,ALLSTATE CORP,2023-12-31,10-K,2025-02-24,7942000000.0,-188000000.0,14832000000.0,262000000.0,17770000000.0,103362000000.0,85732000000.0
134,ALL,ALLSTATE CORP,2023-12-31,10-K,2026-02-20,,-188000000.0,57094000000.0,,17770000000.0,,
130,ALL,ALLSTATE CORP,2023-09-30,10-K,2024-02-21,,,14497000000.0,,,,
131,ALL,ALLSTATE CORP,2023-09-30,10-K,2025-02-24,,,14497000000.0,,,,
128,ALL,ALLSTATE CORP,2023-06-30,10-K,2024-02-21,,,13979000000.0,,,,
129,ALL,ALLSTATE CORP,2023-06-30,10-K,2025-02-24,,,13979000000.0,,,,
126,ALL,ALLSTATE CORP,2023-03-31,10-K,2024-02-21,,,13786000000.0,,,,
127,ALL,ALLSTATE CORP,2023-03-31,10-K,2025-02-24,,,13786000000.0,,,,
123,ALL,ALLSTATE CORP,2022-12-31,10-K,2023-02-16,7964000000.0,-1311000000.0,13647000000.0,263000000.0,17475000000.0,97957000000.0,80607000000.0
124,ALL,ALLSTATE CORP,2022-12-31,10-K,2024-02-21,7964000000.0,-1289000000.0,13648000000.0,263000000.0,17488000000.0,97989000000.0,80626000000.0
125,ALL,ALLSTATE CORP,2022-12-31,10-K,2025-02-24,,-1289000000.0,51411000000.0,,,,
121,ALL,ALLSTATE CORP,2022-09-30,10-K,2023-02-16,,,13208000000.0,,,,
122,ALL,ALLSTATE CORP,2022-09-30,10-K,2024-02-21,,,13208000000.0,,,,
119,ALL,ALLSTATE CORP,2022-06-30,10-K,2023-02-16,,,12220000000.0,,,,
120,ALL,ALLSTATE CORP,2022-06-30,10-K,2024-02-21,,,12219000000.0,,,,
117,ALL,ALLSTATE CORP,2022-03-31,10-K,2023-02-16,,,12337000000.0,,,,
118,ALL,ALLSTATE CORP,2022-03-31,10-K,2024-02-21,,,12336000000.0,,,,
114,ALL,ALLSTATE CORP,2021-12-31,10-K,2022-02-18,7976000000.0,1599000000.0,13011000000.0,281000000.0,25179000000.0,99440000000.0,74313000000.0
115,ALL,ALLSTATE CORP,2021-12-31,10-K,2023-02-16,7976000000.0,1599000000.0,13011000000.0,281000000.0,25179000000.0,99440000000.0,74313000000.0
116,ALL,ALLSTATE CORP,2021-12-31,10-K,2024-02-21,,1614000000.0,50601000000.0,,24944000000.0,,
112,ALL,ALLSTATE CORP,2021-09-30,10-K,2022-02-18,,,12480000000.0,,,,
113,ALL,ALLSTATE CORP,2021-09-30,10-K,2023-02-16,,,12480000000.0,,,,
110,ALL,ALLSTATE CORP,2021-06-30,10-K,2022-02-18,,,12646000000.0,,,,
111,ALL,ALLSTATE CORP,2021-06-30,10-K,2023-02-16,,,12646000000.0,,,,
108,ALL,ALLSTATE CORP,2021-03-31,10-K,2022-02-18,,,12451000000.0,,,,
109,ALL,ALLSTATE CORP,2021-03-31,10-K,2023-02-16,,,12451000000.0,,,,
105,ALL,ALLSTATE CORP,2020-12-31,10-K,2021-02-22,7825000000.0,5576000000.0,12018000000.0,304000000.0,30217000000.0,125987000000.0,95770000000.0
106,ALL,ALLSTATE CORP,2020-12-31,10-K,2022-02-18,7825000000.0,5576000000.0,10962000000.0,304000000.0,30217000000.0,125987000000.0,95770000000.0
107,ALL,ALLSTATE CORP,2020-12-31,10-K,2023-02-16,,5576000000.0,41909000000.0,,30217000000.0,,
103,ALL,ALLSTATE CORP,2020-09-30,10-K,2021-02-22,,,11500000000.0,,,,
104,ALL,ALLSTATE CORP,2020-09-30,10-K,2022-02-18,,,10678000000.0,,,,
101,ALL,ALLSTATE CORP,2020-06-30,10-K,2021-02-22,,,11197000000.0,,,,
102,ALL,ALLSTATE CORP,2020-06-30,10-K,2022-02-18,,,10403000000.0,,,,
99,ALL,ALLSTATE CORP,2020-03-31,10-K,2021-02-22,,,10076000000.0,,,,
100,ALL,ALLSTATE CORP,2020-03-31,10-K,2022-02-18,,,9866000000.0,,,,
96,ALL,ALLSTATE CORP,2019-12-31,10-K,2020-02-21,6631000000.0,4847000000.0,11472000000.0,319000000.0,25998000000.0,119950000000.0,93952000000.0
97,ALL,ALLSTATE CORP,2019-12-31,10-K,2021-02-22,6631000000.0,4847000000.0,11472000000.0,319000000.0,25998000000.0,119950000000.0,93952000000.0
98,ALL,ALLSTATE CORP,2019-12-31,10-K,2022-02-18,,4847000000.0,41541000000.0,,25998000000.0,,
94,ALL,ALLSTATE CORP,2019-09-30,10-K,2020-02-21,,,11069000000.0,,,,
95,ALL,ALLSTATE CORP,2019-09-30,10-K,2021-02-22,,,11069000000.0,,,,
92,ALL,ALLSTATE CORP,2019-06-30,10-K,2020-02-21,,,11144000000.0,,,,
93,ALL,ALLSTATE CORP,2019-06-30,10-K,2021-02-22,,,11144000000.0,,,,
90,ALL,ALLSTATE CORP,2019-03-31,10-K,2020-02-21,,,10990000000.0,,,,
91,ALL,ALLSTATE CORP,2019-03-31,10-K,2021-02-22,,,10990000000.0,,,,
87,ALL,ALLSTATE CORP,2018-12-31,10-K,2019-02-15,6451000000.0,2252000000.0,9481000000.0,332000000.0,21312000000.0,112249000000.0,90937000000.0
88,ALL,ALLSTATE CORP,2018-12-31,10-K,2020-02-21,6451000000.0,2160000000.0,9481000000.0,332000000.0,21312000000.0,112249000000.0,90937000000.0
89,ALL,ALLSTATE CORP,2018-12-31,10-K,2021-02-22,,2160000000.0,39815000000.0,,21312000000.0,,
