,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
39,AMCR,AMCOR PLC,2025-06-30,10-K,2025-08-15,827000000.0,,-39000000.0,1009000000.0,5082000000.0,15009000000.0,11728000000.0,37066000000.0,25326000000.0
38,AMCR,AMCOR PLC,2025-03-31,10-K,2025-08-15,,,196000000.0,,3333000000.0,,,,
37,AMCR,AMCOR PLC,2024-12-31,10-K,2025-08-15,,,163000000.0,,3241000000.0,,,,
36,AMCR,AMCOR PLC,2024-09-30,10-K,2025-08-15,,,191000000.0,,3353000000.0,,,,
34,AMCR,AMCOR PLC,2024-06-30,10-K,2024-08-16,588000000.0,,730000000.0,1214000000.0,,13640000000.0,3881000000.0,16524000000.0,12571000000.0
35,AMCR,AMCOR PLC,2024-06-30,10-K,2025-08-15,588000000.0,,257000000.0,1214000000.0,3535000000.0,13640000000.0,3881000000.0,16524000000.0,12571000000.0
33,AMCR,AMCOR PLC,2024-03-31,10-K,2025-08-15,,,187000000.0,,3411000000.0,,,,
32,AMCR,AMCOR PLC,2023-12-31,10-K,2025-08-15,,,134000000.0,,3251000000.0,,,,
31,AMCR,AMCOR PLC,2023-09-30,10-K,2025-08-15,,,152000000.0,,3443000000.0,,,,
28,AMCR,AMCOR PLC,2023-06-30,10-K,2023-08-17,689000000.0,,1048000000.0,1508000000.0,,14694000000.0,4026000000.0,17003000000.0,12913000000.0
29,AMCR,AMCOR PLC,2023-06-30,10-K,2024-08-16,689000000.0,,1048000000.0,1508000000.0,,14694000000.0,4026000000.0,17003000000.0,12913000000.0
30,AMCR,AMCOR PLC,2023-06-30,10-K,2025-08-15,,,1048000000.0,1508000000.0,,14694000000.0,,,
25,AMCR,AMCOR PLC,2022-06-30,10-K,2022-08-18,775000000.0,,805000000.0,1239000000.0,,14544000000.0,4082000000.0,17426000000.0,13285000000.0
26,AMCR,AMCOR PLC,2022-06-30,10-K,2023-08-17,775000000.0,,805000000.0,1239000000.0,,14544000000.0,4082000000.0,17426000000.0,13285000000.0
27,AMCR,AMCOR PLC,2022-06-30,10-K,2024-08-16,,,805000000.0,1239000000.0,,14544000000.0,,,
22,AMCR,AMCOR PLC,2021-06-30,10-K,2021-08-24,850000000.0,,939000000.0,1321000000.0,,12861000000.0,4764000000.0,17188000000.0,12367000000.0
23,AMCR,AMCOR PLC,2021-06-30,10-K,2022-08-18,850000000.0,,939000000.0,1321000000.0,,12861000000.0,4764000000.0,17188000000.0,12367000000.0
24,AMCR,AMCOR PLC,2021-06-30,10-K,2023-08-17,,,939000000.0,1321000000.0,,12861000000.0,,,
19,AMCR,AMCOR PLC,2020-06-30,10-K,2020-08-27,742600000.0,,179100000.0,994000000.0,3142700000.0,12467500000.0,4625900000.0,16442100000.0,11755000000.0
20,AMCR,AMCOR PLC,2020-06-30,10-K,2021-08-24,743000000.0,,612000000.0,994000000.0,,12468000000.0,4626000000.0,16442000000.0,11755000000.0
21,AMCR,AMCOR PLC,2020-06-30,10-K,2022-08-18,,,612000000.0,994000000.0,,12468000000.0,,,
18,AMCR,AMCOR PLC,2020-03-31,10-K,2020-08-27,,,181500000.0,,3141000000.0,,,,
17,AMCR,AMCOR PLC,2019-12-31,10-K,2020-08-27,,,185600000.0,,3043100000.0,,,,
16,AMCR,AMCOR PLC,2019-09-30,10-K,2020-08-27,,,66000000.0,,3140700000.0,,,,
13,AMCR,AMCOR PLC,2019-06-30,10-K,2019-09-03,601600000.0,5314400000.0,80600000.0,791700000.0,2596300000.0,,5609000000.0,17165000000.0,11490300000.0
14,AMCR,AMCOR PLC,2019-06-30,10-K,2020-08-27,601600000.0,,80600000.0,791700000.0,2600500000.0,9458200000.0,5609000000.0,17165000000.0,11490300000.0
15,AMCR,AMCOR PLC,2019-06-30,10-K,2021-08-24,,,430000000.0,792000000.0,,9458000000.0,,,
11,AMCR,AMCOR PLC,2019-03-31,10-K,2019-09-03,,,112600000.0,,2312300000.0,,,,
12,AMCR,AMCOR PLC,2019-03-31,10-K,2020-08-27,,,112600000.0,,2309900000.0,,,,
9,AMCR,AMCOR PLC,2018-12-31,10-K,2019-09-03,,,138600000.0,,2287200000.0,,,,
10,AMCR,AMCOR PLC,2018-12-31,10-K,2020-08-27,,,138600000.0,,2285400000.0,,,,
7,AMCR,AMCOR PLC,2018-09-30,10-K,2019-09-03,,,98400000.0,,2262400000.0,,,,
8,AMCR,AMCOR PLC,2018-09-30,10-K,2020-08-27,,,98400000.0,,2262400000.0,,,,
5,AMCR,AMCOR PLC,2018-06-30,10-K,2019-09-03,620800000.0,3674500000.0,230000000.0,993900000.0,2452800000.0,,626600000.0,9057500000.0,8362100000.0
6,AMCR,AMCOR PLC,2018-06-30,10-K,2020-08-27,,,575200000.0,993900000.0,,9319100000.0,,,
4,AMCR,AMCOR PLC,2018-03-31,10-K,2019-09-03,,,69100000.0,,2364100000.0,,,,
3,AMCR,AMCOR PLC,2017-12-31,10-K,2019-09-03,,,145600000.0,,2251100000.0,,,,
2,AMCR,AMCOR PLC,2017-09-30,10-K,2019-09-03,,,130500000.0,,2251100000.0,,,,
1,AMCR,AMCOR PLC,2017-06-30,10-K,2019-09-03,561500000.0,,564000000.0,916100000.0,9101000000.0,,,,
0,AMCR,AMCOR PLC,2016-06-30,10-K,2019-09-03,515700000.0,,,,,,,,
