,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
130,MTCH,"Match Group, Inc.",2025-12-31,10-K,2026-02-26,1027838000.0,3549099000.0,,872529000.0,3487197000.0,3487197000.0,232530646.0,-253504000.0,4460811000.0
128,MTCH,"Match Group, Inc.",2024-12-31,10-K,2025-02-27,965993000.0,3848983000.0,,823312000.0,3479373000.0,3479373000.0,251460397.0,-63659000.0,4465771000.0
129,MTCH,"Match Group, Inc.",2024-12-31,10-K,2026-02-26,965993000.0,3848983000.0,,823312000.0,3479373000.0,3479373000.0,251460397.0,-63659000.0,4465771000.0
125,MTCH,"Match Group, Inc.",2023-12-31,10-K,2024-02-23,862440000.0,3842242000.0,,916896000.0,3364504000.0,3364504000.0,268890470.0,-19548000.0,4507886000.0
126,MTCH,"Match Group, Inc.",2023-12-31,10-K,2025-02-27,862440000.0,3842242000.0,,916896000.0,3364504000.0,3364504000.0,268890470.0,-19548000.0,4507886000.0
127,MTCH,"Match Group, Inc.",2023-12-31,10-K,2026-02-26,862440000.0,,,916896000.0,3364504000.0,3364504000.0,,,
121,MTCH,"Match Group, Inc.",2022-12-31,10-K,2023-02-24,572395000.0,3835726000.0,,515005000.0,3188843000.0,3188843000.0,279625364.0,-359875000.0,4182764000.0
122,MTCH,"Match Group, Inc.",2022-12-31,10-K,2024-02-23,572395000.0,3835726000.0,,515005000.0,3188843000.0,3188843000.0,279625364.0,-359875000.0,4182764000.0
123,MTCH,"Match Group, Inc.",2022-12-31,10-K,2025-02-27,572395000.0,,,515005000.0,3188843000.0,3188843000.0,,,
124,MTCH,"Match Group, Inc.",2022-12-31,10-K,2026-02-26,572395000.0,,,,,,,,
117,MTCH,"Match Group, Inc.",2021-12-31,10-K,2022-02-24,815384000.0,,,231917000.0,806070000.0,2983277000.0,283470334.0,-203769000.0,5063288000.0
118,MTCH,"Match Group, Inc.",2021-12-31,10-K,2023-02-24,815384000.0,3829421000.0,,851679000.0,2983277000.0,2983277000.0,283470334.0,-203769000.0,5063288000.0
119,MTCH,"Match Group, Inc.",2021-12-31,10-K,2024-02-23,815384000.0,,,851679000.0,2983277000.0,2983277000.0,,,
120,MTCH,"Match Group, Inc.",2021-12-31,10-K,2025-02-27,815384000.0,,,,,,,,
116,MTCH,"Match Group, Inc.",2021-09-30,10-K,2022-02-24,,,,220590000.0,801835000.0,,,,
115,MTCH,"Match Group, Inc.",2021-06-30,10-K,2022-02-24,,,,209914000.0,707760000.0,,,,
114,MTCH,"Match Group, Inc.",2021-03-31,10-K,2022-02-24,,,,189258000.0,667612000.0,,,,
113,MTCH,"Match Group, Inc.",2021-01-01,10-K,2022-02-24,,3840930000.0,,,,,,,
109,MTCH,"Match Group, Inc.",2020-12-31,10-K,2021-02-25,739164000.0,3534706000.0,,212582000.0,651407000.0,2391269000.0,,-1177667000.0,2976980000.0
110,MTCH,"Match Group, Inc.",2020-12-31,10-K,2022-02-24,739164000.0,,,212582000.0,651407000.0,2391269000.0,267329284.0,-1414417000.0,3046454000.0
111,MTCH,"Match Group, Inc.",2020-12-31,10-K,2023-02-24,739164000.0,,,745715000.0,2391269000.0,2391269000.0,,,
112,MTCH,"Match Group, Inc.",2020-12-31,10-K,2024-02-23,739164000.0,,,,,,,,
107,MTCH,"Match Group, Inc.",2020-09-30,10-K,2021-02-25,,,,200167000.0,639770000.0,,,,
108,MTCH,"Match Group, Inc.",2020-09-30,10-K,2022-02-24,,,,200167000.0,639770000.0,,,,
105,MTCH,"Match Group, Inc.",2020-06-30,10-K,2021-02-25,,,,195594000.0,555450000.0,,,,
106,MTCH,"Match Group, Inc.",2020-06-30,10-K,2022-02-24,,,,195594000.0,555450000.0,,,,
103,MTCH,"Match Group, Inc.",2020-03-31,10-K,2021-02-25,,,,137372000.0,544642000.0,,,,
