,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets
101,ABT,ABBOTT LABORATORIES,2025-12-31,10-K,2026-02-20,8522000000.0,12929000000.0,6524000000.0,8053000000.0,44328000000.0,52130000000.0,86713000000.0
99,ABT,ABBOTT LABORATORIES,2024-12-31,10-K,2025-02-21,7616000000.0,14125000000.0,13402000000.0,6825000000.0,41950000000.0,47664000000.0,81414000000.0
100,ABT,ABBOTT LABORATORIES,2024-12-31,10-K,2026-02-20,7616000000.0,14125000000.0,13402000000.0,6825000000.0,41950000000.0,47664000000.0,81414000000.0
96,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2024-02-16,6896000000.0,14679000000.0,5723000000.0,6478000000.0,40109000000.0,38603000000.0,73214000000.0
97,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2025-02-21,6896000000.0,14679000000.0,5723000000.0,6478000000.0,40109000000.0,38603000000.0,73214000000.0
98,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2026-02-20,,,5723000000.0,6478000000.0,40109000000.0,,
93,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2023-02-17,9882000000.0,16773000000.0,6933000000.0,8362000000.0,43653000000.0,36686000000.0,74438000000.0
94,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2024-02-16,9882000000.0,16773000000.0,6933000000.0,8362000000.0,43653000000.0,36686000000.0,74438000000.0
95,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2025-02-21,,,6933000000.0,8362000000.0,43653000000.0,,
90,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2022-02-18,9799000000.0,18050000000.0,7071000000.0,8425000000.0,43075000000.0,35802000000.0,75196000000.0
91,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2023-02-17,9799000000.0,18050000000.0,7071000000.0,8425000000.0,43075000000.0,35802000000.0,75196000000.0
92,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2024-02-16,,,7071000000.0,8425000000.0,43075000000.0,,
87,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2021-02-19,6838000000.0,18534000000.0,4495000000.0,5357000000.0,34608000000.0,32784000000.0,72548000000.0
88,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2022-02-18,6838000000.0,18534000000.0,4495000000.0,5357000000.0,34608000000.0,32784000000.0,72548000000.0
89,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2023-02-17,,,4495000000.0,5357000000.0,34608000000.0,,
