,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,stockholders_equity,total_assets,total_liabilities
57,BALL,Ball Corporation,2025-12-31,10-K,2026-02-19,1212000000.0,,,,5421000000.0,19524000000.0,14103000000.0
55,BALL,Ball Corporation,2024-12-31,10-K,2025-02-20,885000000.0,,,,5862000000.0,17628000000.0,11698000000.0
56,BALL,Ball Corporation,2024-12-31,10-K,2026-02-19,885000000.0,,,,5862000000.0,17628000000.0,11698000000.0
52,BALL,Ball Corporation,2023-12-31,10-K,2024-02-20,695000000.0,,,1273000000.0,3769000000.0,19303000000.0,15466000000.0
53,BALL,Ball Corporation,2023-12-31,10-K,2025-02-20,695000000.0,,,,3769000000.0,19303000000.0,15466000000.0
54,BALL,Ball Corporation,2023-12-31,10-K,2026-02-19,695000000.0,,,,,,
49,BALL,Ball Corporation,2022-12-31,10-K,2023-02-21,548000000.0,,,1214000000.0,3461000000.0,19909000000.0,16382000000.0
50,BALL,Ball Corporation,2022-12-31,10-K,2024-02-20,548000000.0,,,1214000000.0,3461000000.0,19909000000.0,16382000000.0
51,BALL,Ball Corporation,2022-12-31,10-K,2025-02-20,548000000.0,,,,,,
46,BALL,Ball Corporation,2021-12-31,10-K,2022-02-16,563000000.0,,,1291000000.0,3627000000.0,19714000000.0,16029000000.0
47,BALL,Ball Corporation,2021-12-31,10-K,2023-02-21,563000000.0,,,1291000000.0,3627000000.0,19714000000.0,16029000000.0
48,BALL,Ball Corporation,2021-12-31,10-K,2024-02-20,563000000.0,,,1291000000.0,,,
43,BALL,Ball Corporation,2020-12-31,10-K,2021-02-17,1366000000.0,,,1003000000.0,3275000000.0,18252000000.0,14915000000.0
44,BALL,Ball Corporation,2020-12-31,10-K,2022-02-16,1366000000.0,,,1003000000.0,3275000000.0,18252000000.0,14915000000.0
45,BALL,Ball Corporation,2020-12-31,10-K,2023-02-21,1366000000.0,,,1003000000.0,,,
40,BALL,Ball Corporation,2019-12-31,10-K,2020-02-19,1798000000.0,7791000000.0,,932000000.0,2949000000.0,17360000000.0,14341000000.0
41,BALL,Ball Corporation,2019-12-31,10-K,2021-02-17,1798000000.0,,,932000000.0,2949000000.0,17360000000.0,14341000000.0
42,BALL,Ball Corporation,2019-12-31,10-K,2022-02-16,1798000000.0,,,932000000.0,,,
37,BALL,Ball Corporation,2018-12-31,10-K,2019-02-22,721000000.0,6518000000.0,,935000000.0,3458000000.0,16554000000.0,12992000000.0
38,BALL,Ball Corporation,2018-12-31,10-K,2020-02-19,721000000.0,6518000000.0,,935000000.0,3458000000.0,16554000000.0,12992000000.0
39,BALL,Ball Corporation,2018-12-31,10-K,2021-02-17,721000000.0,,,935000000.0,,,
34,BALL,Ball Corporation,2017-12-31,10-K,2018-03-01,448000000.0,6631000000.0,,802000000.0,3941000000.0,17169000000.0,13123000000.0
35,BALL,Ball Corporation,2017-12-31,10-K,2019-02-22,448000000.0,6631000000.0,,802000000.0,3941000000.0,17169000000.0,13123000000.0
36,BALL,Ball Corporation,2017-12-31,10-K,2020-02-19,448000000.0,,,802000000.0,,,
31,BALL,Ball Corporation,2016-12-31,10-K,2017-03-02,597000000.0,7389000000.0,,463000000.0,3435000000.0,16173000000.0,12632000000.0
32,BALL,Ball Corporation,2016-12-31,10-K,2018-03-01,597000000.0,7389000000.0,,463000000.0,3435000000.0,16173000000.0,12632000000.0
33,BALL,Ball Corporation,2016-12-31,10-K,2019-02-22,597000000.0,,,463000000.0,,,
30,BALL,Ball Corporation,2016-09-30,10-K,2017-03-02,,,,132000000.0,,,
29,BALL,Ball Corporation,2016-06-30,10-K,2017-03-02,,,,279000000.0,,,
