,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
119,CMS,CMS ENERGY CORPORATION,2025-12-31,10-K,2026-02-10,509000000.0,,1071000000.0,1727000000.0,8539000000.0,8305000000.0,306400000.0,9144000000.0,39941000000.0
117,CMS,CMS ENERGY CORPORATION,2024-12-31,10-K,2025-02-11,103000000.0,,1003000000.0,1487000000.0,7515000000.0,7320000000.0,298800000.0,8230000000.0,35920000000.0
118,CMS,CMS ENERGY CORPORATION,2024-12-31,10-K,2026-02-10,103000000.0,,1003000000.0,1487000000.0,7515000000.0,7320000000.0,298800000.0,8230000000.0,35920000000.0
114,CMS,CMS ENERGY CORPORATION,2023-12-31,10-K,2024-02-08,227000000.0,,887000000.0,1235000000.0,7462000000.0,7261000000.0,294400000.0,7544000000.0,33517000000.0
115,CMS,CMS ENERGY CORPORATION,2023-12-31,10-K,2025-02-11,227000000.0,,887000000.0,1235000000.0,7462000000.0,7261000000.0,294400000.0,7544000000.0,33517000000.0
116,CMS,CMS ENERGY CORPORATION,2023-12-31,10-K,2026-02-10,,,887000000.0,1235000000.0,7462000000.0,7261000000.0,,,
111,CMS,CMS ENERGY CORPORATION,2022-12-31,10-K,2023-02-09,164000000.0,,837000000.0,1224000000.0,8596000000.0,8320000000.0,291300000.0,7015000000.0,31353000000.0
112,CMS,CMS ENERGY CORPORATION,2022-12-31,10-K,2024-02-08,164000000.0,,837000000.0,1224000000.0,8596000000.0,8320000000.0,291300000.0,7015000000.0,31353000000.0
113,CMS,CMS ENERGY CORPORATION,2022-12-31,10-K,2025-02-11,,,837000000.0,1224000000.0,8596000000.0,8320000000.0,,,
108,CMS,CMS ENERGY CORPORATION,2021-12-31,10-K,2022-02-10,452000000.0,,639000000.0,204000000.0,2033000000.0,7075000000.0,289800000.0,6631000000.0,28753000000.0
109,CMS,CMS ENERGY CORPORATION,2021-12-31,10-K,2023-02-09,452000000.0,,1353000000.0,1146000000.0,7329000000.0,7075000000.0,289800000.0,6631000000.0,28753000000.0
110,CMS,CMS ENERGY CORPORATION,2021-12-31,10-K,2024-02-08,,,1353000000.0,1146000000.0,7329000000.0,7075000000.0,,,28753000000.0
107,CMS,CMS ENERGY CORPORATION,2021-09-30,10-K,2022-02-10,,,189000000.0,260000000.0,1725000000.0,,,,
106,CMS,CMS ENERGY CORPORATION,2021-06-30,10-K,2022-02-10,,,176000000.0,252000000.0,1558000000.0,,,,
105,CMS,CMS ENERGY CORPORATION,2021-03-31,10-K,2022-02-10,,,349000000.0,430000000.0,2013000000.0,,,,
102,CMS,CMS ENERGY CORPORATION,2020-12-31,10-K,2021-02-11,168000000.0,,158000000.0,352000000.0,1798000000.0,6238000000.0,288900000.0,5496000000.0,29666000000.0
103,CMS,CMS ENERGY CORPORATION,2020-12-31,10-K,2022-02-10,32000000.0,,755000000.0,307000000.0,1727000000.0,6238000000.0,288900000.0,5496000000.0,29666000000.0
104,CMS,CMS ENERGY CORPORATION,2020-12-31,10-K,2023-02-09,,,755000000.0,1230000000.0,6418000000.0,6238000000.0,,,29666000000.0
100,CMS,CMS ENERGY CORPORATION,2020-09-30,10-K,2021-02-11,,,218000000.0,369000000.0,1575000000.0,,,,
