,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
117,EQT,EQT CORPORATION,2025-12-31,10-K,2026-02-18,110795000.0,7800328000.0,2039247000.0,3249619000.0,8644211000.0,,23752677000.0,41792874000.0,14432726000.0
115,EQT,EQT CORPORATION,2024-12-31,10-K,2025-02-19,202093000.0,9324177000.0,230577000.0,685296000.0,5273309000.0,,20597628000.0,39830255000.0,15552119000.0
116,EQT,EQT CORPORATION,2024-12-31,10-K,2026-02-18,202093000.0,9324177000.0,230577000.0,685296000.0,5273309000.0,,20597628000.0,39830255000.0,15552119000.0
112,EQT,EQT CORPORATION,2023-12-31,10-K,2024-02-14,80977000.0,5795113000.0,1735232000.0,2314411000.0,6908923000.0,5044768000.0,14773200000.0,25285098000.0,10504281000.0
113,EQT,EQT CORPORATION,2023-12-31,10-K,2025-02-19,80977000.0,5795113000.0,1735232000.0,2314411000.0,6908923000.0,,14773200000.0,25285098000.0,10504281000.0
114,EQT,EQT CORPORATION,2023-12-31,10-K,2026-02-18,,,1735232000.0,2314411000.0,6908923000.0,,,25285098000.0,
109,EQT,EQT CORPORATION,2022-12-31,10-K,2023-02-16,1458644000.0,5678965000.0,1770965000.0,2717997000.0,7497689000.0,12114168000.0,11172474000.0,22669926000.0,11456598000.0
110,EQT,EQT CORPORATION,2022-12-31,10-K,2024-02-14,1458644000.0,5678965000.0,1770965000.0,2717997000.0,7497689000.0,12114168000.0,11172474000.0,22669926000.0,11456598000.0
111,EQT,EQT CORPORATION,2022-12-31,10-K,2025-02-19,,,1770965000.0,2717997000.0,7497689000.0,,,22669926000.0,
106,EQT,EQT CORPORATION,2021-12-31,10-K,2022-02-10,113963000.0,5485002000.0,-1155759000.0,-1360975000.0,3064663000.0,6804020000.0,10029527000.0,21607388000.0,11561625000.0
107,EQT,EQT CORPORATION,2021-12-31,10-K,2023-02-16,113963000.0,5591072000.0,-1142747000.0,-1360975000.0,3064663000.0,6804020000.0,9954763000.0,21607388000.0,11636389000.0
108,EQT,EQT CORPORATION,2021-12-31,10-K,2024-02-14,,,-1142747000.0,-1360975000.0,3064663000.0,6804020000.0,,,
103,EQT,EQT CORPORATION,2020-12-31,10-K,2021-02-17,18210000.0,4925466000.0,-967166000.0,-877666000.0,3058843000.0,2650299000.0,9255240000.0,18113469000.0,8850739000.0
104,EQT,EQT CORPORATION,2020-12-31,10-K,2022-02-10,18210000.0,4925466000.0,-967166000.0,-877666000.0,3058843000.0,2650299000.0,9255240000.0,18113469000.0,8850739000.0
105,EQT,EQT CORPORATION,2020-12-31,10-K,2023-02-16,,,-958799000.0,-877666000.0,3058843000.0,2650299000.0,,,
100,EQT,EQT CORPORATION,2019-12-31,10-K,2020-02-27,4596000.0,4998979000.0,-1176924000.0,-1462067000.0,1011483000.0,3791414000.0,9803588000.0,18809227000.0,9005639000.0
101,EQT,EQT CORPORATION,2019-12-31,10-K,2021-02-17,4596000.0,5292979000.0,-1221695000.0,-1152110000.0,4416484000.0,3791414000.0,9803588000.0,18809227000.0,9005639000.0
102,EQT,EQT CORPORATION,2019-12-31,10-K,2022-02-10,,,-1221695000.0,-1152110000.0,4416484000.0,3791414000.0,,,
99,EQT,EQT CORPORATION,2019-09-30,10-K,2020-02-27,,,-361028000.0,-161529000.0,951576000.0,,,,
98,EQT,EQT CORPORATION,2019-06-30,10-K,2020-02-27,,,125566000.0,296030000.0,1310252000.0,,,,
97,EQT,EQT CORPORATION,2019-03-31,10-K,2020-02-27,,,190691000.0,175456000.0,1143173000.0,,,,
94,EQT,EQT CORPORATION,2018-12-31,10-K,2019-02-14,3487000.0,4697381000.0,-636687000.0,-570691000.0,1245138000.0,4709384000.0,10958229000.0,20721344000.0,9763115000.0
95,EQT,EQT CORPORATION,2018-12-31,10-K,2020-02-27,3487000.0,4697381000.0,-636687000.0,-570691000.0,1245138000.0,4709384000.0,10958229000.0,20721344000.0,9763115000.0
96,EQT,EQT CORPORATION,2018-12-31,10-K,2021-02-17,,,-2244568000.0,-2783124000.0,4557868000.0,4709384000.0,,,
92,EQT,EQT CORPORATION,2018-09-30,10-K,2019-02-14,,,-39693000.0,-147451000.0,1050046000.0,,,,
93,EQT,EQT CORPORATION,2018-09-30,10-K,2020-02-27,,,-39693000.0,-147451000.0,1050046000.0,,,,
90,EQT,EQT CORPORATION,2018-06-30,10-K,2019-02-14,,,17806000.0,-114650000.0,950648000.0,,,,
91,EQT,EQT CORPORATION,2018-06-30,10-K,2020-02-27,,,17806000.0,-114650000.0,950648000.0,,,,
88,EQT,EQT CORPORATION,2018-03-31,10-K,2019-02-14,,,-1585994000.0,-1950332000.0,1312036000.0,,,,
89,EQT,EQT CORPORATION,2018-03-31,10-K,2020-02-27,,,-1585994000.0,-1950332000.0,1312036000.0,,,,
85,EQT,EQT CORPORATION,2017-12-31,10-K,2018-02-15,147315000.0,5570554000.0,1280071000.0,214849000.0,,,13319618000.0,29522604000.0,11107991000.0
86,EQT,EQT CORPORATION,2017-12-31,10-K,2019-02-14,26311000.0,4702329000.0,1280071000.0,97257000.0,1033539000.0,,13319618000.0,29522604000.0,11107991000.0
87,EQT,EQT CORPORATION,2017-12-31,10-K,2020-02-27,,,1508529000.0,382212000.0,3091020000.0,,,,
83,EQT,EQT CORPORATION,2017-09-30,10-K,2018-02-15,,,23340000.0,137694000.0,,,,,
84,EQT,EQT CORPORATION,2017-09-30,10-K,2019-02-14,,,23340000.0,-6380000.0,597718000.0,,,,
81,EQT,EQT CORPORATION,2017-06-30,10-K,2018-02-15,,,41126000.0,189794000.0,,,,,
82,EQT,EQT CORPORATION,2017-06-30,10-K,2019-02-14,,,41126000.0,47763000.0,631101000.0,,,,
79,EQT,EQT CORPORATION,2017-03-31,10-K,2018-02-15,,,163992000.0,390644000.0,,,,,
80,EQT,EQT CORPORATION,2017-03-31,10-K,2019-02-14,,,163992000.0,243572000.0,828662000.0,,,,
76,EQT,EQT CORPORATION,2016-12-31,10-K,2017-02-09,1103540000.0,3289459000.0,-191958000.0,-189466000.0,,,5860281000.0,15472922000.0,6353675000.0
77,EQT,EQT CORPORATION,2016-12-31,10-K,2018-02-15,1103540000.0,3289459000.0,-191958000.0,-189466000.0,,,5860281000.0,15472922000.0,6353675000.0
78,EQT,EQT CORPORATION,2016-12-31,10-K,2019-02-14,,,-452983000.0,-755028000.0,1387054000.0,,,,
74,EQT,EQT CORPORATION,2016-09-30,10-K,2017-02-09,,,-8016000.0,108457000.0,,,,,
75,EQT,EQT CORPORATION,2016-09-30,10-K,2018-02-15,,,-8016000.0,108457000.0,,,,,
72,EQT,EQT CORPORATION,2016-06-30,10-K,2017-02-09,,,-258645000.0,-324492000.0,,,,,
73,EQT,EQT CORPORATION,2016-06-30,10-K,2018-02-15,,,-258645000.0,-324492000.0,,,,,
70,EQT,EQT CORPORATION,2016-03-31,10-K,2017-02-09,,,5636000.0,127201000.0,,,,,
71,EQT,EQT CORPORATION,2016-03-31,10-K,2018-02-15,,,5636000.0,127201000.0,,,,,
67,EQT,EQT CORPORATION,2015-12-31,10-K,2016-02-11,1601232000.0,2793343000.0,-134579000.0,45291000.0,,,5077791000.0,13976172000.0,5948130000.0
68,EQT,EQT CORPORATION,2015-12-31,10-K,2017-02-09,1601232000.0,2793343000.0,-134579000.0,45291000.0,,,5077791000.0,13976172000.0,5948130000.0
69,EQT,EQT CORPORATION,2015-12-31,10-K,2018-02-15,1601232000.0,,85171000.0,563139000.0,,,,13976172000.0,
65,EQT,EQT CORPORATION,2015-09-30,10-K,2016-02-11,,,40787000.0,170055000.0,,,,,
66,EQT,EQT CORPORATION,2015-09-30,10-K,2017-02-09,,,40787000.0,170055000.0,,,,,
63,EQT,EQT CORPORATION,2015-06-30,10-K,2016-02-11,,,5536000.0,33034000.0,,,,,
64,EQT,EQT CORPORATION,2015-06-30,10-K,2017-02-09,,,5536000.0,33034000.0,,,,,
61,EQT,EQT CORPORATION,2015-03-31,10-K,2016-02-11,,,173427000.0,314759000.0,,,,,
62,EQT,EQT CORPORATION,2015-03-31,10-K,2017-02-09,,,173427000.0,314759000.0,,,,,
57,EQT,EQT CORPORATION,2014-12-31,10-K,2015-02-12,1077429000.0,2988900000.0,,40330000.0,,,4582815000.0,12064900000.0,5691837000.0
58,EQT,EQT CORPORATION,2014-12-31,10-K,2016-02-11,1077429000.0,2959353000.0,-14704000.0,40330000.0,,,4582815000.0,12035353000.0,5662290000.0
59,EQT,EQT CORPORATION,2014-12-31,10-K,2017-02-09,1077429000.0,,386965000.0,853395000.0,,,,12035353000.0,
60,EQT,EQT CORPORATION,2014-12-31,10-K,2018-02-15,1077429000.0,,,,,,,,
55,EQT,EQT CORPORATION,2014-09-30,10-K,2015-02-12,,,,231503000.0,,,,,
56,EQT,EQT CORPORATION,2014-09-30,10-K,2016-02-11,,,98555000.0,231503000.0,,,,,
53,EQT,EQT CORPORATION,2014-06-30,10-K,2015-02-12,,,,224771000.0,,,,,
54,EQT,EQT CORPORATION,2014-06-30,10-K,2016-02-11,,,110921000.0,224771000.0,,,,,
51,EQT,EQT CORPORATION,2014-03-31,10-K,2015-02-12,,,,356791000.0,,,,,
52,EQT,EQT CORPORATION,2014-03-31,10-K,2016-02-11,,,192193000.0,356791000.0,,,,,
47,EQT,EQT CORPORATION,2013-12-31,10-K,2014-02-20,845641000.0,2501516000.0,,181081000.0,,,4034788000.0,9792053000.0,4927925000.0
48,EQT,EQT CORPORATION,2013-12-31,10-K,2015-02-12,845641000.0,2501516000.0,,181081000.0,,,4034788000.0,9792053000.0,4927925000.0
49,EQT,EQT CORPORATION,2013-12-31,10-K,2016-02-11,845641000.0,,390572000.0,654604000.0,,,,9765907000.0,
50,EQT,EQT CORPORATION,2013-12-31,10-K,2017-02-09,845641000.0,,,,,,,,
45,EQT,EQT CORPORATION,2013-09-30,10-K,2014-02-20,,,,167064000.0,,,,,
46,EQT,EQT CORPORATION,2013-09-30,10-K,2015-02-12,,,,167064000.0,,,,,
43,EQT,EQT CORPORATION,2013-06-30,10-K,2014-02-20,,,,161980000.0,,,,,
44,EQT,EQT CORPORATION,2013-06-30,10-K,2015-02-12,,,,161980000.0,,,,,
41,EQT,EQT CORPORATION,2013-03-31,10-K,2014-02-20,,,,144479000.0,,,,,
42,EQT,EQT CORPORATION,2013-03-31,10-K,2015-02-12,,,,144479000.0,,,,,
37,EQT,EQT CORPORATION,2012-12-31,10-K,2013-02-21,182055000.0,2526173000.0,,150990000.0,,,3603820000.0,8849862000.0,4961060000.0
38,EQT,EQT CORPORATION,2012-12-31,10-K,2014-02-20,182055000.0,2526173000.0,,126505000.0,,,3603820000.0,8849862000.0,4961060000.0
39,EQT,EQT CORPORATION,2012-12-31,10-K,2015-02-12,182055000.0,,,389629000.0,,,,,
40,EQT,EQT CORPORATION,2012-12-31,10-K,2016-02-11,182055000.0,,,,,,,,
