,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
109,BBY,"BEST BUY CO., INC.",2025-02-01,10-K,2025-03-19,1578000000.0,1154000000.0,927000000.0,1262000000.0,41528000000.0,211400000.0,2808000000.0,14782000000.0
107,BBY,"BEST BUY CO., INC.",2024-02-03,10-K,2024-03-15,1447000000.0,1165000000.0,1241000000.0,1574000000.0,43452000000.0,215400000.0,3053000000.0,14967000000.0
108,BBY,"BEST BUY CO., INC.",2024-02-03,10-K,2025-03-19,1447000000.0,1165000000.0,1241000000.0,1574000000.0,43452000000.0,215400000.0,3053000000.0,14967000000.0
104,BBY,"BEST BUY CO., INC.",2023-01-28,10-K,2023-03-17,1874000000.0,1176000000.0,1419000000.0,1795000000.0,46298000000.0,218100000.0,2795000000.0,15803000000.0
105,BBY,"BEST BUY CO., INC.",2023-01-28,10-K,2024-03-15,1874000000.0,1176000000.0,1419000000.0,1795000000.0,46298000000.0,218100000.0,2795000000.0,15803000000.0
106,BBY,"BEST BUY CO., INC.",2023-01-28,10-K,2025-03-19,1874000000.0,,1419000000.0,1795000000.0,46298000000.0,,,15803000000.0
101,BBY,"BEST BUY CO., INC.",2022-01-29,10-K,2022-03-18,2936000000.0,1229000000.0,2454000000.0,3039000000.0,51761000000.0,227400000.0,3020000000.0,17504000000.0
102,BBY,"BEST BUY CO., INC.",2022-01-29,10-K,2023-03-17,2936000000.0,1229000000.0,2454000000.0,3039000000.0,51761000000.0,227400000.0,3020000000.0,17504000000.0
103,BBY,"BEST BUY CO., INC.",2022-01-29,10-K,2024-03-15,2936000000.0,,2454000000.0,3039000000.0,51761000000.0,,,17504000000.0
98,BBY,"BEST BUY CO., INC.",2021-01-30,10-K,2021-03-19,5494000000.0,1267000000.0,1798000000.0,2391000000.0,47262000000.0,257000000.0,4587000000.0,19067000000.0
99,BBY,"BEST BUY CO., INC.",2021-01-30,10-K,2022-03-18,5494000000.0,1267000000.0,1798000000.0,2391000000.0,47262000000.0,256900000.0,4587000000.0,19067000000.0
100,BBY,"BEST BUY CO., INC.",2021-01-30,10-K,2023-03-17,5494000000.0,,1798000000.0,2391000000.0,47262000000.0,,,19067000000.0
95,BBY,"BEST BUY CO., INC.",2020-02-01,10-K,2020-03-23,2229000000.0,1271000000.0,745000000.0,967000000.0,43638000000.0,256494000.0,3479000000.0,15591000000.0
