,ticker,company,end_date,form,filed,long_term_debt,revenue,revenue_alt,stockholders_equity,total_assets
38,FOX,FOX CORPORATION,2025-06-30,10-K,2025-08-06,6602000000.0,,16300000000.0,11962000000.0,23195000000.0
36,FOX,FOX CORPORATION,2024-06-30,10-K,2024-08-08,7197000000.0,,13980000000.0,10714000000.0,21972000000.0
37,FOX,FOX CORPORATION,2024-06-30,10-K,2025-08-06,7197000000.0,,13980000000.0,10714000000.0,21972000000.0
33,FOX,FOX CORPORATION,2023-06-30,10-K,2023-08-11,7210000000.0,14913000000.0,14913000000.0,10378000000.0,21866000000.0
34,FOX,FOX CORPORATION,2023-06-30,10-K,2024-08-08,7210000000.0,,14913000000.0,10378000000.0,21866000000.0
35,FOX,FOX CORPORATION,2023-06-30,10-K,2025-08-06,,,14913000000.0,,
30,FOX,FOX CORPORATION,2022-06-30,10-K,2022-08-12,7206000000.0,13974000000.0,13974000000.0,11339000000.0,22185000000.0
31,FOX,FOX CORPORATION,2022-06-30,10-K,2023-08-11,7206000000.0,13974000000.0,13974000000.0,11339000000.0,22185000000.0
32,FOX,FOX CORPORATION,2022-06-30,10-K,2024-08-08,,,13974000000.0,,
27,FOX,FOX CORPORATION,2021-06-30,10-K,2021-08-10,7951000000.0,2890000000.0,,11123000000.0,22926000000.0
28,FOX,FOX CORPORATION,2021-06-30,10-K,2022-08-12,7951000000.0,12909000000.0,12909000000.0,11123000000.0,22926000000.0
29,FOX,FOX CORPORATION,2021-06-30,10-K,2023-08-11,,12909000000.0,12909000000.0,,
26,FOX,FOX CORPORATION,2021-03-31,10-K,2021-08-10,,3215000000.0,,,
25,FOX,FOX CORPORATION,2020-12-31,10-K,2021-08-10,,4087000000.0,,,
24,FOX,FOX CORPORATION,2020-09-30,10-K,2021-08-10,,2717000000.0,,,
21,FOX,FOX CORPORATION,2020-06-30,10-K,2020-08-10,7946000000.0,2418000000.0,,10094000000.0,21750000000.0
22,FOX,FOX CORPORATION,2020-06-30,10-K,2021-08-10,7946000000.0,2418000000.0,,10094000000.0,21750000000.0
23,FOX,FOX CORPORATION,2020-06-30,10-K,2022-08-12,,12303000000.0,12303000000.0,,
19,FOX,FOX CORPORATION,2020-03-31,10-K,2020-08-10,,3440000000.0,,,
20,FOX,FOX CORPORATION,2020-03-31,10-K,2021-08-10,,3440000000.0,,,
17,FOX,FOX CORPORATION,2019-12-31,10-K,2020-08-10,,3778000000.0,,,
18,FOX,FOX CORPORATION,2019-12-31,10-K,2021-08-10,,3778000000.0,,,
15,FOX,FOX CORPORATION,2019-09-30,10-K,2020-08-10,,2667000000.0,,,
16,FOX,FOX CORPORATION,2019-09-30,10-K,2021-08-10,,2667000000.0,,,
12,FOX,FOX CORPORATION,2019-06-30,10-K,2019-08-09,6751000000.0,2513000000.0,,9947000000.0,19509000000.0
13,FOX,FOX CORPORATION,2019-06-30,10-K,2020-08-10,6751000000.0,2513000000.0,,9947000000.0,19509000000.0
14,FOX,FOX CORPORATION,2019-06-30,10-K,2021-08-10,,11389000000.0,,,
10,FOX,FOX CORPORATION,2019-03-31,10-K,2019-08-09,,2752000000.0,,,
11,FOX,FOX CORPORATION,2019-03-31,10-K,2020-08-10,,2752000000.0,,,
8,FOX,FOX CORPORATION,2018-12-31,10-K,2019-08-09,,3583000000.0,,,
9,FOX,FOX CORPORATION,2018-12-31,10-K,2020-08-10,,3583000000.0,,,
6,FOX,FOX CORPORATION,2018-09-30,10-K,2019-08-09,,2541000000.0,,,
7,FOX,FOX CORPORATION,2018-09-30,10-K,2020-08-10,,2541000000.0,,,
4,FOX,FOX CORPORATION,2018-06-30,10-K,2019-08-09,0.0,2394000000.0,,9594000000.0,13121000000.0
5,FOX,FOX CORPORATION,2018-06-30,10-K,2020-08-10,,10153000000.0,,,
3,FOX,FOX CORPORATION,2018-03-31,10-K,2019-08-09,,2463000000.0,,,
2,FOX,FOX CORPORATION,2017-12-31,10-K,2019-08-09,,3108000000.0,,,
1,FOX,FOX CORPORATION,2017-09-30,10-K,2019-08-09,,2188000000.0,,,
0,FOX,FOX CORPORATION,2017-06-30,10-K,2019-08-09,,9921000000.0,,,
