,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
113,BLDR,"BUILDERS FIRSTSOURCE, INC.",2025-12-31,10-K,2026-02-17,181753000.0,,435199000.0,786276000.0,15190638000.0,110585000.0,4352251000.0,11237530000.0,6885279000.0
111,BLDR,"BUILDERS FIRSTSOURCE, INC.",2024-12-31,10-K,2025-02-20,153624000.0,,1077898000.0,1595249000.0,16400492000.0,113578000.0,4296470000.0,10583086000.0,6286616000.0
112,BLDR,"BUILDERS FIRSTSOURCE, INC.",2024-12-31,10-K,2026-02-17,153624000.0,,1077898000.0,1595249000.0,16400492000.0,113578000.0,4296470000.0,10583086000.0,6286616000.0
108,BLDR,"BUILDERS FIRSTSOURCE, INC.",2023-12-31,10-K,2024-02-22,66156000.0,,1540555000.0,2176319000.0,17097330000.0,121857000.0,4732351000.0,10499452000.0,5767101000.0
109,BLDR,"BUILDERS FIRSTSOURCE, INC.",2023-12-31,10-K,2025-02-20,66156000.0,,1540555000.0,2176319000.0,17097330000.0,121857000.0,4732351000.0,10499452000.0,5767101000.0
110,BLDR,"BUILDERS FIRSTSOURCE, INC.",2023-12-31,10-K,2026-02-17,,,1540555000.0,2176319000.0,17097330000.0,,4732351000.0,,
104,BLDR,"BUILDERS FIRSTSOURCE, INC.",2022-12-31,10-K,2023-02-28,80445000.0,,2749369000.0,3770206000.0,22726418000.0,138864000.0,4962566000.0,10595160000.0,5632594000.0
105,BLDR,"BUILDERS FIRSTSOURCE, INC.",2022-12-31,10-K,2024-02-22,80445000.0,,2749369000.0,3770206000.0,22726418000.0,138864000.0,4962566000.0,10595160000.0,5632594000.0
106,BLDR,"BUILDERS FIRSTSOURCE, INC.",2022-12-31,10-K,2025-02-20,,,2749369000.0,3770206000.0,22726418000.0,,4962566000.0,,
107,BLDR,"BUILDERS FIRSTSOURCE, INC.",2022-12-31,10-K,2026-02-17,,,,,,,4962566000.0,,
100,BLDR,"BUILDERS FIRSTSOURCE, INC.",2021-12-31,10-K,2022-03-01,42603000.0,,1725416000.0,2387424000.0,19893856000.0,179820000.0,4802481000.0,10714343000.0,5911862000.0
101,BLDR,"BUILDERS FIRSTSOURCE, INC.",2021-12-31,10-K,2023-02-28,42603000.0,,1725416000.0,2387424000.0,19893856000.0,179820000.0,4802481000.0,10714343000.0,5911862000.0
102,BLDR,"BUILDERS FIRSTSOURCE, INC.",2021-12-31,10-K,2024-02-22,,,1725416000.0,2387424000.0,19893856000.0,,4802481000.0,,
103,BLDR,"BUILDERS FIRSTSOURCE, INC.",2021-12-31,10-K,2025-02-20,,,,,,,4802481000.0,,
96,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-12-31,10-K,2021-02-26,423806000.0,,139914000.0,543854000.0,2530760000.0,116829000.0,1152783000.0,4173671000.0,3020888000.0
97,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-12-31,10-K,2022-03-01,423806000.0,,313537000.0,543854000.0,8558874000.0,116829000.0,1152783000.0,4173671000.0,3020888000.0
98,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-12-31,10-K,2023-02-28,,,313537000.0,543854000.0,8558874000.0,,1152783000.0,,
99,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-12-31,10-K,2024-02-22,,,,,,,1152783000.0,,
95,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-09-30,10-K,2021-02-26,,,85932000.0,,2295450000.0,,,,
94,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-06-30,10-K,2021-02-26,,,78924000.0,,1945643000.0,,,,
93,BLDR,"BUILDERS FIRSTSOURCE, INC.",2020-03-31,10-K,2021-02-26,,,8767000.0,,1787021000.0,,,,
89,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-12-31,10-K,2020-02-21,14096000.0,,41367000.0,392306000.0,1763573000.0,116052000.0,824953000.0,3249490000.0,2424537000.0
90,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-12-31,10-K,2021-02-26,14096000.0,,41367000.0,392306000.0,1763573000.0,116052000.0,824953000.0,3249490000.0,2424537000.0
91,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-12-31,10-K,2022-03-01,,,221809000.0,392306000.0,7280431000.0,,824953000.0,,
92,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-12-31,10-K,2023-02-28,,,,,,,824953000.0,,
87,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-09-30,10-K,2020-02-21,,,78130000.0,,1981035000.0,,,,
88,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-09-30,10-K,2021-02-26,,,78130000.0,,1981035000.0,,,,
85,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-06-30,10-K,2020-02-21,,,66604000.0,,1904523000.0,,,,
86,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-06-30,10-K,2021-02-26,,,66604000.0,,1904523000.0,,,,
83,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-03-31,10-K,2020-02-21,,,35708000.0,,1631300000.0,,,,
84,BLDR,"BUILDERS FIRSTSOURCE, INC.",2019-03-31,10-K,2021-02-26,,,35708000.0,,1631300000.0,,,,
79,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-12-31,10-K,2019-03-01,10127000.0,,52021000.0,368968000.0,1815980000.0,115078000.0,596338000.0,2932309000.0,2335971000.0
80,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-12-31,10-K,2020-02-21,10127000.0,,52021000.0,368968000.0,1815980000.0,115078000.0,596338000.0,2932309000.0,2335971000.0
81,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-12-31,10-K,2021-02-26,,,205191000.0,368968000.0,7724771000.0,,596338000.0,,
82,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-12-31,10-K,2022-03-01,,,,,,,596338000.0,,
77,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-09-30,10-K,2019-03-01,,,73328000.0,,2118467000.0,,,,
78,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-09-30,10-K,2020-02-21,,,73328000.0,,2118467000.0,,,,
75,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-06-30,10-K,2019-03-01,,,56622000.0,,2089888000.0,,,,
76,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-06-30,10-K,2020-02-21,,,56622000.0,,2089888000.0,,,,
73,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-03-31,10-K,2019-03-01,,,23220000.0,,1700436000.0,,,,
74,BLDR,"BUILDERS FIRSTSOURCE, INC.",2018-03-31,10-K,2020-02-21,,,23220000.0,,1700436000.0,,,,
69,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-12-31,10-K,2018-03-01,57533000.0,,-42701000.0,285103000.0,,113572000.0,376209000.0,3006124000.0,2629915000.0
70,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-12-31,10-K,2019-03-01,57533000.0,,-42701000.0,285103000.0,1778939000.0,113572000.0,376209000.0,3006124000.0,2629915000.0
71,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-12-31,10-K,2020-02-21,,,38781000.0,285103000.0,7034209000.0,,376209000.0,,
72,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-12-31,10-K,2021-02-26,,,,,,,376209000.0,,
67,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-09-30,10-K,2018-03-01,,,39750000.0,,,,,,
68,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-09-30,10-K,2019-03-01,,,39750000.0,,1878909000.0,,,,
65,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-06-30,10-K,2018-03-01,,,37910000.0,,,,,,
66,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-06-30,10-K,2019-03-01,,,37910000.0,,1843297000.0,,,,
63,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-03-31,10-K,2018-03-01,,,3822000.0,,,,,,
64,BLDR,"BUILDERS FIRSTSOURCE, INC.",2017-03-31,10-K,2019-03-01,,,3822000.0,,1533064000.0,,,,
59,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-12-31,10-K,2017-03-01,14449000.0,,6411000.0,236336000.0,,111564000.0,309620000.0,2909887000.0,2600267000.0
60,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-12-31,10-K,2018-03-01,14449000.0,,6411000.0,236336000.0,,111564000.0,309620000.0,2909887000.0,2600267000.0
61,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-12-31,10-K,2019-03-01,,,144341000.0,236336000.0,6367284000.0,,309620000.0,,
62,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-12-31,10-K,2020-02-21,,,,,,,309620000.0,,
57,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-09-30,10-K,2017-03-01,,,125469000.0,,,,,,
58,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-09-30,10-K,2018-03-01,,,125469000.0,,,,,,
55,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-06-30,10-K,2017-03-01,,,29441000.0,,,,,,
56,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-06-30,10-K,2018-03-01,,,29441000.0,,,,,,
53,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-03-31,10-K,2017-03-01,,,-16980000.0,,,,,,
54,BLDR,"BUILDERS FIRSTSOURCE, INC.",2016-03-31,10-K,2018-03-01,,,-16980000.0,,,,,,
49,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-12-31,10-K,2016-03-11,65063000.0,,-10580000.0,90617000.0,,109726000.0,149195000.0,2882038000.0,2732843000.0
50,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-12-31,10-K,2017-03-01,65063000.0,,-10580000.0,90755000.0,,109726000.0,149195000.0,2882038000.0,2732843000.0
51,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-12-31,10-K,2018-03-01,65063000.0,,-22831000.0,90755000.0,,,149195000.0,,
52,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-12-31,10-K,2019-03-01,,,,,,,149195000.0,,
47,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-09-30,10-K,2016-03-11,,,-8757000.0,,,,,,
48,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-09-30,10-K,2017-03-01,,,-8757000.0,,,,,,
45,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-06-30,10-K,2016-03-11,,,3576000.0,,,,,,
46,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-06-30,10-K,2017-03-01,,,3576000.0,,,,,,
43,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-03-31,10-K,2016-03-11,,,-7070000.0,,,,,,
44,BLDR,"BUILDERS FIRSTSOURCE, INC.",2015-03-31,10-K,2017-03-01,,,-7070000.0,,,,,,
39,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-12-31,10-K,2015-03-03,17773000.0,383904000.0,2421000.0,50018000.0,,98226000.0,40200000.0,583065000.0,542865000.0
40,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-12-31,10-K,2016-03-11,17773000.0,,2421000.0,50018000.0,,98226000.0,40200000.0,574065000.0,533865000.0
41,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-12-31,10-K,2017-03-01,17773000.0,,18150000.0,49610000.0,,,40200000.0,,
42,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-12-31,10-K,2018-03-01,17773000.0,,,,,,40200000.0,,
37,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-09-30,10-K,2015-03-03,,,8504000.0,,,,,,
38,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-09-30,10-K,2016-03-11,,,8504000.0,,,,,,
35,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-06-30,10-K,2015-03-03,,,10609000.0,,,,,,
36,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-06-30,10-K,2016-03-11,,,10609000.0,,,,,,
33,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-03-31,10-K,2015-03-03,,,-3384000.0,,,,,,
34,BLDR,"BUILDERS FIRSTSOURCE, INC.",2014-03-31,10-K,2016-03-11,,,-3384000.0,,,,,,
29,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-12-31,10-K,2014-02-28,54696000.0,353971000.0,4529000.0,48042000.0,,97905000.0,15368000.0,515839000.0,500471000.0
30,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-12-31,10-K,2015-03-03,54696000.0,353971000.0,4529000.0,48042000.0,,97905000.0,15368000.0,515839000.0,500471000.0
31,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-12-31,10-K,2016-03-11,54696000.0,,-42691000.0,48042000.0,,,15368000.0,,
32,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-12-31,10-K,2017-03-01,54696000.0,,,,,,15368000.0,,
27,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-09-30,10-K,2014-02-28,,,12794000.0,,,,,,
28,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-09-30,10-K,2015-03-03,,,12794000.0,,,,,,
25,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-06-30,10-K,2014-02-28,,,-48206000.0,,,,,,
26,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-06-30,10-K,2015-03-03,,,-48206000.0,,,,,,
23,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-03-31,10-K,2014-02-28,,,-11808000.0,,,,,,
24,BLDR,"BUILDERS FIRSTSOURCE, INC.",2013-03-31,10-K,2015-03-03,,,-11808000.0,,,,,,
19,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-12-31,10-K,2013-03-01,131432000.0,360955000.0,-12048000.0,-8703000.0,,96916000.0,48096000.0,550841000.0,502745000.0
20,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-12-31,10-K,2014-02-28,131432000.0,360955000.0,-12048000.0,-8703000.0,,96916000.0,48096000.0,550841000.0,502745000.0
21,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-12-31,10-K,2015-03-03,131432000.0,,-56856000.0,-8703000.0,,,48096000.0,,
22,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-12-31,10-K,2016-03-11,131432000.0,,,,,,48096000.0,,
17,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-09-30,10-K,2013-03-01,,,-13565000.0,,,,,,
18,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-09-30,10-K,2014-02-28,,,-13565000.0,,,,,,
15,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-06-30,10-K,2013-03-01,,,-12055000.0,,,,,,
16,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-06-30,10-K,2014-02-28,,,-12055000.0,,,,,,
13,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-03-31,10-K,2013-03-01,,,-19188000.0,,,,,,
14,BLDR,"BUILDERS FIRSTSOURCE, INC.",2012-03-31,10-K,2014-02-28,,,-19188000.0,,,,,,
9,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-12-31,10-K,2012-03-02,146833000.0,,-64995000.0,-37475000.0,,96806000.0,101224000.0,488803000.0,387579000.0
10,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-12-31,10-K,2013-03-01,146833000.0,297509000.0,-16698000.0,-37475000.0,,96806000.0,101224000.0,493794000.0,392570000.0
11,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-12-31,10-K,2014-02-28,146833000.0,,-64995000.0,-37475000.0,,,101224000.0,,
12,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-12-31,10-K,2015-03-03,146833000.0,,,,,,101224000.0,,
8,BLDR,"BUILDERS FIRSTSOURCE, INC.",2011-09-30,10-K,2013-03-01,,,-11564000.0,,,,,,
