,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
126,AEE,AMEREN CORPORATION,2025-12-31,10-K,2026-02-18,13000000.0,19431000000.0,,2026000000.0,8799000000.0,276400000.0,13401000000.0,48476000000.0
124,AEE,AMEREN CORPORATION,2024-12-31,10-K,2025-02-18,7000000.0,17799000000.0,,1516000000.0,7623000000.0,269900000.0,12114000000.0,44598000000.0
125,AEE,AMEREN CORPORATION,2024-12-31,10-K,2026-02-18,7000000.0,,,1516000000.0,7623000000.0,269900000.0,12114000000.0,44598000000.0
121,AEE,AMEREN CORPORATION,2023-12-31,10-K,2024-02-29,25000000.0,16107000000.0,,1558000000.0,7500000000.0,266300000.0,11349000000.0,40830000000.0
122,AEE,AMEREN CORPORATION,2023-12-31,10-K,2025-02-18,25000000.0,,,1558000000.0,7500000000.0,266300000.0,11349000000.0,40830000000.0
123,AEE,AMEREN CORPORATION,2023-12-31,10-K,2026-02-18,,,,1558000000.0,7500000000.0,266300000.0,,
117,AEE,AMEREN CORPORATION,2022-12-31,10-K,2023-02-22,10000000.0,14147000000.0,,1515000000.0,7957000000.0,262000000.0,10508000000.0,37904000000.0
118,AEE,AMEREN CORPORATION,2022-12-31,10-K,2024-02-29,10000000.0,,,1515000000.0,7957000000.0,262000000.0,10508000000.0,37904000000.0
119,AEE,AMEREN CORPORATION,2022-12-31,10-K,2025-02-18,,,,1515000000.0,7957000000.0,262000000.0,,
120,AEE,AMEREN CORPORATION,2022-12-31,10-K,2026-02-18,,,,,,262000000.0,,
113,AEE,AMEREN CORPORATION,2021-12-31,10-K,2022-02-23,8000000.0,13182000000.0,,1333000000.0,6394000000.0,257700000.0,9700000000.0,35735000000.0
114,AEE,AMEREN CORPORATION,2021-12-31,10-K,2023-02-22,8000000.0,,,1333000000.0,6394000000.0,257700000.0,9700000000.0,35735000000.0
115,AEE,AMEREN CORPORATION,2021-12-31,10-K,2024-02-29,,,,1333000000.0,6394000000.0,257700000.0,,
116,AEE,AMEREN CORPORATION,2021-12-31,10-K,2025-02-18,,,,,,257700000.0,,
109,AEE,AMEREN CORPORATION,2020-12-31,10-K,2021-02-22,139000000.0,11190000000.0,,1300000000.0,,253300000.0,8938000000.0,32030000000.0
110,AEE,AMEREN CORPORATION,2020-12-31,10-K,2022-02-23,139000000.0,,,1300000000.0,5794000000.0,253300000.0,8938000000.0,32030000000.0
111,AEE,AMEREN CORPORATION,2020-12-31,10-K,2023-02-22,,,,1300000000.0,5794000000.0,253300000.0,,
112,AEE,AMEREN CORPORATION,2020-12-31,10-K,2024-02-29,,,,,,253300000.0,,
105,AEE,AMEREN CORPORATION,2019-12-31,10-K,2020-02-28,16000000.0,9442000000.0,,179000000.0,,246200000.0,8059000000.0,28933000000.0
106,AEE,AMEREN CORPORATION,2019-12-31,10-K,2021-02-22,16000000.0,,,1267000000.0,,246200000.0,8059000000.0,28933000000.0
107,AEE,AMEREN CORPORATION,2019-12-31,10-K,2022-02-23,,,,1267000000.0,5910000000.0,246200000.0,,
108,AEE,AMEREN CORPORATION,2019-12-31,10-K,2023-02-22,,,,,,246200000.0,,
104,AEE,AMEREN CORPORATION,2019-09-30,10-K,2020-02-28,,,,520000000.0,,,,
103,AEE,AMEREN CORPORATION,2019-06-30,10-K,2020-02-28,,,,280000000.0,,,,
102,AEE,AMEREN CORPORATION,2019-03-31,10-K,2020-02-28,,,,288000000.0,,,,
