,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
129,AZO,"AUTOZONE, INC.",2025-08-30,10-K,2025-10-27,271803000.0,,2498247000.0,3610156000.0,18938717000.0,,-3414313000.0,19355324000.0
127,AZO,"AUTOZONE, INC.",2024-08-31,10-K,2024-10-28,298172000.0,,2662427000.0,3788708000.0,18490268000.0,,-4749614000.0,17176538000.0
128,AZO,"AUTOZONE, INC.",2024-08-31,10-K,2025-10-27,298172000.0,,2662427000.0,3788708000.0,18490268000.0,,-4749614000.0,17176538000.0
124,AZO,"AUTOZONE, INC.",2023-08-26,10-K,2023-10-24,277054000.0,,2528426000.0,3473986000.0,17457209000.0,,-4349894000.0,15985878000.0
125,AZO,"AUTOZONE, INC.",2023-08-26,10-K,2024-10-28,277054000.0,,2528426000.0,3473986000.0,17457209000.0,,-4349894000.0,15985878000.0
126,AZO,"AUTOZONE, INC.",2023-08-26,10-K,2025-10-27,,,2528426000.0,3473986000.0,17457209000.0,,-4349894000.0,
120,AZO,"AUTOZONE, INC.",2022-08-27,10-K,2022-10-24,264380000.0,,2429604000.0,3270729000.0,16252230000.0,,-3538913000.0,15275043000.0
121,AZO,"AUTOZONE, INC.",2022-08-27,10-K,2023-10-24,264380000.0,,2429604000.0,3270729000.0,16252230000.0,,-3538913000.0,15275043000.0
122,AZO,"AUTOZONE, INC.",2022-08-27,10-K,2024-10-28,,,2429604000.0,3270729000.0,16252230000.0,,-3538913000.0,15275043000.0
123,AZO,"AUTOZONE, INC.",2022-08-27,10-K,2025-10-27,,,,,,,-3538913000.0,
116,AZO,"AUTOZONE, INC.",2021-08-28,10-K,2021-10-25,1171335000.0,,2170314000.0,2944527000.0,14629585000.0,,-1797536000.0,14516199000.0
117,AZO,"AUTOZONE, INC.",2021-08-28,10-K,2022-10-24,1171335000.0,,2170314000.0,2944527000.0,14629585000.0,,-1797536000.0,14516199000.0
118,AZO,"AUTOZONE, INC.",2021-08-28,10-K,2023-10-24,,,2170314000.0,2944527000.0,14629585000.0,,-1797536000.0,14516199000.0
119,AZO,"AUTOZONE, INC.",2021-08-28,10-K,2024-10-28,,,,,,,-1797536000.0,
112,AZO,"AUTOZONE, INC.",2020-08-29,10-K,2020-10-26,1750815000.0,,740457000.0,1018045000.0,4545968000.0,,-877977000.0,14423872000.0
113,AZO,"AUTOZONE, INC.",2020-08-29,10-K,2021-10-25,1750815000.0,,1732972000.0,2417679000.0,12631967000.0,,-877977000.0,14423872000.0
114,AZO,"AUTOZONE, INC.",2020-08-29,10-K,2022-10-24,,,1732972000.0,2417679000.0,12631967000.0,,-877977000.0,14423872000.0
115,AZO,"AUTOZONE, INC.",2020-08-29,10-K,2023-10-24,,,,,,,-877977000.0,
111,AZO,"AUTOZONE, INC.",2020-05-09,10-K,2020-10-26,,,342896000.0,491673000.0,2779299000.0,,,
110,AZO,"AUTOZONE, INC.",2020-02-15,10-K,2020-10-26,,,299282000.0,407938000.0,2513663000.0,,,
109,AZO,"AUTOZONE, INC.",2019-11-23,10-K,2020-10-26,,,350338000.0,500023000.0,2793038000.0,,,
105,AZO,"AUTOZONE, INC.",2019-08-31,10-K,2019-10-28,176300000.0,,565228000.0,780775000.0,3988435000.0,,-1713851000.0,9895913000.0
106,AZO,"AUTOZONE, INC.",2019-08-31,10-K,2020-10-26,176300000.0,,565228000.0,780775000.0,3988435000.0,,-1713851000.0,9895913000.0
107,AZO,"AUTOZONE, INC.",2019-08-31,10-K,2021-10-25,176300000.0,,1617221000.0,2216137000.0,11863743000.0,,-1713851000.0,9895913000.0
108,AZO,"AUTOZONE, INC.",2019-08-31,10-K,2022-10-24,,,,,,,-1713851000.0,
103,AZO,"AUTOZONE, INC.",2019-05-04,10-K,2019-10-28,,,405949000.0,547523000.0,2783006000.0,,,
104,AZO,"AUTOZONE, INC.",2019-05-04,10-K,2020-10-26,,,405949000.0,547523000.0,2783006000.0,,,
101,AZO,"AUTOZONE, INC.",2019-02-09,10-K,2019-10-28,,,294638000.0,400020000.0,2450568000.0,,,
102,AZO,"AUTOZONE, INC.",2019-02-09,10-K,2020-10-26,,,294638000.0,400020000.0,2450568000.0,,,
99,AZO,"AUTOZONE, INC.",2018-11-17,10-K,2019-10-28,,,351406000.0,487818000.0,2641733000.0,,,
100,AZO,"AUTOZONE, INC.",2018-11-17,10-K,2020-10-26,,,351406000.0,487818000.0,2641733000.0,,,
95,AZO,"AUTOZONE, INC.",2018-08-25,10-K,2018-10-24,217824000.0,,400282000.0,591239000.0,3558769000.0,25742000.0,-1520355000.0,9346980000.0
96,AZO,"AUTOZONE, INC.",2018-08-25,10-K,2019-10-28,217824000.0,,400282000.0,591239000.0,3558769000.0,,-1520355000.0,9346980000.0
97,AZO,"AUTOZONE, INC.",2018-08-25,10-K,2020-10-26,217824000.0,,1337536000.0,1810856000.0,11221077000.0,,-1520355000.0,9346980000.0
98,AZO,"AUTOZONE, INC.",2018-08-25,10-K,2021-10-25,217824000.0,,,,,,-1520355000.0,
93,AZO,"AUTOZONE, INC.",2018-05-05,10-K,2018-10-24,,,366721000.0,545765000.0,2660152000.0,,,
94,AZO,"AUTOZONE, INC.",2018-05-05,10-K,2019-10-28,,,366721000.0,545765000.0,2660152000.0,,,
91,AZO,"AUTOZONE, INC.",2018-02-10,10-K,2018-10-24,,,289530000.0,205098000.0,2413026000.0,,,
92,AZO,"AUTOZONE, INC.",2018-02-10,10-K,2019-10-28,,,289530000.0,205098000.0,2413026000.0,,,
89,AZO,"AUTOZONE, INC.",2017-11-18,10-K,2018-10-24,,,281003000.0,468754000.0,2589131000.0,,,
90,AZO,"AUTOZONE, INC.",2017-11-18,10-K,2019-10-28,,,281003000.0,468754000.0,2589131000.0,,,
85,AZO,"AUTOZONE, INC.",2017-08-26,10-K,2017-10-25,293270000.0,,433899000.0,707628000.0,,27833000.0,-1428377000.0,9259781000.0
86,AZO,"AUTOZONE, INC.",2017-08-26,10-K,2018-10-24,293270000.0,,433899000.0,707628000.0,3512605000.0,27833000.0,-1428377000.0,9259781000.0
87,AZO,"AUTOZONE, INC.",2017-08-26,10-K,2019-10-28,293270000.0,,1280869000.0,2080069000.0,10888676000.0,,-1428377000.0,9259781000.0
88,AZO,"AUTOZONE, INC.",2017-08-26,10-K,2020-10-26,293270000.0,,,,,,-1428377000.0,
83,AZO,"AUTOZONE, INC.",2017-05-06,10-K,2017-10-25,,,331700000.0,529570000.0,,,,
84,AZO,"AUTOZONE, INC.",2017-05-06,10-K,2018-10-24,,,331700000.0,529570000.0,2619007000.0,,,
81,AZO,"AUTOZONE, INC.",2017-02-11,10-K,2017-10-25,,,237145000.0,383969000.0,,,,
82,AZO,"AUTOZONE, INC.",2017-02-11,10-K,2018-10-24,,,237145000.0,383969000.0,2289219000.0,,,
79,AZO,"AUTOZONE, INC.",2016-11-19,10-K,2017-10-25,,,278125000.0,458902000.0,,,,
80,AZO,"AUTOZONE, INC.",2016-11-19,10-K,2018-10-24,,,278125000.0,458902000.0,2467845000.0,,,
75,AZO,"AUTOZONE, INC.",2016-08-27,10-K,2016-10-24,189734000.0,,426768000.0,703366000.0,,29118000.0,-1787538000.0,8599787000.0
76,AZO,"AUTOZONE, INC.",2016-08-27,10-K,2017-10-25,189734000.0,,426768000.0,703366000.0,,29118000.0,-1787538000.0,8599787000.0
77,AZO,"AUTOZONE, INC.",2016-08-27,10-K,2018-10-24,189734000.0,,1241007000.0,2060395000.0,10635676000.0,,-1787538000.0,8599787000.0
78,AZO,"AUTOZONE, INC.",2016-08-27,10-K,2019-10-28,189734000.0,,,,,,-1787538000.0,
73,AZO,"AUTOZONE, INC.",2016-05-07,10-K,2016-10-24,,,327515000.0,536374000.0,,,,
74,AZO,"AUTOZONE, INC.",2016-05-07,10-K,2017-10-25,,,327515000.0,536374000.0,,,,
71,AZO,"AUTOZONE, INC.",2016-02-13,10-K,2016-10-24,,,228613000.0,382660000.0,,,,
72,AZO,"AUTOZONE, INC.",2016-02-13,10-K,2017-10-25,,,228613000.0,382660000.0,,,,
69,AZO,"AUTOZONE, INC.",2015-11-21,10-K,2016-10-24,,,258112000.0,437995000.0,,,,
70,AZO,"AUTOZONE, INC.",2015-11-21,10-K,2017-10-25,,,258112000.0,437995000.0,,,,
65,AZO,"AUTOZONE, INC.",2015-08-29,10-K,2015-10-26,175309000.0,,401137000.0,669272000.0,,30659000.0,-1701390000.0,8102349000.0
66,AZO,"AUTOZONE, INC.",2015-08-29,10-K,2016-10-24,175309000.0,,401137000.0,669272000.0,,30659000.0,-1701390000.0,8102349000.0
67,AZO,"AUTOZONE, INC.",2015-08-29,10-K,2017-10-25,175309000.0,,1160241000.0,1953051000.0,,,-1701390000.0,8102349000.0
68,AZO,"AUTOZONE, INC.",2015-08-29,10-K,2018-10-24,175309000.0,,,,,,-1701390000.0,
63,AZO,"AUTOZONE, INC.",2015-05-09,10-K,2015-10-26,,,309071000.0,513949000.0,,,,
64,AZO,"AUTOZONE, INC.",2015-05-09,10-K,2016-10-24,,,309071000.0,513949000.0,,,,
61,AZO,"AUTOZONE, INC.",2015-02-14,10-K,2015-10-26,,,211723000.0,361269000.0,,,,
62,AZO,"AUTOZONE, INC.",2015-02-14,10-K,2016-10-24,,,211723000.0,361269000.0,,,,
59,AZO,"AUTOZONE, INC.",2014-11-22,10-K,2015-10-26,,,238310000.0,408562000.0,,,,
60,AZO,"AUTOZONE, INC.",2014-11-22,10-K,2016-10-24,,,238310000.0,408562000.0,,,,
55,AZO,"AUTOZONE, INC.",2014-08-30,10-K,2014-10-27,124485000.0,4343800000.0,373671000.0,630201000.0,,32304000.0,-1621857000.0,7517858000.0
56,AZO,"AUTOZONE, INC.",2014-08-30,10-K,2015-10-26,124485000.0,,373671000.0,630201000.0,,32304000.0,-1621857000.0,7497163000.0
57,AZO,"AUTOZONE, INC.",2014-08-30,10-K,2016-10-24,124485000.0,,1069744000.0,1830223000.0,,,-1621857000.0,7497163000.0
58,AZO,"AUTOZONE, INC.",2014-08-30,10-K,2017-10-25,124485000.0,,,,,,-1621857000.0,
53,AZO,"AUTOZONE, INC.",2014-05-10,10-K,2014-10-27,,,285157000.0,478952000.0,,,,
54,AZO,"AUTOZONE, INC.",2014-05-10,10-K,2015-10-26,,,285157000.0,478952000.0,,,,
51,AZO,"AUTOZONE, INC.",2014-02-15,10-K,2014-10-27,,,192830000.0,337344000.0,,,,
52,AZO,"AUTOZONE, INC.",2014-02-15,10-K,2015-10-26,,,192830000.0,337344000.0,,,,
49,AZO,"AUTOZONE, INC.",2013-11-23,10-K,2014-10-27,,,218087000.0,383726000.0,,,,
50,AZO,"AUTOZONE, INC.",2013-11-23,10-K,2015-10-26,,,218087000.0,383726000.0,,,,
45,AZO,"AUTOZONE, INC.",2013-08-31,10-K,2013-10-28,142191000.0,,371199000.0,636220000.0,,34293000.0,-1687319000.0,6892089000.0
46,AZO,"AUTOZONE, INC.",2013-08-31,10-K,2014-10-27,142191000.0,,371199000.0,636220000.0,,34293000.0,-1687319000.0,6892089000.0
47,AZO,"AUTOZONE, INC.",2013-08-31,10-K,2015-10-26,142191000.0,,1016480000.0,1773098000.0,,,-1687319000.0,6869167000.0
48,AZO,"AUTOZONE, INC.",2013-08-31,10-K,2016-10-24,142191000.0,,,,,,-1687319000.0,
43,AZO,"AUTOZONE, INC.",2013-05-04,10-K,2013-10-28,,,265583000.0,456030000.0,,,,
44,AZO,"AUTOZONE, INC.",2013-05-04,10-K,2014-10-27,,,265583000.0,456030000.0,,,,
41,AZO,"AUTOZONE, INC.",2013-02-09,10-K,2013-10-28,,,176247000.0,317571000.0,,,,
42,AZO,"AUTOZONE, INC.",2013-02-09,10-K,2014-10-27,,,176247000.0,317571000.0,,,,
39,AZO,"AUTOZONE, INC.",2012-11-17,10-K,2013-10-28,,,203452000.0,363276000.0,,,,
40,AZO,"AUTOZONE, INC.",2012-11-17,10-K,2014-10-27,,,203452000.0,363276000.0,,,,
35,AZO,"AUTOZONE, INC.",2012-08-25,10-K,2012-10-22,103093000.0,,323733000.0,560056000.0,,37028000.0,-1548025000.0,6265639000.0
36,AZO,"AUTOZONE, INC.",2012-08-25,10-K,2013-10-28,103093000.0,,323733000.0,560056000.0,,37028000.0,-1548025000.0,6265639000.0
37,AZO,"AUTOZONE, INC.",2012-08-25,10-K,2014-10-27,103093000.0,,930373000.0,1628891000.0,,,-1548025000.0,6265639000.0
38,AZO,"AUTOZONE, INC.",2012-08-25,10-K,2015-10-26,103093000.0,,,,,,-1548025000.0,
33,AZO,"AUTOZONE, INC.",2012-05-05,10-K,2012-10-22,,,248586000.0,427250000.0,,,,
34,AZO,"AUTOZONE, INC.",2012-05-05,10-K,2013-10-28,,,248586000.0,427250000.0,,,,
31,AZO,"AUTOZONE, INC.",2012-02-11,10-K,2012-10-22,,,166930000.0,300651000.0,,,,
32,AZO,"AUTOZONE, INC.",2012-02-11,10-K,2013-10-28,,,166930000.0,300651000.0,,,,
29,AZO,"AUTOZONE, INC.",2011-11-19,10-K,2012-10-22,,,191125000.0,340934000.0,,,,
30,AZO,"AUTOZONE, INC.",2011-11-19,10-K,2013-10-28,,,191125000.0,340934000.0,,,,
25,AZO,"AUTOZONE, INC.",2011-08-27,10-K,2011-10-24,97606000.0,,301469000.0,524010000.0,,40109000.0,-1254232000.0,5869602000.0
26,AZO,"AUTOZONE, INC.",2011-08-27,10-K,2012-10-22,97606000.0,,301469000.0,524010000.0,,40109000.0,-1254232000.0,5869602000.0
27,AZO,"AUTOZONE, INC.",2011-08-27,10-K,2013-10-28,97606000.0,,848974000.0,1494803000.0,,,-1254232000.0,
28,AZO,"AUTOZONE, INC.",2011-08-27,10-K,2014-10-27,97606000.0,,,,,,-1254232000.0,
23,AZO,"AUTOZONE, INC.",2011-05-07,10-K,2011-10-24,,,227373000.0,392925000.0,,,,
24,AZO,"AUTOZONE, INC.",2011-05-07,10-K,2012-10-22,,,227373000.0,392925000.0,,,,
21,AZO,"AUTOZONE, INC.",2011-02-12,10-K,2011-10-24,,,148056000.0,271748000.0,,,,
22,AZO,"AUTOZONE, INC.",2011-02-12,10-K,2012-10-22,,,148056000.0,271748000.0,,,,
19,AZO,"AUTOZONE, INC.",2010-11-20,10-K,2011-10-24,,,172076000.0,306121000.0,,,,
20,AZO,"AUTOZONE, INC.",2010-11-20,10-K,2012-10-22,,,172076000.0,306121000.0,,,,
15,AZO,"AUTOZONE, INC.",2010-08-28,10-K,2010-10-25,98280000.0,,268933000.0,472740000.0,,45107000.0,-738765000.0,5571594000.0
16,AZO,"AUTOZONE, INC.",2010-08-28,10-K,2011-10-24,98280000.0,,268933000.0,472740000.0,,45107000.0,-738765000.0,5571594000.0
17,AZO,"AUTOZONE, INC.",2010-08-28,10-K,2012-10-22,98280000.0,,738311000.0,1319414000.0,,,-738765000.0,
18,AZO,"AUTOZONE, INC.",2010-08-28,10-K,2013-10-28,98280000.0,,,,,,-738765000.0,
13,AZO,"AUTOZONE, INC.",2010-05-08,10-K,2010-10-25,,,202745000.0,355865000.0,,,,
14,AZO,"AUTOZONE, INC.",2010-05-08,10-K,2011-10-24,,,202745000.0,355865000.0,,,,
11,AZO,"AUTOZONE, INC.",2010-02-13,10-K,2010-10-25,,,123333000.0,230381000.0,,,,
12,AZO,"AUTOZONE, INC.",2010-02-13,10-K,2011-10-24,,,123333000.0,230381000.0,,,,
9,AZO,"AUTOZONE, INC.",2009-11-21,10-K,2010-10-25,,,143300000.0,260428000.0,,,,
10,AZO,"AUTOZONE, INC.",2009-11-21,10-K,2011-10-24,,,143300000.0,260428000.0,,,,
