,ticker,company,end_date,form,filed,cash,net_income,revenue,shares_outstanding,stockholders_equity,total_assets
140,AES,AES CORP,2025-12-31,10-K,2026-03-02,1382000000.0,910000000.0,12233000000.0,712201777.0,4063000000.0,51768000000.0
138,AES,AES CORP,2024-12-31,10-K,2025-03-11,1524000000.0,1679000000.0,12278000000.0,711074269.0,3644000000.0,47406000000.0
139,AES,AES CORP,2024-12-31,10-K,2026-03-02,1524000000.0,1679000000.0,12278000000.0,711074269.0,3644000000.0,47406000000.0
137,AES,AES CORP,2024-09-30,10-K,2025-03-11,1919000000.0,504000000.0,3289000000.0,711027043.0,3378000000.0,50265000000.0
136,AES,AES CORP,2024-06-30,10-K,2025-03-11,1773000000.0,276000000.0,2942000000.0,710823239.0,3175000000.0,47915000000.0
133,AES,AES CORP,2023-12-31,10-K,2024-02-26,1426000000.0,249000000.0,12668000000.0,669693234.0,2488000000.0,44799000000.0
134,AES,AES CORP,2023-12-31,10-K,2025-03-11,1426000000.0,249000000.0,12668000000.0,669693234.0,2488000000.0,44799000000.0
135,AES,AES CORP,2023-12-31,10-K,2026-03-02,,249000000.0,12668000000.0,,,44799000000.0
130,AES,AES CORP,2022-12-31,10-K,2023-03-01,1374000000.0,-903000000.0,3060000000.0,668743464.0,2437000000.0,38363000000.0
131,AES,AES CORP,2022-12-31,10-K,2024-02-26,1374000000.0,-546000000.0,12617000000.0,668743464.0,2437000000.0,38363000000.0
132,AES,AES CORP,2022-12-31,10-K,2025-03-11,,-546000000.0,12617000000.0,,,38363000000.0
129,AES,AES CORP,2022-09-30,10-K,2023-03-01,,421000000.0,3627000000.0,,,
128,AES,AES CORP,2022-06-30,10-K,2023-03-01,,-179000000.0,3078000000.0,,,
127,AES,AES CORP,2022-03-31,10-K,2023-03-01,,115000000.0,2852000000.0,,,
124,AES,AES CORP,2021-12-31,10-K,2022-02-28,943000000.0,-632000000.0,2770000000.0,666793625.0,2798000000.0,32963000000.0
125,AES,AES CORP,2021-12-31,10-K,2023-03-01,943000000.0,-632000000.0,2770000000.0,666793625.0,2798000000.0,32963000000.0
126,AES,AES CORP,2021-12-31,10-K,2024-02-26,,-409000000.0,11141000000.0,,,32963000000.0
122,AES,AES CORP,2021-09-30,10-K,2022-02-28,,343000000.0,3036000000.0,,,
123,AES,AES CORP,2021-09-30,10-K,2023-03-01,,343000000.0,3036000000.0,,,
120,AES,AES CORP,2021-06-30,10-K,2022-02-28,,28000000.0,2700000000.0,,,
121,AES,AES CORP,2021-06-30,10-K,2023-03-01,,28000000.0,2700000000.0,,,
118,AES,AES CORP,2021-03-31,10-K,2022-02-28,,-148000000.0,2635000000.0,,,
119,AES,AES CORP,2021-03-31,10-K,2023-03-01,,-148000000.0,2635000000.0,,,
115,AES,AES CORP,2020-12-31,10-K,2021-02-25,1089000000.0,318000000.0,2560000000.0,665370128.0,2634000000.0,34603000000.0
116,AES,AES CORP,2020-12-31,10-K,2022-02-28,1089000000.0,318000000.0,2560000000.0,665370128.0,2634000000.0,34603000000.0
117,AES,AES CORP,2020-12-31,10-K,2023-03-01,,46000000.0,9660000000.0,,,34603000000.0
113,AES,AES CORP,2020-09-30,10-K,2021-02-25,,-333000000.0,2545000000.0,,,
114,AES,AES CORP,2020-09-30,10-K,2022-02-28,,-333000000.0,2545000000.0,,,
111,AES,AES CORP,2020-06-30,10-K,2021-02-25,,-83000000.0,2217000000.0,,,
112,AES,AES CORP,2020-06-30,10-K,2022-02-28,,-83000000.0,2217000000.0,,,
109,AES,AES CORP,2020-03-31,10-K,2021-02-25,,144000000.0,2338000000.0,,,
110,AES,AES CORP,2020-03-31,10-K,2022-02-28,,144000000.0,2338000000.0,,,
