ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
ARE,52.22,-44.68,36.83,-1.017,-46.4,-0.1486,-0.761,1.274,,1.32,9285.0,10.0,6.210593619467945,4.901362274874237,5.0,6.84,HIGH,Real Estate,2026-03-04,Real Estate_batch1
AMT,190.25,-4.92,24.42,-0.058,-26.12,-0.0056,-0.213,0.919,35.3,0.91,89322.0,3.1012970969734415,2.552905083902147,10.0,5.0,4.7,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
AVB,177.32,-17.61,21.35,-0.758,-20.84,-0.0642,-0.449,1.709,24.1,0.74,25218.0,1.3946880790611493,1.299206086668872,6.9617526208670935,5.0,3.2,LOW,Real Estate,2026-03-04,Real Estate_batch1
BXP,55.25,-13.52,30.38,-0.324,-28.2,-0.039,-0.375,1.072,32.4,1.03,9974.0,6.414453366275478,3.274249375906159,6.9617526208670935,5.0,5.3,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
CPT,108.19,-8.83,20.64,-0.285,-18.3,-0.0233,-0.109,0.767,30.6,0.82,11570.0,1.0,1.4422778621678805,3.3646557351868207,5.0,2.41,LOW,Real Estate,2026-03-04,Real Estate_batch1
CBRE,142.63,2.18,30.06,0.475,-19.21,0.0566,-0.289,2.474,36.7,1.34,42181.0,6.23656578134651,3.8728760179344075,3.6579295287102207,5.0,4.76,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
CSGP,46.78,-38.11,35.91,-0.719,-47.72,-0.1024,-0.629,2.645,2380.0,0.9,20174.0,9.488573193329213,8.02,6.9617526208670935,5.0,7.64,HIGH,Real Estate,2026-03-04,Real Estate_batch1
CCI,90.26,0.74,25.59,0.146,-26.75,0.0148,-0.316,1.019,36.2,0.95,39748.0,3.7516985793699815,2.7905489618430686,3.381417764294765,5.0,3.64,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
DLR,178.13,17.96,24.4,0.728,-17.49,0.0705,-0.133,1.084,51.0,1.13,63881.0,3.090179122915379,2.7961053100725826,1.0,5.0,2.97,LOW,Real Estate,2026-03-04,Real Estate_batch1
EQIX,972.01,9.29,25.26,0.551,-19.65,0.0552,-0.068,2.479,70.4,1.03,95213.0,3.5682520074119837,2.568670971299076,6.9617526208670935,5.0,4.23,MODERATE,Real Estate,2026-03-04,Real Estate_batch1
