ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
AFL,112.43,6.75,18.25,0.707,-8.76,0.0512,-0.026,1.224,16.5,0.65,58952.0,1.0,2.4596153846153843,10.0,5.0,4.04,MODERATE,Financials,2026-03-04,Financials_batch1
ALL,213.61,9.99,24.5,0.683,-11.48,0.0664,-0.217,1.175,5.6,0.21,55587.0,3.4162371134020617,1.2452086811352254,5.258796432421836,5.0,3.45,LOW,Financials,2026-03-04,Financials_batch1
AXP,307.82,9.75,29.51,0.451,-17.72,0.0528,-0.383,2.212,20.2,1.15,214378.0,5.353092783505155,4.424879110872432,7.2521751076105865,5.0,5.38,MODERATE,Financials,2026-03-04,Financials_batch1
AIG,79.06,1.13,22.94,0.38,-14.58,0.0346,-0.237,2.313,14.4,0.58,42249.0,2.8131443298969074,2.7309681637227547,1.0,5.0,2.86,LOW,Financials,2026-03-04,Financials_batch1
AMP,465.68,-5.31,27.54,-0.073,-18.51,-0.008,-0.502,1.591,12.9,1.27,43564.0,4.591494845360824,4.301517389121731,6.013640999947923,5.0,4.87,MODERATE,Financials,2026-03-04,Financials_batch1
AON,339.07,-15.86,22.18,-0.288,-16.14,-0.0253,-0.349,1.808,20.0,0.83,73332.0,2.519329896907216,3.666707449478735,1.974982446499986,5.0,3.25,LOW,Financials,2026-03-04,Financials_batch1
APO,107.08,-21.17,39.51,-0.36,-32.04,-0.0564,-0.325,1.636,19.8,1.64,63725.0,9.219072164948452,6.617928598946962,5.406920658179931,5.0,6.83,HIGH,Financials,2026-03-04,Financials_batch1
ACGL,100.48,9.37,22.53,0.68,-12.0,0.0608,-0.236,0.918,8.5,0.36,35690.0,2.6546391752577323,1.7426112868767294,3.6193638001037955,5.0,3.04,LOW,Financials,2026-03-04,Financials_batch1
ARES,112.65,-28.09,41.53,-0.437,-38.71,-0.072,-0.615,2.28,68.0,1.56,38456.0,10.0,9.848951048951049,7.977183225237075,5.0,8.55,HIGH,Financials,2026-03-04,Financials_batch1
AJG,225.23,-32.64,25.96,-1.085,-37.12,-0.1118,-0.664,1.607,39.4,0.67,57997.0,3.980670103092784,6.3751925703678625,7.2521751076105865,5.0,5.56,MODERATE,Financials,2026-03-04,Financials_batch1
